case_id,fold
case_101,0
case_104,1
case_107,0
case_11,1
case_110,4
case_113,4
case_116,1
case_119,3
case_122,2
case_125,2
case_128,0
case_131,2
case_134,2
case_137,0
case_14,1
case_140,0
case_143,1
case_146,4
case_149,0
case_152,2
case_155,1
case_158,0
case_161,1
case_164,3
case_167,3
case_17,4
case_170,1
case_173,1
case_176,3
case_179,2
case_182,2
case_185,4
case_188,0
case_191,4
case_194,4
case_197,3
case_2,4
case_20,1
case_200,3
case_203,4
case_206,0
case_209,4
case_212,2
case_215,4
case_218,0
case_221,1
case_224,2
case_227,0
case_23,0
case_230,4
case_233,3
case_236,0
case_239,4
case_242,0
case_245,0
case_248,4
case_251,2
case_254,0
case_257,2
case_26,2
case_260,3
case_263,3
case_266,2
case_269,0
case_272,3
case_275,1
case_278,3
case_281,4
case_284,3
case_287,0
case_29,3
case_290,3
case_293,3
case_296,1
case_299,1
case_32,2
case_35,1
case_38,1
case_41,3
case_44,0
case_47,4
case_5,2
case_50,2
case_53,2
case_56,3
case_59,4
case_62,4
case_65,2
case_68,2
case_71,2
case_74,3
case_77,1
case_8,1
case_80,0
case_83,1
case_86,4
case_89,4
case_92,3
case_95,3
case_98,1
