case_id,fold
1-364285768,3
1-467153946,3
1-503573772,2
1-504538555,4
1-506071646,1
1-512795200,2
1-516553982,3
1-522528740,0
1-523391859,1
1-529067006,3
1-529096847,1
1-530458987,3
1-530772502,1
1-530838254,0
1-532109338,3
1-536444735,0
1-536481337,2
1-537219938,0
1-540390551,3
1-541468268,1
1-543317665,4
1-543979253,4
1-544969832,2
1-544976636,1
1-550213097,4
1-557297151,1
1-559795575,2
1-565045794,3
1-567358917,0
1-577292898,3
1-578864726,1
1-580893958,2
1-580987781,2
1-583200733,3
1-587101946,3
1-593737913,2
1-594260021,4
1-597436480,1
1-601328051,3
1-603556351,4
1-603749197,3
1-604144478,3
1-605313141,4
1-605956457,3
1-606902814,0
1-609835209,1
1-611261188,2
1-613379581,1
1-614948909,1
1-617858557,2
1-618854217,2
1-619069761,2
1-620611187,3
1-620858291,3
1-621825480,0
1-623778166,2
1-626766981,2
1-627819166,1
1-627973205,2
1-629364071,3
1-629883996,3
1-630181491,4
1-632620937,2
1-634340171,1
1-634738521,3
1-635268712,1
1-635375181,4
1-636928149,1
1-637842042,0
1-638018481,4
1-638289351,1
1-638742591,3
1-638841644,3
1-638945511,1
1-642373523,3
1-642402641,4
1-642411971,2
1-642714990,4
1-642761396,1
1-642781041,1
1-643338463,1
1-643546500,1
1-643684191,3
1-643733486,0
1-644761840,0
1-647788578,1
1-647953636,4
1-648471635,2
1-648654669,1
1-649830550,1
1-649950870,2
1-650013051,4
1-651196130,0
1-651324866,3
1-652256138,1
1-652468131,3
1-652924814,2
1-652947231,4
1-653391886,1
1-654423931,2
1-655021441,1
1-655281402,0
1-656241183,0
1-656373348,3
1-656450664,2
1-657323705,4
1-657893589,0
1-657900377,1
1-658045761,3
1-658345511,3
1-658515933,3
1-658538636,4
1-659129745,4
1-659713703,0
1-660051308,1
1-660218981,0
1-660730501,0
1-660865454,1
1-660915327,3
1-665922195,4
1-673825643,0
1-682281772,4
1-683319231,2
1-683762637,4
1-684012815,3
1-684695843,1
1-685098751,3
1-685155470,2
1-686398767,0
1-686497432,2
1-686580161,2
1-686609791,1
1-686885675,3
1-687082195,2
1-687085471,3
1-687329729,2
1-687521104,0
1-687544011,0
1-687638428,4
1-687647619,2
1-687710013,1
1-688278051,2
1-688624453,3
1-688689511,2
1-688696731,1
1-689206959,2
1-689461262,1
1-689501709,1
1-690238688,4
1-690422411,2
1-690436171,1
1-690839783,2
1-691049627,2
1-691129791,0
1-691759626,3
1-691782323,2
1-691794481,4
1-691811604,1
1-691832279,1
1-691950241,3
1-691971107,2
1-692009261,2
1-692067345,4
1-692755228,4
1-692758611,2
1-692758994,3
1-692918254,4
1-693021183,3
1-693200675,3
1-693253181,2
1-693258975,0
1-693300691,1
1-693352046,3
1-693412654,0
1-693587250,4
1-693822171,4
1-693837467,2
1-694035053,0
1-694236018,4
1-694266600,3
1-694274811,3
1-694300980,0
1-694339964,4
1-694346169,0
1-694375168,0
1-694457714,1
1-694782353,3
1-694796871,1
1-694844381,0
1-694845331,4
1-694868667,2
1-694899341,1
1-694975897,4
1-695147297,0
1-695221831,0
1-695298616,0
1-695360832,4
1-695452478,3
