case_id,fold
case_104,0
case_109,1
case_114,0
case_119,1
case_124,4
case_129,4
case_134,1
case_139,3
case_14,2
case_144,2
case_149,0
case_154,2
case_159,2
case_164,0
case_169,1
case_174,0
case_179,1
case_184,4
case_189,0
case_19,2
case_194,1
case_199,0
case_204,1
case_209,3
case_214,3
case_219,4
case_224,1
case_229,1
case_234,3
case_239,2
case_24,2
case_244,4
case_249,0
case_254,4
case_259,4
case_264,3
case_269,4
case_274,1
case_279,3
case_284,4
case_289,0
case_29,4
case_294,2
case_299,4
case_304,0
case_309,1
case_314,2
case_319,0
case_324,0
case_329,4
case_334,3
case_339,0
case_34,4
case_344,0
case_349,0
case_354,4
case_359,2
case_364,0
case_369,2
case_374,2
case_379,3
case_384,3
case_389,2
case_39,0
case_394,3
case_399,1
case_4,3
case_404,4
case_409,3
case_414,0
case_419,3
case_424,3
case_429,3
case_434,1
case_439,1
case_44,2
case_444,1
case_449,1
case_454,3
case_459,0
case_464,4
case_469,2
case_474,2
case_479,2
case_484,3
case_489,4
case_49,4
case_494,2
case_499,2
case_54,2
case_59,3
case_64,1
case_69,1
case_74,0
case_79,1
case_84,4
case_89,4
case_9,3
case_94,3
case_99,1
