case_id,fold
case_103,0
case_107,1
case_11,0
case_111,1
case_115,4
case_119,4
case_123,1
case_127,3
case_131,2
case_135,2
case_139,0
case_143,2
case_147,2
case_15,0
case_151,1
case_155,0
case_159,1
case_163,4
case_167,0
case_171,2
case_175,1
case_179,0
case_183,1
case_187,3
case_19,3
case_191,4
case_195,1
case_199,1
case_203,3
case_207,2
case_211,2
case_215,4
case_219,0
case_223,4
case_227,4
case_23,3
case_231,4
case_235,1
case_239,3
case_243,4
case_247,0
case_251,4
case_255,2
case_259,4
case_263,0
case_267,1
case_27,2
case_271,0
case_275,0
case_279,4
case_283,3
case_287,0
case_291,4
case_295,0
case_299,0
case_3,4
case_303,2
case_307,0
case_31,2
case_311,2
case_315,3
case_319,3
case_323,2
case_327,0
case_331,3
case_335,1
case_339,3
case_343,4
case_347,3
case_35,0
case_351,3
case_355,3
case_359,3
case_363,1
case_367,1
case_371,2
case_375,1
case_379,1
case_383,3
case_387,0
case_39,4
case_391,2
case_395,2
case_399,2
case_43,3
case_47,4
case_51,4
case_55,2
case_59,2
case_63,2
case_67,3
case_7,1
case_71,1
case_75,0
case_79,1
case_83,4
case_87,4
case_91,3
case_95,3
case_99,1
