log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
BPI2013,gnn,,,ocel_load,30.0863,613.02,1563.6,1674.71
BPI2013,gnn,,,feature_extraction,14.0037,1556.99,1673.63,1748.32
BPI2013,gnn,NE-NEPr,,labeling,0.07,2422.2,2419.58,2422.2
BPI2013,gnn,NE-NEPr,0.0,fit,831.4052,2442.65,2509.43,2514.49
BPI2013,gnn,NE-NEPr,0.0,predict,8.2187,2509.41,2678.16,2678.16
BPI2013,gnn,NE-NEPr,1.0,fit,835.2381,2437.55,2507.65,2512.44
BPI2013,gnn,NE-NEPr,1.0,predict,7.2209,2507.63,2679.05,2679.05
BPI2013,gnn,NE-NEPr,2.0,fit,822.6142,2442.47,2506.58,2510.35
BPI2013,gnn,NE-NEPr,2.0,predict,8.2719,2506.56,2604.72,2669.89
BPI2013,gnn,NE-NEPr,3.0,fit,830.456,2365.96,2501.89,2505.86
BPI2013,gnn,NE-NEPr,3.0,predict,8.3211,2501.87,2688.19,2688.19
BPI2013,gnn,NE-NEPr,4.0,fit,839.5706,2461.34,2514.25,2518.02
BPI2013,gnn,NE-NEPr,4.0,predict,7.881,2514.23,2677.39,2677.39
BPI2013,gnn,NE-NPaA,,labeling,0.0531,1694.0,1705.8,1705.8
BPI2013,gnn,NE-NPaA,0.0,fit,847.5776,1834.57,2426.65,2499.29
BPI2013,gnn,NE-NPaA,0.0,predict,8.2939,2426.63,2672.6,2672.6
BPI2013,gnn,NE-NPaA,1.0,fit,838.972,2406.38,2479.83,2483.81
BPI2013,gnn,NE-NPaA,1.0,predict,7.2328,2479.81,2673.38,2673.38
BPI2013,gnn,NE-NPaA,2.0,fit,833.1808,2425.97,2495.98,2501.13
BPI2013,gnn,NE-NPaA,2.0,predict,8.3216,2495.96,2683.83,2683.83
BPI2013,gnn,NE-NPaA,3.0,fit,841.4046,2443.64,2500.34,2504.59
BPI2013,gnn,NE-NPaA,3.0,predict,8.3643,2500.32,2682.99,2682.99
BPI2013,gnn,NE-NPaA,4.0,fit,841.0094,2434.02,2490.98,2496.18
BPI2013,gnn,NE-NPaA,4.0,predict,8.1503,2490.96,2672.11,2672.11
BPI2013,gnn,NE-NEPa,,labeling,0.0666,1674.69,1688.4,1688.4
BPI2013,gnn,NE-NEPa,0.0,fit,854.3293,1824.35,2486.0,2487.33
BPI2013,gnn,NE-NEPa,0.0,predict,8.1951,2485.98,2659.19,2729.38
BPI2013,gnn,NE-NEPa,1.0,fit,857.6598,2399.72,2489.92,2491.01
BPI2013,gnn,NE-NEPa,1.0,predict,7.1458,2489.9,2682.63,2682.63
BPI2013,gnn,NE-NEPa,2.0,fit,842.8605,2443.62,2506.53,2509.01
BPI2013,gnn,NE-NEPa,2.0,predict,8.2077,2506.51,2607.64,2671.84
BPI2013,gnn,NE-NEPa,3.0,fit,838.5149,2371.49,2503.52,2507.67
BPI2013,gnn,NE-NEPa,3.0,predict,8.1675,2503.5,2606.33,2672.81
BPI2013,gnn,NE-NEPa,4.0,fit,851.0365,2375.41,2512.26,2516.33
BPI2013,gnn,NE-NEPa,4.0,predict,7.4043,2512.24,2679.8,2679.8
BPI2013,gnn,NE-NPaM,,labeling,0.0594,2313.07,2310.39,2315.68
BPI2013,gnn,NE-NPaM,0.0,fit,219.4802,2323.94,2326.81,2331.87
BPI2013,gnn,NE-NPaM,0.0,predict,2.0452,2326.81,2365.62,2365.62
BPI2013,gnn,NE-NPaM,1.0,fit,220.3395,2334.26,2326.16,2347.01
BPI2013,gnn,NE-NPaM,1.0,predict,1.9482,2326.16,2364.92,2364.92
BPI2013,gnn,NE-NPaM,2.0,fit,212.9786,2317.62,2309.89,2330.35
BPI2013,gnn,NE-NPaM,2.0,predict,2.2311,2309.89,2354.93,2354.93
BPI2013,gnn,NE-NPaM,3.0,fit,217.5009,2323.72,2314.11,2337.13
BPI2013,gnn,NE-NPaM,3.0,predict,2.0918,2314.11,2354.69,2354.69
BPI2013,gnn,NE-NPaM,4.0,fit,224.9132,2322.12,2315.62,2335.48
BPI2013,gnn,NE-NPaM,4.0,predict,1.8694,2315.61,2361.45,2361.45
BPI2013,gnn,NE-NMPa,,labeling,0.0744,2419.11,2411.46,2419.11
BPI2013,gnn,NE-NMPa,0.0,fit,190.0895,2424.55,2339.12,2437.57
BPI2013,gnn,NE-NMPa,0.0,predict,1.8476,2339.12,2386.09,2386.09
BPI2013,gnn,NE-NMPa,1.0,fit,193.8139,2340.5,2333.41,2347.6
BPI2013,gnn,NE-NMPa,1.0,predict,1.7058,2333.41,2365.1,2365.1
BPI2013,gnn,NE-NMPa,2.0,fit,186.0297,2339.44,2326.65,2351.72
BPI2013,gnn,NE-NMPa,2.0,predict,2.0027,2326.65,2376.59,2376.59
BPI2013,gnn,NE-NMPa,3.0,fit,189.7191,2330.17,2320.67,2337.23
BPI2013,gnn,NE-NMPa,3.0,predict,1.8713,2320.67,2370.49,2370.49
BPI2013,gnn,NE-NMPa,4.0,fit,197.0363,2332.9,2324.03,2340.82
BPI2013,gnn,NE-NMPa,4.0,predict,1.587,2324.03,2363.04,2363.04
BPI2013,gnn,NE-NMPr,,labeling,0.0646,1694.9,1696.99,1696.99
BPI2013,gnn,NE-NMPr,0.0,fit,248.2823,1830.42,2125.17,2126.66
BPI2013,gnn,NE-NMPr,0.0,predict,2.3007,2125.17,2206.01,2206.01
BPI2013,gnn,NE-NMPr,1.0,fit,248.196,2135.95,2144.27,2146.29
BPI2013,gnn,NE-NMPr,1.0,predict,2.2826,2144.27,2204.42,2204.42
BPI2013,gnn,NE-NMPr,2.0,fit,240.9792,2139.84,2076.6,2151.46
BPI2013,gnn,NE-NMPr,2.0,predict,2.4795,2076.6,2139.84,2139.84
BPI2013,gnn,NE-NMPr,3.0,fit,245.1915,2078.72,2080.59,2084.88
BPI2013,gnn,NE-NMPr,3.0,predict,2.3327,2080.59,2127.66,2127.66
BPI2013,gnn,NE-NMPr,4.0,fit,253.1199,2077.22,2083.26,2090.59
BPI2013,gnn,NE-NMPr,4.0,predict,2.7202,2083.25,2120.5,2120.5
BPI2013,gnn,NV-PrT,,labeling,0.0645,1695.79,1709.64,1709.64
BPI2013,gnn,NV-PrT,0.0,fit,831.4495,1849.91,2439.03,2439.43
BPI2013,gnn,NV-PrT,0.0,predict,8.3236,2439.03,2682.66,2682.66
BPI2013,gnn,NV-PrT,1.0,fit,842.0482,2418.7,2488.34,2495.75
BPI2013,gnn,NV-PrT,1.0,predict,7.3034,2488.32,2677.23,2677.23
BPI2013,gnn,NV-PrT,2.0,fit,825.014,2424.6,2497.88,2502.35
BPI2013,gnn,NV-PrT,2.0,predict,8.2713,2497.86,2689.25,2689.25
BPI2013,gnn,NV-PrT,3.0,fit,846.4096,2444.12,2500.38,2504.56
BPI2013,gnn,NV-PrT,3.0,predict,8.3294,2500.36,2687.84,2687.84
BPI2013,gnn,NV-PrT,4.0,fit,832.911,2443.89,2505.34,2508.85
BPI2013,gnn,NV-PrT,4.0,predict,8.0072,2505.32,2677.66,2677.66
BPI2013,gnn,NV-PaT,,labeling,0.1254,1697.96,1711.49,1711.49
BPI2013,gnn,NV-PaT,0.0,fit,843.52,1851.59,2435.56,2508.29
BPI2013,gnn,NV-PaT,0.0,predict,7.4182,2435.54,2613.69,2656.21
BPI2013,gnn,NV-PaT,1.0,fit,852.5947,2276.31,2458.96,2464.69
BPI2013,gnn,NV-PaT,1.0,predict,7.3201,2458.95,2680.05,2680.05
BPI2013,gnn,NV-PaT,2.0,fit,831.0437,2436.36,2507.41,2511.87
BPI2013,gnn,NV-PaT,2.0,predict,7.3524,2507.39,2692.73,2692.73
BPI2013,gnn,NV-PaT,3.0,fit,840.125,2357.89,2457.53,2460.82
BPI2013,gnn,NV-PaT,3.0,predict,7.4936,2457.51,2623.05,2674.22
BPI2013,gnn,NV-PaT,4.0,fit,848.7597,2385.15,2511.67,2516.19
BPI2013,gnn,NV-PaT,4.0,predict,7.2234,2511.65,2616.46,2666.41
BPI2013,gnn,NV-TNE,,labeling,0.0708,2421.77,2422.58,2424.22
BPI2013,gnn,NV-TNE,0.0,fit,818.7176,2387.45,2507.81,2513.35
BPI2013,gnn,NV-TNE,0.0,predict,7.3298,2507.8,2682.59,2682.59
BPI2013,gnn,NV-TNE,1.0,fit,821.8308,2445.58,2513.01,2517.92
BPI2013,gnn,NV-TNE,1.0,predict,7.173,2512.99,2683.55,2683.55
BPI2013,gnn,NV-TNE,2.0,fit,813.2647,2441.95,2513.87,2515.57
BPI2013,gnn,NV-TNE,2.0,predict,8.2681,2513.85,2696.43,2696.43
BPI2013,gnn,NV-TNE,3.0,fit,821.002,2464.5,2513.38,2517.0
BPI2013,gnn,NV-TNE,3.0,predict,8.1436,2513.35,2691.72,2691.72
BPI2013,gnn,NV-TNE,4.0,fit,824.8502,2460.82,2511.45,2515.26
BPI2013,gnn,NV-TNE,4.0,predict,7.0492,2511.43,2684.19,2684.19
BPI2013,gnn,NV-TNM,,labeling,0.059,2424.22,2418.54,2424.22
BPI2013,gnn,NV-TNM,0.0,fit,221.191,2433.8,2357.01,2447.01
BPI2013,gnn,NV-TNM,0.0,predict,2.669,2357.01,2394.89,2394.89
BPI2013,gnn,NV-TNM,1.0,fit,222.2182,2356.31,2345.92,2369.82
BPI2013,gnn,NV-TNM,1.0,predict,2.0031,2345.92,2397.6,2397.6
BPI2013,gnn,NV-TNM,2.0,fit,214.8137,2347.16,2345.64,2353.9
BPI2013,gnn,NV-TNM,2.0,predict,2.2351,2345.64,2400.77,2400.77
BPI2013,gnn,NV-TNM,3.0,fit,219.883,2348.86,2342.35,2357.87
BPI2013,gnn,NV-TNM,3.0,predict,2.0843,2342.33,2396.62,2396.62
BPI2013,gnn,NV-TNM,4.0,fit,231.7896,2346.69,2342.3,2355.13
BPI2013,gnn,NV-TNM,4.0,predict,1.8681,2342.3,2388.53,2388.53
BPI2013,gnn,NV-NMPr,,labeling,0.1215,1695.89,1709.12,1709.12
BPI2013,gnn,NV-NMPr,0.0,fit,834.4475,1848.05,2430.85,2504.3
BPI2013,gnn,NV-NMPr,0.0,predict,7.3612,2430.83,2677.3,2677.3
BPI2013,gnn,NV-NMPr,1.0,fit,838.654,2337.51,2453.04,2458.36
BPI2013,gnn,NV-NMPr,1.0,predict,7.3374,2453.02,2676.07,2676.07
BPI2013,gnn,NV-NMPr,2.0,fit,828.367,2432.75,2507.73,2511.61
BPI2013,gnn,NV-NMPr,2.0,predict,7.5773,2507.71,2687.84,2687.84
BPI2013,gnn,NV-NMPr,3.0,fit,833.0614,2360.07,2459.8,2463.78
BPI2013,gnn,NV-NMPr,3.0,predict,7.5362,2459.78,2685.61,2685.61
BPI2013,gnn,NV-NMPr,4.0,fit,835.4826,2445.03,2505.29,2509.67
BPI2013,gnn,NV-NMPr,4.0,predict,7.1935,2505.27,2675.8,2675.8
BPI2013,gnn,NV-NMPa,,labeling,0.1396,2295.19,2302.23,2304.24
BPI2013,gnn,NV-NMPa,0.0,fit,829.0194,2317.93,2470.39,2475.63
BPI2013,gnn,NV-NMPa,0.0,predict,8.1782,2470.37,2680.68,2680.68
BPI2013,gnn,NV-NMPa,1.0,fit,834.3348,2446.8,2513.6,2518.32
BPI2013,gnn,NV-NMPa,1.0,predict,7.2603,2513.58,2679.66,2679.66
BPI2013,gnn,NV-NMPa,2.0,fit,825.6765,2434.38,2495.4,2501.72
BPI2013,gnn,NV-NMPa,2.0,predict,8.1663,2495.38,2691.22,2691.22
BPI2013,gnn,NV-NMPa,3.0,fit,827.3358,2463.04,2513.46,2517.2
BPI2013,gnn,NV-NMPa,3.0,predict,7.3451,2513.44,2690.65,2690.65
BPI2013,gnn,NV-NMPa,4.0,fit,836.7098,2458.95,2507.69,2512.73
BPI2013,gnn,NV-NMPa,4.0,predict,7.026,2507.67,2681.84,2681.84
BPI2013,gnn,OB-P,,labeling,0.0899,2326.03,2330.32,2330.32
BPI2013,gnn,OB-P,0.0,fit,836.6639,2354.42,2498.03,2502.82
BPI2013,gnn,OB-P,0.0,predict,8.1576,2498.01,2679.92,2679.92
BPI2013,gnn,OB-P,1.0,fit,835.9286,2445.2,2513.48,2518.12
BPI2013,gnn,OB-P,1.0,predict,8.1376,2513.46,2678.86,2678.86
BPI2013,gnn,OB-P,2.0,fit,824.0781,2443.87,2511.83,2516.43
BPI2013,gnn,OB-P,2.0,predict,8.1861,2511.81,2691.55,2691.55
BPI2013,gnn,OB-P,3.0,fit,824.5306,2465.96,2515.77,2520.06
BPI2013,gnn,OB-P,3.0,predict,8.1527,2515.75,2689.89,2689.89
BPI2013,gnn,OB-P,4.0,fit,838.2568,2457.7,2511.69,2516.43
BPI2013,gnn,OB-P,4.0,predict,7.103,2511.67,2680.02,2680.02
BPI2013,gnn,OB-M,,labeling,0.1061,1695.73,1706.68,1706.68
BPI2013,gnn,OB-M,0.0,fit,845.841,1845.26,2505.44,2506.26
BPI2013,gnn,OB-M,0.0,predict,8.2889,2505.42,2748.31,2748.31
BPI2013,gnn,OB-M,1.0,fit,847.8095,2478.48,2484.67,2558.84
BPI2013,gnn,OB-M,1.0,predict,7.3549,2484.65,2676.68,2676.68
BPI2013,gnn,OB-M,2.0,fit,835.9485,2428.3,2494.58,2498.76
BPI2013,gnn,OB-M,2.0,predict,8.3122,2494.56,2687.32,2687.32
BPI2013,gnn,OB-M,3.0,fit,833.0146,2439.48,2495.94,2500.35
BPI2013,gnn,OB-M,3.0,predict,8.2021,2495.92,2686.03,2686.03
BPI2013,gnn,OB-M,4.0,fit,844.0209,2441.34,2501.46,2506.48
BPI2013,gnn,OB-M,4.0,predict,7.9491,2501.44,2674.73,2674.73
