log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
BPI2013,random_forest,,,ocel_load,26.5567,612.54,1618.07,1691.72
BPI2013,random_forest,,,feature_extraction,12.6736,1617.91,1700.12,1809.52
BPI2013,random_forest,NE-NEPr,,labeling,0.0609,1701.07,1711.79,1711.79
BPI2013,random_forest,NE-NEPr,0.0,fit,1.2247,1712.78,2242.42,2267.16
BPI2013,random_forest,NE-NEPr,0.0,predict,0.0589,2242.42,2241.42,2242.42
BPI2013,random_forest,NE-NEPr,1.0,fit,1.1383,1738.24,2242.96,2264.63
BPI2013,random_forest,NE-NEPr,1.0,predict,0.0683,2242.95,2241.23,2243.32
BPI2013,random_forest,NE-NEPr,2.0,fit,1.177,1734.25,2241.82,2258.98
BPI2013,random_forest,NE-NEPr,2.0,predict,0.0905,2241.68,2176.13,2241.68
BPI2013,random_forest,NE-NEPr,3.0,fit,1.1936,1748.39,2242.95,2253.52
BPI2013,random_forest,NE-NEPr,3.0,predict,0.0727,2242.91,2241.63,2242.91
BPI2013,random_forest,NE-NEPr,4.0,fit,1.092,1743.0,2241.67,2260.19
BPI2013,random_forest,NE-NEPr,4.0,predict,0.0718,2241.63,2240.2,2243.98
BPI2013,random_forest,NE-NPaA,,labeling,0.0617,1729.01,1726.35,1730.08
BPI2013,random_forest,NE-NPaA,0.0,fit,1.4892,1731.77,2973.0,2976.04
BPI2013,random_forest,NE-NPaA,0.0,predict,0.1354,2972.99,2972.73,2994.87
BPI2013,random_forest,NE-NPaA,1.0,fit,1.4826,1749.16,3036.33,3055.26
BPI2013,random_forest,NE-NPaA,1.0,predict,0.1485,3036.33,3025.95,3070.66
BPI2013,random_forest,NE-NPaA,2.0,fit,1.516,1776.36,3016.79,3040.35
BPI2013,random_forest,NE-NPaA,2.0,predict,0.1489,3016.79,3016.25,3048.33
BPI2013,random_forest,NE-NPaA,3.0,fit,1.4712,1748.17,3068.27,3071.25
BPI2013,random_forest,NE-NPaA,3.0,predict,0.1641,3068.27,3066.95,3104.7
BPI2013,random_forest,NE-NPaA,4.0,fit,1.4781,1763.59,3098.1,3098.1
BPI2013,random_forest,NE-NPaA,4.0,predict,0.1565,3098.1,3109.61,3117.13
BPI2013,random_forest,NE-NEPa,,labeling,0.0771,1767.71,1758.67,1767.71
BPI2013,random_forest,NE-NEPa,0.0,fit,4.0002,1765.93,6110.75,6209.68
BPI2013,random_forest,NE-NEPa,0.0,predict,0.4854,6110.71,6107.31,6222.52
BPI2013,random_forest,NE-NEPa,1.0,fit,3.851,1746.34,6117.21,6166.72
BPI2013,random_forest,NE-NEPa,1.0,predict,0.4183,6116.98,6107.63,6221.76
BPI2013,random_forest,NE-NEPa,2.0,fit,3.8589,1765.02,6052.16,6093.12
BPI2013,random_forest,NE-NEPa,2.0,predict,0.4731,6051.97,6046.61,6159.76
BPI2013,random_forest,NE-NEPa,3.0,fit,3.9425,1744.11,6158.25,6199.7
BPI2013,random_forest,NE-NEPa,3.0,predict,0.4197,6157.93,6145.6,6268.13
BPI2013,random_forest,NE-NEPa,4.0,fit,4.0038,1761.78,6298.85,6409.03
BPI2013,random_forest,NE-NEPa,4.0,predict,0.5406,6298.6,6288.99,6410.79
BPI2013,random_forest,NE-NPaM,,labeling,0.091,1765.0,1753.51,1765.0
BPI2013,random_forest,NE-NPaM,0.0,fit,0.4423,1753.26,2164.36,2164.36
BPI2013,random_forest,NE-NPaM,0.0,predict,0.0537,2164.36,2172.9,2172.9
BPI2013,random_forest,NE-NPaM,1.0,fit,0.4085,1709.72,2152.07,2152.07
BPI2013,random_forest,NE-NPaM,1.0,predict,0.0357,2152.07,2160.67,2160.67
BPI2013,random_forest,NE-NPaM,2.0,fit,0.3918,1732.46,2140.36,2140.36
BPI2013,random_forest,NE-NPaM,2.0,predict,0.0546,2140.36,2148.29,2148.36
BPI2013,random_forest,NE-NPaM,3.0,fit,0.4197,1729.04,2165.9,2165.9
BPI2013,random_forest,NE-NPaM,3.0,predict,0.0447,2165.9,2175.52,2175.52
BPI2013,random_forest,NE-NPaM,4.0,fit,0.4951,1728.31,2223.86,2232.54
BPI2013,random_forest,NE-NPaM,4.0,predict,0.0498,2223.73,2222.89,2223.73
BPI2013,random_forest,NE-NMPa,,labeling,0.0746,1732.17,1732.28,1732.59
BPI2013,random_forest,NE-NMPa,0.0,fit,0.2484,1733.24,1739.39,1748.69
BPI2013,random_forest,NE-NMPa,0.0,predict,0.0339,1739.2,1737.99,1739.2
BPI2013,random_forest,NE-NMPa,1.0,fit,0.2492,1733.29,1738.76,1747.82
BPI2013,random_forest,NE-NMPa,1.0,predict,0.0444,1738.63,1738.82,1738.82
BPI2013,random_forest,NE-NMPa,2.0,fit,0.2369,1733.1,1739.25,1749.56
BPI2013,random_forest,NE-NMPa,2.0,predict,0.0347,1739.25,1730.26,1739.25
BPI2013,random_forest,NE-NMPa,3.0,fit,0.1949,1691.9,1707.79,1707.81
BPI2013,random_forest,NE-NMPa,3.0,predict,0.0278,1707.79,1708.13,1708.13
BPI2013,random_forest,NE-NMPa,4.0,fit,0.1819,1707.87,1709.3,1709.38
BPI2013,random_forest,NE-NMPa,4.0,predict,0.0297,1709.3,1709.29,1709.3
BPI2013,random_forest,NE-NMPr,,labeling,0.0669,1708.74,1718.5,1718.5
BPI2013,random_forest,NE-NMPr,0.0,fit,0.2279,1718.75,1721.3,1721.3
BPI2013,random_forest,NE-NMPr,0.0,predict,0.0204,1721.3,1721.1,1721.3
BPI2013,random_forest,NE-NMPr,1.0,fit,0.1954,1720.68,1707.32,1721.48
BPI2013,random_forest,NE-NMPr,1.0,predict,0.0295,1707.32,1707.59,1707.59
BPI2013,random_forest,NE-NMPr,2.0,fit,0.1989,1707.94,1712.05,1712.05
BPI2013,random_forest,NE-NMPr,2.0,predict,0.0202,1712.03,1711.97,1712.03
BPI2013,random_forest,NE-NMPr,3.0,fit,0.1961,1711.51,1712.39,1712.39
BPI2013,random_forest,NE-NMPr,3.0,predict,0.045,1712.39,1712.1,1712.39
BPI2013,random_forest,NE-NMPr,4.0,fit,0.1901,1711.67,1712.57,1712.6
BPI2013,random_forest,NE-NMPr,4.0,predict,0.0283,1712.57,1712.33,1712.57
BPI2013,random_forest,NV-PrT,,labeling,0.0603,1711.84,1734.11,1734.11
BPI2013,random_forest,NV-PrT,0.0,fit,1.603,1737.35,2446.27,2458.7
BPI2013,random_forest,NV-PrT,0.0,predict,0.0918,2446.26,2443.96,2446.26
BPI2013,random_forest,NV-PrT,1.0,fit,1.6079,1753.23,2430.8,2430.8
BPI2013,random_forest,NV-PrT,1.0,predict,0.0991,2430.8,2431.28,2431.31
BPI2013,random_forest,NV-PrT,2.0,fit,1.5891,1743.84,2441.93,2450.98
BPI2013,random_forest,NV-PrT,2.0,predict,0.0917,2441.93,2440.61,2441.93
BPI2013,random_forest,NV-PrT,3.0,fit,1.5472,1746.88,2441.41,2444.12
BPI2013,random_forest,NV-PrT,3.0,predict,0.0981,2441.41,2439.84,2441.41
BPI2013,random_forest,NV-PrT,4.0,fit,1.617,1745.84,2423.12,2443.06
BPI2013,random_forest,NV-PrT,4.0,predict,0.0823,2423.12,2423.75,2423.77
BPI2013,random_forest,NV-PaT,,labeling,0.1461,1747.11,1736.47,1747.11
BPI2013,random_forest,NV-PaT,0.0,fit,1.7232,1740.02,2297.05,2336.88
BPI2013,random_forest,NV-PaT,0.0,predict,0.0825,2297.05,2297.22,2297.25
BPI2013,random_forest,NV-PaT,1.0,fit,1.7004,1748.34,2341.65,2351.85
BPI2013,random_forest,NV-PaT,1.0,predict,0.0744,2341.64,2341.42,2341.64
BPI2013,random_forest,NV-PaT,2.0,fit,1.6496,1741.13,2334.23,2346.32
BPI2013,random_forest,NV-PaT,2.0,predict,0.0857,2334.23,2334.65,2334.65
BPI2013,random_forest,NV-PaT,3.0,fit,1.7467,1752.53,2334.14,2339.0
BPI2013,random_forest,NV-PaT,3.0,predict,0.0753,2334.02,2333.82,2334.02
BPI2013,random_forest,NV-PaT,4.0,fit,1.7792,1742.87,2336.96,2336.96
BPI2013,random_forest,NV-PaT,4.0,predict,0.082,2336.92,2337.44,2337.44
BPI2013,random_forest,NV-TNE,,labeling,0.0731,1739.72,1736.23,1741.03
BPI2013,random_forest,NV-TNE,0.0,fit,1.4936,1740.11,2402.41,2412.54
BPI2013,random_forest,NV-TNE,0.0,predict,0.0945,2402.4,2401.41,2402.4
BPI2013,random_forest,NV-TNE,1.0,fit,1.4609,1742.09,2403.36,2411.08
BPI2013,random_forest,NV-TNE,1.0,predict,0.0763,2402.85,2403.53,2403.54
BPI2013,random_forest,NV-TNE,2.0,fit,1.4178,1741.81,2393.5,2407.37
BPI2013,random_forest,NV-TNE,2.0,predict,0.0854,2393.47,2393.53,2395.69
BPI2013,random_forest,NV-TNE,3.0,fit,1.4715,1744.16,2401.24,2413.65
BPI2013,random_forest,NV-TNE,3.0,predict,0.0996,2401.24,2399.13,2401.24
BPI2013,random_forest,NV-TNE,4.0,fit,1.4572,1743.94,2403.97,2423.84
BPI2013,random_forest,NV-TNE,4.0,predict,0.0788,2403.84,2400.68,2404.5
BPI2013,random_forest,NV-TNM,,labeling,0.0587,1751.26,1740.89,1751.26
BPI2013,random_forest,NV-TNM,0.0,fit,0.4727,1740.15,1937.26,1937.26
