log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
BPI2013,xgboost,,,ocel_load,26.7225,612.95,1618.87,1691.66
BPI2013,xgboost,,,feature_extraction,12.1421,1618.71,1699.93,1802.47
BPI2013,xgboost,NE-NPaA,,labeling,0.0545,1700.86,1712.09,1712.09
BPI2013,xgboost,NE-NPaA,0.0,fit,4.0828,1717.27,1860.83,1880.43
BPI2013,xgboost,NE-NPaA,0.0,predict,0.1135,1860.83,1862.02,1862.98
BPI2013,xgboost,NE-NPaA,1.0,fit,3.9642,1847.28,1860.3,1902.82
BPI2013,xgboost,NE-NPaA,1.0,predict,0.11,1860.3,1861.88,1861.88
BPI2013,xgboost,NE-NPaA,2.0,fit,3.951,1845.53,1861.14,1898.79
BPI2013,xgboost,NE-NPaA,2.0,predict,0.113,1861.14,1862.39,1863.25
BPI2013,xgboost,NE-NPaA,3.0,fit,4.2196,1846.73,1862.33,1897.79
BPI2013,xgboost,NE-NPaA,3.0,predict,0.1195,1862.33,1862.88,1863.88
BPI2013,xgboost,NE-NPaA,4.0,fit,4.1968,1847.74,1862.01,1899.42
BPI2013,xgboost,NE-NPaA,4.0,predict,0.1126,1862.01,1862.77,1863.78
BPI2013,xgboost,NE-NMPr,,labeling,0.0768,1840.76,1833.73,1840.76
BPI2013,xgboost,NE-NMPr,0.0,fit,0.05,1834.43,1836.3,1836.3
BPI2013,xgboost,NE-NMPr,0.0,predict,0.0024,1836.27,1836.27,1836.27
BPI2013,xgboost,NE-NMPr,1.0,fit,0.0493,1835.24,1836.06,1836.06
BPI2013,xgboost,NE-NMPr,1.0,predict,0.0023,1836.06,1836.1,1836.1
BPI2013,xgboost,NE-NMPr,2.0,fit,0.0526,1835.34,1835.58,1835.58
BPI2013,xgboost,NE-NMPr,2.0,predict,0.0025,1834.69,1834.77,1834.77
BPI2013,xgboost,NE-NMPr,3.0,fit,0.0495,1834.61,1835.29,1835.29
BPI2013,xgboost,NE-NMPr,3.0,predict,0.0028,1835.29,1835.29,1835.29
BPI2013,xgboost,NE-NMPr,4.0,fit,0.0586,1834.58,1835.45,1835.85
BPI2013,xgboost,NE-NMPr,4.0,predict,0.0023,1835.45,1835.48,1835.48
BPI2013,xgboost,NV-PrT,,labeling,0.0962,1833.3,1840.11,1840.11
BPI2013,xgboost,NV-PrT,0.0,fit,0.1797,1842.93,1819.98,1842.93
BPI2013,xgboost,NV-PrT,0.0,predict,0.0062,1819.98,1820.0,1820.0
BPI2013,xgboost,NV-PrT,1.0,fit,0.1745,1823.07,1826.24,1826.24
BPI2013,xgboost,NV-PrT,1.0,predict,0.0063,1826.24,1826.25,1826.25
BPI2013,xgboost,NV-PrT,2.0,fit,0.183,1826.27,1827.24,1827.24
BPI2013,xgboost,NV-PrT,2.0,predict,0.0065,1827.24,1827.25,1827.25
BPI2013,xgboost,NV-PrT,3.0,fit,0.1737,1827.25,1827.53,1827.53
BPI2013,xgboost,NV-PrT,3.0,predict,0.0064,1827.53,1827.53,1827.53
BPI2013,xgboost,NV-PrT,4.0,fit,0.171,1827.51,1828.08,1828.08
BPI2013,xgboost,NV-PrT,4.0,predict,0.0062,1828.08,1828.08,1828.08
BPI2013,xgboost,NV-PaT,,labeling,0.1723,1828.06,1842.75,1842.75
BPI2013,xgboost,NV-PaT,0.0,fit,0.1736,1843.17,1820.84,1843.17
BPI2013,xgboost,NV-PaT,0.0,predict,0.0062,1820.84,1820.84,1820.84
BPI2013,xgboost,NV-PaT,1.0,fit,0.1776,1824.91,1827.05,1827.05
BPI2013,xgboost,NV-PaT,1.0,predict,0.0061,1827.05,1827.05,1827.05
BPI2013,xgboost,NV-PaT,2.0,fit,0.172,1827.06,1827.79,1827.79
BPI2013,xgboost,NV-PaT,2.0,predict,0.0063,1827.79,1827.8,1827.8
BPI2013,xgboost,NV-PaT,3.0,fit,0.1755,1827.81,1828.2,1828.2
BPI2013,xgboost,NV-PaT,3.0,predict,0.0063,1828.2,1828.2,1828.2
BPI2013,xgboost,NV-PaT,4.0,fit,0.1658,1828.18,1828.41,1828.41
BPI2013,xgboost,NV-PaT,4.0,predict,0.0062,1828.41,1828.47,1828.47
BPI2013,xgboost,NV-NMPr,,labeling,0.1628,1828.45,1840.09,1840.09
BPI2013,xgboost,NV-NMPr,0.0,fit,0.1763,1840.07,1820.84,1840.07
BPI2013,xgboost,NV-NMPr,0.0,predict,0.0066,1820.84,1820.84,1820.84
BPI2013,xgboost,NV-NMPr,1.0,fit,0.1779,1824.96,1827.32,1827.32
BPI2013,xgboost,NV-NMPr,1.0,predict,0.0068,1827.32,1827.32,1827.32
BPI2013,xgboost,NV-NMPr,2.0,fit,0.1699,1827.31,1827.62,1827.62
BPI2013,xgboost,NV-NMPr,2.0,predict,0.0064,1827.62,1827.62,1827.62
BPI2013,xgboost,NV-NMPr,3.0,fit,0.1717,1827.61,1827.7,1827.7
BPI2013,xgboost,NV-NMPr,3.0,predict,0.0064,1827.7,1827.7,1827.7
BPI2013,xgboost,NV-NMPr,4.0,fit,0.171,1827.71,1828.25,1828.25
BPI2013,xgboost,NV-NMPr,4.0,predict,0.0061,1828.25,1828.25,1828.25
BPI2013,xgboost,OB-M,,labeling,0.1402,1828.23,1839.6,1839.6
BPI2013,xgboost,OB-M,0.0,fit,0.1749,1839.77,1821.23,1839.78
BPI2013,xgboost,OB-M,0.0,predict,0.0068,1821.23,1821.22,1821.23
BPI2013,xgboost,OB-M,1.0,fit,0.1727,1827.1,1830.22,1830.22
BPI2013,xgboost,OB-M,1.0,predict,0.0066,1830.22,1830.22,1830.22
BPI2013,xgboost,OB-M,2.0,fit,0.1725,1830.24,1830.36,1830.36
BPI2013,xgboost,OB-M,2.0,predict,0.0067,1830.36,1830.36,1830.36
BPI2013,xgboost,OB-M,3.0,fit,0.1685,1830.37,1831.19,1831.19
BPI2013,xgboost,OB-M,3.0,predict,0.0068,1831.19,1831.19,1831.19
BPI2013,xgboost,OB-M,4.0,fit,0.1831,1831.2,1822.4,1831.2
BPI2013,xgboost,OB-M,4.0,predict,0.0066,1822.4,1822.4,1822.4
