log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,gnn,,,ocel_load,1.539,614.65,710.81,719.05
Healthcare,gnn,,,feature_extraction,0.6841,710.87,763.94,766.71
Healthcare,gnn,NE-NEPr,,labeling,0.002,764.13,764.8,764.8
Healthcare,gnn,NE-NEPr,0.0,fit,19.738,878.92,1030.73,1030.78
Healthcare,gnn,NE-NEPr,0.0,predict,0.1888,1030.73,1036.18,1036.18
Healthcare,gnn,NE-NEPr,1.0,fit,19.2187,1033.55,1033.95,1034.96
Healthcare,gnn,NE-NEPr,1.0,predict,0.164,1033.95,1037.48,1037.48
Healthcare,gnn,NE-NEPr,2.0,fit,18.0058,1037.52,1034.62,1037.63
Healthcare,gnn,NE-NEPr,2.0,predict,0.1911,1034.62,1037.37,1037.37
Healthcare,gnn,NE-NEPr,3.0,fit,18.6341,1037.46,1034.15,1037.6
Healthcare,gnn,NE-NEPr,3.0,predict,0.168,1034.15,1036.25,1036.25
Healthcare,gnn,NE-NEPr,4.0,fit,18.0938,1036.79,1033.83,1036.84
Healthcare,gnn,NE-NEPr,4.0,predict,0.2125,1033.83,1036.1,1036.1
Healthcare,gnn,NE-NPaA,,labeling,0.003,1036.08,1036.34,1036.34
Healthcare,gnn,NE-NPaA,0.0,fit,18.4835,1036.46,1035.58,1037.02
Healthcare,gnn,NE-NPaA,0.0,predict,0.2017,1035.58,1037.75,1037.75
Healthcare,gnn,NE-NPaA,1.0,fit,18.7639,1037.87,1035.08,1037.89
Healthcare,gnn,NE-NPaA,1.0,predict,0.1962,1035.08,1037.27,1037.27
Healthcare,gnn,NE-NPaA,2.0,fit,17.6069,1037.52,1036.43,1037.57
Healthcare,gnn,NE-NPaA,2.0,predict,0.2188,1036.43,1037.53,1037.53
Healthcare,gnn,NE-NPaA,3.0,fit,18.1271,1036.0,1035.92,1037.74
Healthcare,gnn,NE-NPaA,3.0,predict,0.1765,1035.92,1038.17,1038.17
Healthcare,gnn,NE-NPaA,4.0,fit,18.1771,1038.57,1035.58,1038.6
Healthcare,gnn,NE-NPaA,4.0,predict,0.1635,1035.58,1037.57,1037.57
Healthcare,gnn,NE-NEPa,,labeling,0.003,1037.55,1037.71,1037.71
Healthcare,gnn,NE-NEPa,0.0,fit,18.4789,1037.98,1036.07,1038.01
Healthcare,gnn,NE-NEPa,0.0,predict,0.1856,1036.07,1038.27,1038.27
Healthcare,gnn,NE-NEPa,1.0,fit,18.6651,1038.57,1036.68,1038.61
Healthcare,gnn,NE-NEPa,1.0,predict,0.1508,1036.68,1037.88,1037.88
Healthcare,gnn,NE-NEPa,2.0,fit,17.7838,1035.46,1036.83,1037.81
Healthcare,gnn,NE-NEPa,2.0,predict,0.1948,1036.83,1039.47,1039.47
Healthcare,gnn,NE-NEPa,3.0,fit,18.316,1039.52,1035.87,1039.52
Healthcare,gnn,NE-NEPa,3.0,predict,0.1716,1035.87,1038.02,1038.02
Healthcare,gnn,NE-NEPa,4.0,fit,18.2867,1038.29,1037.0,1038.34
Healthcare,gnn,NE-NEPa,4.0,predict,0.1863,1037.0,1038.54,1038.54
Healthcare,gnn,NE-NPaM,,labeling,0.0032,1038.52,1038.54,1038.54
Healthcare,gnn,NE-NPaM,0.0,fit,17.403,1038.54,1036.78,1038.6
Healthcare,gnn,NE-NPaM,0.0,predict,0.2056,1036.78,1038.35,1038.35
Healthcare,gnn,NE-NPaM,1.0,fit,18.1405,1038.39,1038.41,1039.67
Healthcare,gnn,NE-NPaM,1.0,predict,0.1632,1038.41,1039.16,1039.16
Healthcare,gnn,NE-NPaM,2.0,fit,16.7958,1039.2,1038.67,1039.36
Healthcare,gnn,NE-NPaM,2.0,predict,0.3331,1038.67,1039.67,1039.67
Healthcare,gnn,NE-NPaM,3.0,fit,17.5651,1039.67,1039.16,1040.38
Healthcare,gnn,NE-NPaM,3.0,predict,0.1743,1039.16,1040.56,1040.56
Healthcare,gnn,NE-NPaM,4.0,fit,17.2769,1040.58,1037.38,1040.66
Healthcare,gnn,NE-NPaM,4.0,predict,0.1741,1037.38,1039.37,1039.37
Healthcare,gnn,NE-NMPa,,labeling,0.0033,1039.35,1039.38,1039.38
Healthcare,gnn,NE-NMPa,0.0,fit,14.285,1039.4,1038.13,1039.49
Healthcare,gnn,NE-NMPa,0.0,predict,0.1763,1038.13,1040.31,1040.31
Healthcare,gnn,NE-NMPa,1.0,fit,15.4137,1038.59,1037.6,1039.04
Healthcare,gnn,NE-NMPa,1.0,predict,0.1394,1037.6,1039.74,1039.74
Healthcare,gnn,NE-NMPa,2.0,fit,14.551,1039.77,1039.07,1039.79
Healthcare,gnn,NE-NMPa,2.0,predict,0.1597,1039.07,1039.9,1039.9
Healthcare,gnn,NE-NMPa,3.0,fit,14.356,1037.89,1037.39,1039.12
Healthcare,gnn,NE-NMPa,3.0,predict,0.1442,1037.39,1039.36,1039.36
Healthcare,gnn,NE-NMPa,4.0,fit,14.4517,1039.36,1036.33,1039.38
Healthcare,gnn,NE-NMPa,4.0,predict,0.1407,1036.33,1038.24,1038.24
Healthcare,gnn,NE-NMPr,,labeling,0.0032,1038.22,1038.25,1038.25
Healthcare,gnn,NE-NMPr,0.0,fit,18.4779,1035.17,1038.84,1039.3
Healthcare,gnn,NE-NMPr,0.0,predict,0.1974,1038.84,1039.9,1039.9
Healthcare,gnn,NE-NMPr,1.0,fit,18.6042,1040.15,1038.2,1040.42
Healthcare,gnn,NE-NMPr,1.0,predict,0.1692,1038.2,1040.45,1040.45
Healthcare,gnn,NE-NMPr,2.0,fit,17.6727,1040.49,1038.69,1041.09
Healthcare,gnn,NE-NMPr,2.0,predict,0.1935,1038.69,1040.78,1040.78
Healthcare,gnn,NE-NMPr,3.0,fit,18.0322,1041.06,1037.57,1041.09
Healthcare,gnn,NE-NMPr,3.0,predict,0.175,1037.57,1040.05,1040.05
Healthcare,gnn,NE-NMPr,4.0,fit,18.1408,1040.42,1040.45,1040.48
Healthcare,gnn,NE-NMPr,4.0,predict,0.1738,1040.45,1041.38,1041.38
Healthcare,gnn,NV-PrT,,labeling,0.0031,1041.36,1041.4,1041.4
Healthcare,gnn,NV-PrT,0.0,fit,18.4704,1038.94,1039.5,1040.36
Healthcare,gnn,NV-PrT,0.0,predict,0.2077,1039.5,1042.24,1042.24
Healthcare,gnn,NV-PrT,1.0,fit,18.623,1042.62,1038.62,1042.66
Healthcare,gnn,NV-PrT,1.0,predict,0.1585,1038.62,1039.99,1039.99
Healthcare,gnn,NV-PrT,2.0,fit,17.6983,1040.31,1018.82,1040.34
Healthcare,gnn,NV-PrT,2.0,predict,0.2248,1018.82,1020.9,1020.9
Healthcare,gnn,NV-PrT,3.0,fit,18.102,1017.45,1005.2,1017.45
Healthcare,gnn,NV-PrT,3.0,predict,0.1709,1005.2,1005.68,1005.68
Healthcare,gnn,NV-PrT,4.0,fit,17.927,1006.35,1004.36,1006.7
Healthcare,gnn,NV-PrT,4.0,predict,0.1616,1004.36,1005.33,1005.33
Healthcare,gnn,NV-PaT,,labeling,0.005,1005.3,1005.32,1005.32
Healthcare,gnn,NV-PaT,0.0,fit,18.3393,1005.88,1003.8,1006.26
Healthcare,gnn,NV-PaT,0.0,predict,0.1891,1003.8,1006.56,1006.56
Healthcare,gnn,NV-PaT,1.0,fit,18.6066,1006.6,1004.45,1007.1
Healthcare,gnn,NV-PaT,1.0,predict,0.179,1004.45,1005.38,1005.38
Healthcare,gnn,NV-PaT,2.0,fit,17.3507,1005.8,1003.94,1005.88
Healthcare,gnn,NV-PaT,2.0,predict,0.1926,1003.94,1006.47,1006.47
Healthcare,gnn,NV-PaT,3.0,fit,18.1799,1006.85,1003.43,1007.62
Healthcare,gnn,NV-PaT,3.0,predict,0.1806,1003.43,1004.91,1004.91
Healthcare,gnn,NV-PaT,4.0,fit,17.9061,1005.48,1005.05,1005.8
Healthcare,gnn,NV-PaT,4.0,predict,0.1883,1005.05,1006.3,1006.3
Healthcare,gnn,NV-TNE,,labeling,0.0035,1003.59,1004.19,1004.19
Healthcare,gnn,NV-TNE,0.0,fit,18.2893,1004.52,1004.85,1005.91
Healthcare,gnn,NV-TNE,0.0,predict,0.1983,1004.85,1006.13,1006.13
Healthcare,gnn,NV-TNE,1.0,fit,18.6335,1006.26,1004.68,1006.32
Healthcare,gnn,NV-TNE,1.0,predict,0.1532,1004.68,1005.71,1005.71
Healthcare,gnn,NV-TNE,2.0,fit,17.5026,1005.94,1004.91,1006.0
Healthcare,gnn,NV-TNE,2.0,predict,0.1975,1004.91,1007.15,1007.15
Healthcare,gnn,NV-TNE,3.0,fit,17.9402,1007.29,1003.29,1007.34
Healthcare,gnn,NV-TNE,3.0,predict,0.1907,1003.29,1005.0,1005.0
Healthcare,gnn,NV-TNE,4.0,fit,18.1514,1005.53,1004.25,1005.74
Healthcare,gnn,NV-TNE,4.0,predict,0.1881,1004.25,1005.65,1005.65
Healthcare,gnn,NV-TNM,,labeling,0.0035,1005.63,1005.65,1005.65
Healthcare,gnn,NV-TNM,0.0,fit,16.4264,1006.07,1003.39,1006.43
Healthcare,gnn,NV-TNM,0.0,predict,0.19,1003.39,1005.81,1005.81
Healthcare,gnn,NV-TNM,1.0,fit,17.8954,1006.39,1005.62,1006.65
Healthcare,gnn,NV-TNM,1.0,predict,0.1448,1005.62,1005.52,1006.2
Healthcare,gnn,NV-TNM,2.0,fit,16.8626,1005.7,1005.36,1006.87
Healthcare,gnn,NV-TNM,2.0,predict,0.2058,1005.36,1007.39,1007.39
Healthcare,gnn,NV-TNM,3.0,fit,17.3917,1007.42,1007.31,1008.1
Healthcare,gnn,NV-TNM,3.0,predict,0.1612,1007.31,1008.48,1008.48
Healthcare,gnn,NV-TNM,4.0,fit,17.2598,1008.47,1005.02,1008.5
Healthcare,gnn,NV-TNM,4.0,predict,0.1748,1005.02,1006.02,1006.02
Healthcare,gnn,NV-NMPr,,labeling,0.005,1006.0,1006.03,1006.03
Healthcare,gnn,NV-NMPr,0.0,fit,18.5232,1006.01,1005.36,1006.28
Healthcare,gnn,NV-NMPr,0.0,predict,0.2073,1005.36,1007.49,1007.49
Healthcare,gnn,NV-NMPr,1.0,fit,18.58,1007.59,1005.15,1007.9
Healthcare,gnn,NV-NMPr,1.0,predict,0.1538,1005.15,1006.92,1006.92
Healthcare,gnn,NV-NMPr,2.0,fit,17.4743,1006.93,1005.2,1006.96
Healthcare,gnn,NV-NMPr,2.0,predict,0.1871,1005.2,1007.25,1007.25
Healthcare,gnn,NV-NMPr,3.0,fit,18.0827,1007.63,1005.2,1007.69
Healthcare,gnn,NV-NMPr,3.0,predict,0.2057,1005.2,1006.22,1006.22
Healthcare,gnn,NV-NMPr,4.0,fit,17.9968,1006.55,1005.17,1006.9
Healthcare,gnn,NV-NMPr,4.0,predict,0.1805,1005.17,1006.05,1006.05
Healthcare,gnn,NV-NMPa,,labeling,0.0055,1006.03,1006.05,1006.05
Healthcare,gnn,NV-NMPa,0.0,fit,18.3411,1006.07,1003.9,1006.52
Healthcare,gnn,NV-NMPa,0.0,predict,0.3144,1003.9,1006.65,1006.65
Healthcare,gnn,NV-NMPa,1.0,fit,18.5214,1007.03,1004.86,1007.63
Healthcare,gnn,NV-NMPa,1.0,predict,0.15,1004.86,1006.2,1006.2
Healthcare,gnn,NV-NMPa,2.0,fit,17.457,1006.77,1004.65,1007.19
Healthcare,gnn,NV-NMPa,2.0,predict,0.201,1004.65,1007.09,1007.09
Healthcare,gnn,NV-NMPa,3.0,fit,18.1092,1007.87,1004.34,1008.53
Healthcare,gnn,NV-NMPa,3.0,predict,0.2014,1004.34,1006.53,1006.53
Healthcare,gnn,NV-NMPa,4.0,fit,17.9655,1006.82,1005.05,1007.52
Healthcare,gnn,NV-NMPa,4.0,predict,0.1878,1005.05,1006.22,1006.22
Healthcare,gnn,OB-P,,labeling,0.0037,1006.2,1006.23,1006.23
Healthcare,gnn,OB-P,0.0,fit,18.4199,1006.22,1005.23,1006.3
Healthcare,gnn,OB-P,0.0,predict,0.1815,1005.23,1006.62,1006.62
Healthcare,gnn,OB-P,1.0,fit,18.7748,1006.9,1005.66,1007.57
Healthcare,gnn,OB-P,1.0,predict,0.1445,1005.66,1007.9,1007.9
Healthcare,gnn,OB-P,2.0,fit,17.5041,1008.16,1005.76,1008.23
Healthcare,gnn,OB-P,2.0,predict,0.1938,1005.76,1007.98,1007.98
Healthcare,gnn,OB-P,3.0,fit,18.1283,1008.72,1005.64,1008.77
Healthcare,gnn,OB-P,3.0,predict,0.1725,1005.64,1008.07,1008.07
Healthcare,gnn,OB-P,4.0,fit,18.2289,1008.1,1004.09,1008.12
Healthcare,gnn,OB-P,4.0,predict,0.1878,1004.09,1006.28,1006.28
Healthcare,gnn,OB-M,,labeling,0.0052,1006.26,1006.29,1006.29
Healthcare,gnn,OB-M,0.0,fit,18.2856,1006.55,1005.57,1007.26
Healthcare,gnn,OB-M,0.0,predict,0.1861,1005.57,1008.12,1008.12
Healthcare,gnn,OB-M,1.0,fit,18.5042,1008.1,1004.5,1008.69
Healthcare,gnn,OB-M,1.0,predict,0.1644,1004.5,1006.88,1006.88
Healthcare,gnn,OB-M,2.0,fit,17.5827,1006.93,1005.55,1007.01
Healthcare,gnn,OB-M,2.0,predict,0.1899,1005.55,1008.26,1008.26
Healthcare,gnn,OB-M,3.0,fit,18.0763,1008.38,1004.05,1008.43
Healthcare,gnn,OB-M,3.0,predict,0.178,1004.05,1006.48,1006.48
Healthcare,gnn,OB-M,4.0,fit,17.9963,1006.57,1006.66,1007.29
Healthcare,gnn,OB-M,4.0,predict,0.2831,1006.66,1006.54,1006.7
Artificial1,gnn,,,ocel_load,0.3317,995.97,998.01,998.01
Artificial1,gnn,,,feature_extraction,0.0747,998.01,999.06,999.21
Artificial1,gnn,NE-NEPr,,labeling,0.0013,999.3,999.33,999.33
