log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,lstm_torch,,,ocel_load,1.5206,610.79,710.62,718.52
Healthcare,lstm_torch,,,feature_extraction,0.7143,710.68,763.74,763.74
Healthcare,lstm_torch,NE-NEPr,,labeling,0.0036,763.89,764.55,764.55
Healthcare,lstm_torch,NE-NEPr,0.0,fit,1.5005,796.59,898.1,898.1
Healthcare,lstm_torch,NE-NEPr,0.0,predict,0.0017,898.11,898.41,898.41
Healthcare,lstm_torch,NE-NEPr,1.0,fit,1.3598,899.29,899.94,899.94
Healthcare,lstm_torch,NE-NEPr,1.0,predict,0.0016,899.94,899.94,899.94
Healthcare,lstm_torch,NE-NEPr,2.0,fit,1.3412,899.96,899.99,900.0
Healthcare,lstm_torch,NE-NEPr,2.0,predict,0.0016,899.99,900.03,900.03
Healthcare,lstm_torch,NE-NEPr,3.0,fit,1.2934,900.19,900.26,900.26
Healthcare,lstm_torch,NE-NEPr,3.0,predict,0.0016,900.26,900.26,900.26
Healthcare,lstm_torch,NE-NEPr,4.0,fit,1.2358,900.39,900.42,900.42
Healthcare,lstm_torch,NE-NEPr,4.0,predict,0.0016,900.42,900.41,900.42
Healthcare,lstm_torch,NE-NPaA,,labeling,0.0029,900.4,900.44,900.44
Healthcare,lstm_torch,NE-NPaA,0.0,fit,1.3633,900.48,900.94,900.94
Healthcare,lstm_torch,NE-NPaA,0.0,predict,0.0016,900.94,900.94,900.94
Healthcare,lstm_torch,NE-NPaA,1.0,fit,1.2934,900.97,900.99,900.99
Healthcare,lstm_torch,NE-NPaA,1.0,predict,0.0016,900.99,900.98,900.99
Healthcare,lstm_torch,NE-NPaA,2.0,fit,1.3648,900.98,901.0,901.0
Healthcare,lstm_torch,NE-NPaA,2.0,predict,0.0016,901.0,901.0,901.0
Healthcare,lstm_torch,NE-NPaA,3.0,fit,1.2411,901.01,901.03,901.03
Healthcare,lstm_torch,NE-NPaA,3.0,predict,0.0016,901.03,901.03,901.03
Healthcare,lstm_torch,NE-NPaA,4.0,fit,1.3321,901.02,901.05,901.05
Healthcare,lstm_torch,NE-NPaA,4.0,predict,0.0016,901.05,901.05,901.05
Healthcare,lstm_torch,NE-NEPa,,labeling,0.0036,901.03,901.05,901.05
Healthcare,lstm_torch,NE-NEPa,0.0,fit,1.3387,901.18,901.19,901.19
Healthcare,lstm_torch,NE-NEPa,0.0,predict,0.0017,901.19,901.19,901.19
Healthcare,lstm_torch,NE-NEPa,1.0,fit,1.2551,901.21,901.22,901.23
Healthcare,lstm_torch,NE-NEPa,1.0,predict,0.0016,901.22,901.21,901.22
Healthcare,lstm_torch,NE-NEPa,2.0,fit,1.3092,901.22,901.24,901.24
Healthcare,lstm_torch,NE-NEPa,2.0,predict,0.0016,901.24,901.24,901.24
Healthcare,lstm_torch,NE-NEPa,3.0,fit,1.3618,901.22,901.23,901.23
Healthcare,lstm_torch,NE-NEPa,3.0,predict,0.0016,901.23,901.23,901.23
Healthcare,lstm_torch,NE-NEPa,4.0,fit,1.3396,901.24,901.26,901.26
Healthcare,lstm_torch,NE-NEPa,4.0,predict,0.0016,901.26,901.26,901.26
Healthcare,lstm_torch,NE-NPaM,,labeling,0.0038,901.24,901.32,901.32
Healthcare,lstm_torch,NE-NPaM,0.0,fit,1.3053,901.55,901.32,902.22
Healthcare,lstm_torch,NE-NPaM,0.0,predict,0.0016,901.32,901.46,901.46
Healthcare,lstm_torch,NE-NPaM,1.0,fit,1.2973,901.76,901.89,901.89
Healthcare,lstm_torch,NE-NPaM,1.0,predict,0.0015,901.89,901.89,901.89
Healthcare,lstm_torch,NE-NPaM,2.0,fit,1.3397,902.05,902.15,902.15
Healthcare,lstm_torch,NE-NPaM,2.0,predict,0.0016,902.15,902.3,902.3
Healthcare,lstm_torch,NE-NPaM,3.0,fit,1.3352,902.37,902.65,902.65
Healthcare,lstm_torch,NE-NPaM,3.0,predict,0.0016,902.65,902.65,902.65
Healthcare,lstm_torch,NE-NPaM,4.0,fit,1.3696,902.66,902.68,902.68
Healthcare,lstm_torch,NE-NPaM,4.0,predict,0.0016,902.68,902.68,902.68
Healthcare,lstm_torch,NE-NMPa,,labeling,0.004,902.66,902.69,902.69
Healthcare,lstm_torch,NE-NMPa,0.0,fit,1.1735,902.82,903.34,903.34
Healthcare,lstm_torch,NE-NMPa,0.0,predict,0.0012,903.34,903.34,903.34
Healthcare,lstm_torch,NE-NMPa,1.0,fit,1.2778,903.51,902.96,903.6
Healthcare,lstm_torch,NE-NMPa,1.0,predict,0.0013,902.96,903.01,903.01
Healthcare,lstm_torch,NE-NMPa,2.0,fit,1.1838,903.16,903.29,903.29
Healthcare,lstm_torch,NE-NMPa,2.0,predict,0.0016,903.29,903.29,903.29
Healthcare,lstm_torch,NE-NMPa,3.0,fit,1.1948,903.33,903.43,903.43
Healthcare,lstm_torch,NE-NMPa,3.0,predict,0.0017,903.43,903.5,903.5
Healthcare,lstm_torch,NE-NMPa,4.0,fit,1.3077,903.59,903.15,903.67
Healthcare,lstm_torch,NE-NMPa,4.0,predict,0.0015,903.15,903.23,903.23
Healthcare,lstm_torch,NE-NMPr,,labeling,0.004,903.23,903.92,903.92
Healthcare,lstm_torch,NE-NMPr,0.0,fit,1.3317,903.93,904.03,904.03
Healthcare,lstm_torch,NE-NMPr,0.0,predict,0.0013,904.03,904.04,904.04
Healthcare,lstm_torch,NE-NMPr,1.0,fit,1.4266,904.13,904.15,904.15
Healthcare,lstm_torch,NE-NMPr,1.0,predict,0.0016,904.15,904.14,904.15
Healthcare,lstm_torch,NE-NMPr,2.0,fit,1.3823,904.13,904.15,904.15
Healthcare,lstm_torch,NE-NMPr,2.0,predict,0.0017,904.15,904.17,904.17
Healthcare,lstm_torch,NE-NMPr,3.0,fit,1.3419,904.15,904.17,904.17
Healthcare,lstm_torch,NE-NMPr,3.0,predict,0.0016,904.17,904.17,904.17
Healthcare,lstm_torch,NE-NMPr,4.0,fit,1.3752,904.16,904.18,904.18
Healthcare,lstm_torch,NE-NMPr,4.0,predict,0.0016,904.18,904.18,904.18
Healthcare,lstm_torch,NV-PrT,,labeling,0.0036,904.16,904.24,904.24
Healthcare,lstm_torch,NV-PrT,0.0,fit,1.2877,904.34,904.53,904.53
Healthcare,lstm_torch,NV-PrT,0.0,predict,0.0016,904.53,904.54,904.54
Healthcare,lstm_torch,NV-PrT,1.0,fit,1.4036,904.56,903.56,904.61
Healthcare,lstm_torch,NV-PrT,1.0,predict,0.0016,903.56,903.56,903.56
Healthcare,lstm_torch,NV-PrT,2.0,fit,1.2437,903.95,903.99,903.99
Healthcare,lstm_torch,NV-PrT,2.0,predict,0.0016,903.99,904.0,904.0
