log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,random_forest,,,ocel_load,1.5058,613.49,710.86,719.34
Healthcare,random_forest,,,feature_extraction,0.7494,710.93,762.55,762.55
Healthcare,random_forest,NE-NEPr,,labeling,0.002,762.71,763.33,763.33
Healthcare,random_forest,NE-NEPr,0.0,fit,0.1825,763.62,786.33,786.33
Healthcare,random_forest,NE-NEPr,0.0,predict,0.0299,786.33,786.92,786.92
Healthcare,random_forest,NE-NEPr,1.0,fit,0.1652,769.58,787.22,787.22
Healthcare,random_forest,NE-NEPr,1.0,predict,0.0433,787.22,787.33,787.33
Healthcare,random_forest,NE-NEPr,2.0,fit,0.164,770.41,784.84,784.84
Healthcare,random_forest,NE-NEPr,2.0,predict,0.037,784.84,784.9,784.9
Healthcare,random_forest,NE-NEPr,3.0,fit,0.1575,769.84,787.23,787.23
Healthcare,random_forest,NE-NEPr,3.0,predict,0.0292,787.19,787.57,787.57
Healthcare,random_forest,NE-NEPr,4.0,fit,0.1531,770.64,788.02,788.02
Healthcare,random_forest,NE-NEPr,4.0,predict,0.0318,788.02,788.14,788.14
Healthcare,random_forest,NE-NPaA,,labeling,0.0022,770.28,770.55,770.55
Healthcare,random_forest,NE-NPaA,0.0,fit,0.1516,770.2,774.03,774.03
Healthcare,random_forest,NE-NPaA,0.0,predict,0.0297,774.03,774.05,774.05
Healthcare,random_forest,NE-NPaA,1.0,fit,0.1488,768.44,764.06,768.44
Healthcare,random_forest,NE-NPaA,1.0,predict,0.0299,764.02,764.13,764.13
Healthcare,random_forest,NE-NPaA,2.0,fit,0.1492,763.67,765.13,765.13
Healthcare,random_forest,NE-NPaA,2.0,predict,0.0312,765.09,764.9,765.09
Healthcare,random_forest,NE-NPaA,3.0,fit,0.1631,764.45,765.37,765.38
Healthcare,random_forest,NE-NPaA,3.0,predict,0.0181,765.37,765.19,765.37
Healthcare,random_forest,NE-NPaA,4.0,fit,0.1672,764.74,765.43,765.5
Healthcare,random_forest,NE-NPaA,4.0,predict,0.0275,765.4,765.36,765.4
Healthcare,random_forest,NE-NEPa,,labeling,0.0023,764.87,765.07,765.07
Healthcare,random_forest,NE-NEPa,0.0,fit,0.1717,765.08,787.29,787.32
Healthcare,random_forest,NE-NEPa,0.0,predict,0.0313,787.29,787.72,787.72
Healthcare,random_forest,NE-NEPa,1.0,fit,0.1597,770.83,790.36,790.36
Healthcare,random_forest,NE-NEPa,1.0,predict,0.0297,790.36,784.88,790.36
Healthcare,random_forest,NE-NEPa,2.0,fit,0.1624,772.29,786.48,786.48
Healthcare,random_forest,NE-NEPa,2.0,predict,0.0304,786.48,786.49,786.49
Healthcare,random_forest,NE-NEPa,3.0,fit,0.1619,771.95,789.11,789.11
Healthcare,random_forest,NE-NEPa,3.0,predict,0.0298,789.11,789.38,789.38
Healthcare,random_forest,NE-NEPa,4.0,fit,0.171,772.37,789.12,789.12
Healthcare,random_forest,NE-NEPa,4.0,predict,0.0326,789.12,789.27,789.27
Healthcare,random_forest,NE-NPaM,,labeling,0.0025,772.35,771.93,772.35
Healthcare,random_forest,NE-NPaM,0.0,fit,0.1553,771.94,773.33,773.33
Healthcare,random_forest,NE-NPaM,0.0,predict,0.0302,773.33,773.18,773.33
Healthcare,random_forest,NE-NPaM,1.0,fit,0.1411,772.59,774.74,774.74
Healthcare,random_forest,NE-NPaM,1.0,predict,0.0313,774.74,774.59,774.74
Healthcare,random_forest,NE-NPaM,2.0,fit,0.1445,772.17,763.95,772.17
Healthcare,random_forest,NE-NPaM,2.0,predict,0.0259,763.95,764.1,764.1
Healthcare,random_forest,NE-NPaM,3.0,fit,0.1555,763.7,765.48,765.48
Healthcare,random_forest,NE-NPaM,3.0,predict,0.0302,765.45,765.35,765.45
Healthcare,random_forest,NE-NPaM,4.0,fit,0.1461,764.82,765.62,765.62
Healthcare,random_forest,NE-NPaM,4.0,predict,0.0294,765.62,765.52,765.62
Healthcare,random_forest,NE-NMPa,,labeling,0.0025,765.03,765.26,765.26
Healthcare,random_forest,NE-NMPa,0.0,fit,0.1452,765.25,766.14,766.14
Healthcare,random_forest,NE-NMPa,0.0,predict,0.0197,766.13,766.0,766.13
Healthcare,random_forest,NE-NMPa,1.0,fit,0.1576,765.51,766.31,766.35
Healthcare,random_forest,NE-NMPa,1.0,predict,0.0305,766.31,766.17,766.31
Healthcare,random_forest,NE-NMPa,2.0,fit,0.1637,765.65,766.3,766.41
Healthcare,random_forest,NE-NMPa,2.0,predict,0.0302,766.29,766.35,766.35
Healthcare,random_forest,NE-NMPa,3.0,fit,0.1501,765.83,764.94,765.83
Healthcare,random_forest,NE-NMPa,3.0,predict,0.0437,764.9,764.72,764.9
Healthcare,random_forest,NE-NMPa,4.0,fit,0.148,764.33,765.27,765.27
Healthcare,random_forest,NE-NMPa,4.0,predict,0.0458,765.27,765.05,765.27
Healthcare,random_forest,NE-NMPr,,labeling,0.0024,764.56,764.92,764.92
Healthcare,random_forest,NE-NMPr,0.0,fit,0.1629,764.95,775.86,775.86
Healthcare,random_forest,NE-NMPr,0.0,predict,0.0271,775.85,775.66,775.85
Healthcare,random_forest,NE-NMPr,1.0,fit,0.1669,771.67,777.0,777.0
Healthcare,random_forest,NE-NMPr,1.0,predict,0.0259,777.0,776.93,777.0
Healthcare,random_forest,NE-NMPr,2.0,fit,0.1511,771.31,777.06,777.09
Healthcare,random_forest,NE-NMPr,2.0,predict,0.0413,777.06,776.78,777.06
Healthcare,random_forest,NE-NMPr,3.0,fit,0.1517,771.19,775.18,777.09
Healthcare,random_forest,NE-NMPr,3.0,predict,0.0293,775.18,775.47,775.47
Healthcare,random_forest,NE-NMPr,4.0,fit,0.1632,775.1,776.21,776.21
Healthcare,random_forest,NE-NMPr,4.0,predict,0.0244,776.21,775.92,776.21
Healthcare,random_forest,NV-PrT,,labeling,0.0022,775.07,775.22,775.22
