log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,xgboost,,,ocel_load,1.5598,613.67,710.64,718.37
Healthcare,xgboost,,,feature_extraction,0.7228,710.73,763.06,763.4
Healthcare,xgboost,NE-NEPr,,labeling,0.002,763.23,763.85,763.85
Healthcare,xgboost,NE-NEPr,0.0,fit,0.9911,768.24,881.03,891.85
Healthcare,xgboost,NE-NEPr,0.0,predict,0.0086,881.04,881.95,881.95
Healthcare,xgboost,NE-NEPr,1.0,fit,0.8257,877.35,883.16,892.5
Healthcare,xgboost,NE-NEPr,1.0,predict,0.0089,883.16,884.1,884.1
Healthcare,xgboost,NE-NEPr,2.0,fit,0.8228,878.6,881.25,890.16
Healthcare,xgboost,NE-NEPr,2.0,predict,0.0082,881.25,882.78,882.78
Healthcare,xgboost,NE-NEPr,3.0,fit,0.794,877.18,881.34,894.14
Healthcare,xgboost,NE-NEPr,3.0,predict,0.0094,881.34,882.38,882.38
Healthcare,xgboost,NE-NEPr,4.0,fit,0.7877,877.19,882.78,894.44
Healthcare,xgboost,NE-NEPr,4.0,predict,0.0088,882.78,883.83,883.83
Healthcare,xgboost,NE-NPaA,,labeling,0.0028,877.99,878.14,878.14
Healthcare,xgboost,NE-NPaA,0.0,fit,0.2041,878.34,879.87,879.87
Healthcare,xgboost,NE-NPaA,0.0,predict,0.0046,879.87,880.06,880.06
Healthcare,xgboost,NE-NPaA,1.0,fit,0.2169,879.03,879.18,879.53
Healthcare,xgboost,NE-NPaA,1.0,predict,0.0047,879.18,879.31,879.31
Healthcare,xgboost,NE-NPaA,2.0,fit,0.201,878.39,880.14,880.14
Healthcare,xgboost,NE-NPaA,2.0,predict,0.0062,880.14,880.18,880.18
Healthcare,xgboost,NE-NPaA,3.0,fit,0.1966,878.72,879.54,879.54
Healthcare,xgboost,NE-NPaA,3.0,predict,0.0046,879.54,879.56,879.56
Healthcare,xgboost,NE-NPaA,4.0,fit,0.1989,878.77,875.11,878.77
