log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity,n_labels,degenerate
Healthcare,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,1350,True,f1_macro,0.6743915532047747,0.0412365063815714,0.0069350164665497,5,,,20,False
Healthcare,NE-NPaA,Participant,Multiclass classification,lstm_torch,1350,True,f1_macro,0.8765236274266819,0.0202898076066877,0.171005461222187,5,,,4,False
Healthcare,NE-NEPa,Participant,Multiclass classification,lstm_torch,1350,True,f1_macro,0.6743915532047747,0.0412365063815714,0.0069350164665497,5,,,20,False
Healthcare,NE-NPaM,Participant,Multiclass classification,lstm_torch,1250,True,f1_macro,0.9850318186828732,0.0124511722739396,0.2478347612527171,5,,,3,False
Healthcare,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,1068,True,f1_macro,0.8370899763407312,0.0285044540164189,0.0812006513110039,5,Gynecologist,,7,False
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,1350,True,f1_macro,0.7200132841664912,0.0602745419695944,0.0227085648183491,5,,,15,False
Healthcare,NV-PrT,CollaborationCase,Regression (time),lstm_torch,1350,True,mae,14.777249647679673,2.1420421416245685,17.454732526538386,5,,,1335,False
Healthcare,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,1350,True,mae,8.32754156307736,1.1286138276742887,12.850423210038182,5,Gynecologist,,1048,False
Healthcare,NV-TNE,CollaborationCase,Regression (time),lstm_torch,1350,True,mae,1.809362287981108,0.0345861310307975,1.8751462779091053,5,,,1234,False
Healthcare,NV-TNM,Message,Regression (time),lstm_torch,1250,True,mae,2.877662407036333,0.0648004500080926,4.273275441893716,5,,,1205,False
Healthcare,NV-NMPr,Message,Count regression,lstm_torch,1350,True,mae,2.198102776606907,0.2241748591926058,2.820207996641269,5,,,13,False
Healthcare,NV-NMPa,Message,Count regression,lstm_torch,1350,True,mae,0.7949086223206722,0.0829307647152883,1.49956053049556,5,Gynecologist,,7,False
Healthcare,OB-P,OrchestrationCase,Binary classification,lstm_torch,1350,True,f1_macro,0.9347619643628052,0.0336222334013824,0.4420718892173513,5,Gynecologist,,2,False
Healthcare,OB-M,Message,Binary classification,lstm_torch,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease,1,True
Artificial1,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,700,True,f1_macro,0.5723479137330402,0.0400629538103131,0.03125,5,,,8,False
Artificial1,NE-NPaA,Participant,Multiclass classification,lstm_torch,700,True,f1_macro,0.780731498510755,0.036612742818535,0.3395697349000968,5,,,2,False
Artificial1,NE-NEPa,Participant,Multiclass classification,lstm_torch,700,True,f1_macro,0.5723479137330402,0.0400629538103131,0.03125,5,,,8,False
Artificial1,NE-NPaM,Participant,Multiclass classification,lstm_torch,329,True,f1_macro,1.0,0.0,1.0,5,,,1,True
Artificial1,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,549,True,f1_macro,0.5982395981394215,0.0424678578378728,0.3261945215195118,5,PartyA,,2,False
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,549,True,f1_macro,0.5241570380474015,0.02498118105959,0.1067578402001851,5,,,4,False
Artificial1,NV-PrT,CollaborationCase,Regression (time),lstm_torch,700,True,mae,3.9801496890006742,0.6661853622497105,8.590367142857142,5,,,694,False
Artificial1,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,700,True,mae,3.928727365431104,0.7187774551463141,8.565514285714286,5,PartyA,,681,False
Artificial1,NV-TNE,CollaborationCase,Regression (time),lstm_torch,700,True,mae,2.00134191532433,0.1377929568943533,2.1534714285714287,5,,,677,False
Artificial1,NV-TNM,Message,Regression (time),lstm_torch,329,True,mae,2.0885731272996644,0.0939066477457384,2.5236640528400343,5,,,320,False
Artificial1,NV-NMPr,Message,Count regression,lstm_torch,700,True,mae,0.066086515839644,0.0107058478845046,1.2899999999999998,5,,,5,False
Artificial1,NV-NMPa,Message,Count regression,lstm_torch,700,True,mae,0.0320651335239485,0.005817480294425,0.6699999999999999,5,PartyA,,3,False
Artificial1,OB-P,OrchestrationCase,Binary classification,lstm_torch,700,True,f1_macro,0.965559655596556,0.068880688806888,0.5952883375662641,5,PartyA,,2,False
Artificial1,OB-M,Message,Binary classification,lstm_torch,700,True,f1_macro,0.9071811840234324,0.0084684508599246,0.3938803254080784,5,,Activity CZ,2,False
Artificial5,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,2260,True,f1_macro,0.4267625072971904,0.0129497259022647,0.0030266998728702,5,,,28,False
Artificial5,NE-NPaA,Participant,Multiclass classification,lstm_torch,2260,True,f1_macro,0.5766725807521305,0.0306365160961204,0.1775111475934987,5,,,4,False
Artificial5,NE-NEPa,Participant,Multiclass classification,lstm_torch,2260,True,f1_macro,0.4267625072971904,0.0129497259022647,0.0030266998728702,5,,,28,False
Artificial5,NE-NPaM,Participant,Multiclass classification,lstm_torch,1661,True,f1_macro,0.6939745135448592,0.0540597828044138,0.228584947594061,5,,,3,False
Artificial5,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,2018,True,f1_macro,0.7006161390458024,0.0151927473768242,0.0824227210189763,5,PartyB,,6,False
Artificial5,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,2068,True,f1_macro,0.6422295263445412,0.0346671057754311,0.0199981111999486,5,,,12,False
Artificial5,NV-PrT,CollaborationCase,Regression (time),lstm_torch,2260,True,mae,10.525355761408624,0.7801396567823736,33.571474612535994,5,,,2239,False
Artificial5,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,2260,True,mae,9.639857060494922,0.6020119176807059,33.50198229261808,5,PartyB,,2215,False
Artificial5,NV-TNE,CollaborationCase,Regression (time),lstm_torch,2260,True,mae,2.9528979976913194,0.0429133447339236,2.8569414043660237,5,,,2025,False
Artificial5,NV-TNM,Message,Regression (time),lstm_torch,1661,True,mae,8.530317226614992,0.3828760012034808,9.514710429332276,5,,,1614,False
Artificial5,NV-NMPr,Message,Count regression,lstm_torch,2260,True,mae,0.9358727587032464,0.0305138828426388,2.609263197062771,5,,,13,False
Artificial5,NV-NMPa,Message,Count regression,lstm_torch,2260,True,mae,0.4924495358869863,0.0228327799493263,1.2508256431105444,5,PartyB,,7,False
Artificial5,OB-P,OrchestrationCase,Binary classification,lstm_torch,2260,True,f1_macro,0.9539860434938092,0.0504063109113163,0.4968856528550903,5,PartyB,,2,False
Artificial5,OB-M,Message,Binary classification,lstm_torch,2260,True,f1_macro,0.9141555651052858,0.1716888697894284,0.4940686126828224,5,,Activity AA,2,False
Real4,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,1700,True,f1_macro,0.6928417126218391,0.0041935220551024,0.0061728395061728,5,,,18,False
Real4,NE-NPaA,Participant,Multiclass classification,lstm_torch,1700,True,f1_macro,0.905413612138742,0.0181938115438686,0.2307692307692307,5,,,3,False
Real4,NE-NEPa,Participant,Multiclass classification,lstm_torch,1700,True,f1_macro,0.6867587101051755,0.0097616636217249,0.0061728395061728,5,,,18,False
Real4,NE-NPaM,Participant,Multiclass classification,lstm_torch,1499,True,f1_macro,0.9961896514978448,0.0031116980415601,0.2552471604799173,5,,,3,False
Real4,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,1499,True,f1_macro,0.9860848911477368,0.0100027559170052,0.1379034827053406,5,Zoo,,4,False
Real4,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,1600,True,f1_macro,0.983273176604289,0.0060853147557581,0.0657439355079839,5,,,8,False
Real4,NV-PrT,CollaborationCase,Regression (time),lstm_torch,1700,True,mae,6.607216903825647,0.4649290601842346,19.43431,5,,,1686,False
