log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity,n_labels,degenerate
Healthcare,NE-NPaA,Participant,Multiclass classification,random_forest,1350,True,f1_macro,0.8219412926106056,0.034993353903949,0.171005461222187,5,,,4,False
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,1350,True,f1_macro,0.7038958131649913,0.0218957347833243,0.0227085648183491,5,,,15,False
Healthcare,NV-PrT,CollaborationCase,Regression (time),random_forest,1350,True,mae,15.287375375846128,1.7868051036333117,17.454732526538386,5,,,1335,False
Healthcare,NV-PaT,OrchestrationCase,Regression (time),random_forest,1350,True,mae,9.29390205884668,0.719361537732701,12.850423210038182,5,Gynecologist,,1048,False
Healthcare,NV-NMPr,Message,Count regression,random_forest,1350,True,mae,2.2314546837186056,0.1759726456665135,2.820207996641269,5,,,13,False
Healthcare,OB-M,Message,Binary classification,random_forest,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease,1,True
Artificial1,NE-NPaA,Participant,Multiclass classification,random_forest,700,True,f1_macro,0.7320859200971422,0.0365611438039539,0.3395697349000968,5,,,2,False
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,549,True,f1_macro,0.5802029773836497,0.0473825596094038,0.1067578402001851,5,,,4,False
Artificial1,NV-PrT,CollaborationCase,Regression (time),random_forest,700,True,mae,4.650149569156737,0.6775891862094242,8.590367142857142,5,,,694,False
Artificial1,NV-PaT,OrchestrationCase,Regression (time),random_forest,700,True,mae,4.585674650153631,0.7186509711438588,8.565514285714286,5,PartyA,,681,False
Artificial1,NV-NMPr,Message,Count regression,random_forest,700,True,mae,7.14285714285699e-06,1.428571428571398e-05,1.2899999999999998,5,,,5,False
Artificial1,OB-M,Message,Binary classification,random_forest,700,True,f1_macro,0.922270827498218,0.0165424001385896,0.3938803254080784,5,,Activity CZ,2,False
Artificial5,NE-NPaA,Participant,Multiclass classification,random_forest,2260,True,f1_macro,0.5554833444772538,0.0141745724263943,0.1775111475934987,5,,,4,False
Artificial5,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,2068,True,f1_macro,0.6438123854562511,0.024043640508912,0.0199981111999486,5,,,12,False
Artificial5,NV-PrT,CollaborationCase,Regression (time),random_forest,2260,True,mae,11.150293134190608,0.6439209109702776,33.571474612535994,5,,,2239,False
Artificial5,NV-PaT,OrchestrationCase,Regression (time),random_forest,2260,True,mae,10.587795668746688,0.624824876322132,33.50198229261808,5,PartyB,,2215,False
Artificial5,NV-NMPr,Message,Count regression,random_forest,2260,True,mae,0.807856069508011,0.0665348008018013,2.609263197062771,5,,,13,False
Artificial5,OB-M,Message,Binary classification,random_forest,2260,True,f1_macro,1.0,0.0,0.4940686126828224,5,,Activity AA,2,False
Real4,NE-NPaA,Participant,Multiclass classification,random_forest,1700,True,f1_macro,0.8593717938250929,0.0170875249880743,0.2307692307692307,5,,,3,False
Real4,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,1600,True,f1_macro,0.9964693761792862,0.0028873012075368,0.0657439355079839,5,,,8,False
Real4,NV-PrT,CollaborationCase,Regression (time),random_forest,1700,True,mae,7.620003671565004,0.4089576349699265,19.43431,5,,,1686,False
Real4,NV-PaT,OrchestrationCase,Regression (time),random_forest,1700,True,mae,6.785181219588566,0.1914236660503383,18.996355294117645,5,Zoo,,1483,False
Real4,NV-NMPr,Message,Count regression,random_forest,1700,True,mae,0.0003441176470588,0.0006882352941176,1.7558823529411764,5,,,9,False
Real4,OB-M,Message,Binary classification,random_forest,1700,True,f1_macro,1.0,0.0,0.46875,5,,Send information to the ZooClub department,2,False
