log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity,n_labels,degenerate
Healthcare,NE-NPaA,Participant,Multiclass classification,transformer,1350,True,f1_macro,0.8734022272143243,0.0213050676124435,0.171005461222187,5,,,4,False
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,transformer,1350,True,f1_macro,0.7161684866311514,0.0340035722731004,0.0227085648183491,5,,,15,False
Healthcare,NV-PrT,CollaborationCase,Regression (time),transformer,1350,True,mae,14.755543439191744,1.5174129339792364,17.454732526538386,5,,,1335,False
Healthcare,NV-PaT,OrchestrationCase,Regression (time),transformer,1350,True,mae,8.396536472745566,0.7538466254792318,12.850423210038182,5,Gynecologist,,1048,False
Healthcare,NV-NMPr,Message,Count regression,transformer,1350,True,mae,2.186961557616052,0.1116137917914494,2.820207996641269,5,,,13,False
Healthcare,OB-M,Message,Binary classification,transformer,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease,1,True
Artificial1,NE-NPaA,Participant,Multiclass classification,transformer,700,True,f1_macro,0.7853003739320806,0.041290236668857,0.3395697349000968,5,,,2,False
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,transformer,549,True,f1_macro,0.5235069870878937,0.0352730311296467,0.1067578402001851,5,,,4,False
Artificial1,NV-PrT,CollaborationCase,Regression (time),transformer,700,True,mae,3.9935932666989737,0.7405663656466954,8.590367142857142,5,,,694,False
Artificial1,NV-PaT,OrchestrationCase,Regression (time),transformer,700,True,mae,3.9524804631488655,0.7263847012371774,8.565514285714286,5,PartyA,,681,False
Artificial1,NV-NMPr,Message,Count regression,transformer,700,True,mae,0.1800096923438832,0.0130973463204042,1.2899999999999998,5,,,5,False
Artificial1,OB-M,Message,Binary classification,transformer,700,True,f1_macro,0.920058312612772,0.0049882665517817,0.3938803254080784,5,,Activity CZ,2,False
Artificial5,NE-NPaA,Participant,Multiclass classification,transformer,2260,True,f1_macro,0.5729700141255626,0.0127398942071634,0.1775111475934987,5,,,4,False
Artificial5,NE-NMPr,CollaborationCase,Multiclass classification,transformer,2068,True,f1_macro,0.6557715905166052,0.0322727103683165,0.0199981111999486,5,,,12,False
Artificial5,NV-PrT,CollaborationCase,Regression (time),transformer,2260,True,mae,10.07171560194858,0.984451374925406,33.571474612535994,5,,,2239,False
Artificial5,NV-PaT,OrchestrationCase,Regression (time),transformer,2260,True,mae,9.499896145321571,0.9002080974613287,33.50198229261808,5,PartyB,,2215,False
Artificial5,NV-NMPr,Message,Count regression,transformer,2260,True,mae,0.9457411502949716,0.0330789507258797,2.609263197062771,5,,,13,False
Artificial5,OB-M,Message,Binary classification,transformer,2260,True,f1_macro,0.9611301369863016,0.0777397260273972,0.4940686126828224,5,,Activity AA,2,False
Real4,NE-NPaA,Participant,Multiclass classification,transformer,1700,True,f1_macro,0.9005918555076435,0.0170321397811912,0.2307692307692307,5,,,3,False
Real4,NE-NMPr,CollaborationCase,Multiclass classification,transformer,1600,True,f1_macro,0.9927881643916048,0.0038600224647505,0.0657439355079839,5,,,8,False
Real4,NV-PrT,CollaborationCase,Regression (time),transformer,1700,True,mae,7.026201261087081,0.403003365036926,19.43431,5,,,1686,False
Real4,NV-PaT,OrchestrationCase,Regression (time),transformer,1700,True,mae,6.514761415090303,0.4190374423940726,18.996355294117645,5,Zoo,,1483,False
Real4,NV-NMPr,Message,Count regression,transformer,1700,True,mae,0.2450342167125028,0.0055308340795332,1.7558823529411764,5,,,9,False
Real4,OB-M,Message,Binary classification,transformer,1700,True,f1_macro,1.0,0.0,0.46875,5,,Send information to the ZooClub department,2,False
