task,check,eval_labels,matches,mismatches,agreement,exact_agreement,only_in_reference,only_in_object_centric,full_equivalence,examples,log,param
NE-NEPr,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,
NE-NPaA,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,
NE-NEPa,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,
NE-NPaM,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,send
NE-NPaM,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,receive
NE-NMPa,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Gynecologist
NE-NMPa,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Hospital
NE-NMPa,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Laboratory
NE-NMPa,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Patient
NE-NMPr,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,
NV-PrT,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,
NV-PaT,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Gynecologist
NV-PaT,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Hospital
NV-PaT,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Laboratory
NV-PaT,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Patient
NV-TNE,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,
NV-TNM,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,send
NV-TNM,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,receive
NV-NMPr,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,
NV-NMPa,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Gynecologist
NV-NMPa,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Hospital
NV-NMPa,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Laboratory
NV-NMPa,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Patient
OB-P,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Gynecologist
OB-P,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Hospital
OB-P,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Laboratory
OB-P,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Patient
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Admit patient
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Analyse blood sample
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Blood draw
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Communicate disease
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Communicate the need to hospitalise
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Create medical record
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Examine patient
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Forward patient analysis results
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Hospitalisation needed
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Receive admission info
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Receive blood analysis results
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Receive blood sample
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Receive disease info
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Receive patient results
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Receive prescription
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Request blood analysis
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Require patient admission
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Send admission info
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Send blood sample
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Send prescription
OB-M,equivalence,1350,1350,0,1.0,1.0,0,0,True,[],Healthcare,Send results
NE-NEPr,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,
NE-NPaA,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,
NE-NEPa,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,
NE-NPaM,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,send
NE-NPaM,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,receive
NE-NMPa,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,PartyA
NE-NMPa,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,PartyC
NE-NMPr,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,
NV-PrT,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,
NV-PaT,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,PartyA
NV-PaT,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,PartyC
NV-TNE,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,
NV-TNM,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,send
NV-TNM,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,receive
NV-NMPr,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,
NV-NMPa,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,PartyA
NV-NMPa,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,PartyC
OB-P,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,PartyA
OB-P,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,PartyC
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity A
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity B
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity BZ
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity C
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity CZ
