log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
BPI2013,lstm_torch,,,ocel_load,26.7711,613.21,1619.33,1692.3
BPI2013,lstm_torch,,,feature_extraction,12.1833,1619.17,1700.36,1797.78
BPI2013,lstm_torch,NE-NEPr,,labeling,0.0594,1701.31,1712.02,1712.02
BPI2013,lstm_torch,NE-NEPr,0.0,fit,155.3141,1798.74,1922.55,1923.93
BPI2013,lstm_torch,NE-NEPr,0.0,predict,0.0303,1922.55,1965.39,1965.39
BPI2013,lstm_torch,NE-NEPr,1.0,fit,154.1187,1955.87,1860.26,1957.93
BPI2013,lstm_torch,NE-NEPr,1.0,predict,0.0366,1860.26,1903.9,1903.9
BPI2013,lstm_torch,NE-NEPr,2.0,fit,152.8714,1898.37,1865.71,1898.37
BPI2013,lstm_torch,NE-NEPr,2.0,predict,0.0265,1865.71,1926.95,1926.95
BPI2013,lstm_torch,NE-NEPr,3.0,fit,153.3998,1864.19,1866.03,1868.14
BPI2013,lstm_torch,NE-NEPr,3.0,predict,0.0304,1866.03,1928.47,1928.47
BPI2013,lstm_torch,NE-NEPr,4.0,fit,155.423,1874.03,1864.95,1874.03
BPI2013,lstm_torch,NE-NEPr,4.0,predict,0.0222,1864.95,1911.26,1911.26
BPI2013,lstm_torch,NE-NPaA,,labeling,0.0628,1878.47,1886.12,1886.12
BPI2013,lstm_torch,NE-NPaA,0.0,fit,157.0821,1908.16,1865.9,1909.56
BPI2013,lstm_torch,NE-NPaA,0.0,predict,0.0187,1865.9,1909.17,1909.17
BPI2013,lstm_torch,NE-NPaA,1.0,fit,155.6173,1865.0,1860.71,1868.61
BPI2013,lstm_torch,NE-NPaA,1.0,predict,0.0238,1860.71,1904.75,1904.75
BPI2013,lstm_torch,NE-NPaA,2.0,fit,154.034,1874.61,1869.19,1878.94
BPI2013,lstm_torch,NE-NPaA,2.0,predict,0.0306,1869.19,1929.69,1929.69
BPI2013,lstm_torch,NE-NPaA,3.0,fit,154.7786,1921.98,1865.38,1921.98
BPI2013,lstm_torch,NE-NPaA,3.0,predict,0.0333,1865.38,1949.76,1949.76
BPI2013,lstm_torch,NE-NPaA,4.0,fit,156.4824,1939.44,1867.09,1939.44
BPI2013,lstm_torch,NE-NPaA,4.0,predict,0.028,1867.09,1922.2,1922.2
BPI2013,lstm_torch,NE-NEPa,,labeling,0.0807,1885.68,1897.71,1897.71
BPI2013,lstm_torch,NE-NEPa,0.0,fit,158.6782,1920.42,1880.45,1922.34
BPI2013,lstm_torch,NE-NEPa,0.0,predict,0.0305,1880.45,1985.44,1985.44
BPI2013,lstm_torch,NE-NEPa,1.0,fit,156.8637,1943.43,1882.14,1949.56
BPI2013,lstm_torch,NE-NEPa,1.0,predict,0.033,1882.14,1988.98,1988.98
BPI2013,lstm_torch,NE-NEPa,2.0,fit,154.0171,1954.46,1886.4,1954.46
BPI2013,lstm_torch,NE-NEPa,2.0,predict,0.0503,1886.4,1996.13,1996.13
BPI2013,lstm_torch,NE-NEPa,3.0,fit,155.9805,1991.32,1880.81,1994.42
BPI2013,lstm_torch,NE-NEPa,3.0,predict,0.0564,1880.81,1997.04,1997.04
BPI2013,lstm_torch,NE-NEPa,4.0,fit,158.7976,1993.74,1882.25,1995.35
BPI2013,lstm_torch,NE-NEPa,4.0,predict,0.0467,1882.25,1968.4,1968.4
BPI2013,lstm_torch,NE-NPaM,,labeling,0.0738,1920.52,1924.35,1924.35
BPI2013,lstm_torch,NE-NPaM,0.0,fit,46.5682,1928.22,1811.11,1929.87
BPI2013,lstm_torch,NE-NPaM,0.0,predict,0.0046,1811.11,1815.98,1815.98
BPI2013,lstm_torch,NE-NPaM,1.0,fit,45.4175,1816.77,1814.88,1819.14
BPI2013,lstm_torch,NE-NPaM,1.0,predict,0.0099,1814.88,1823.39,1823.39
BPI2013,lstm_torch,NE-NPaM,2.0,fit,44.555,1823.58,1814.93,1824.28
BPI2013,lstm_torch,NE-NPaM,2.0,predict,0.0142,1814.93,1832.09,1832.09
BPI2013,lstm_torch,NE-NPaM,3.0,fit,46.3481,1831.9,1814.46,1831.9
BPI2013,lstm_torch,NE-NPaM,3.0,predict,0.0144,1814.46,1832.21,1832.21
BPI2013,lstm_torch,NE-NPaM,4.0,fit,48.4028,1829.8,1820.12,1830.89
BPI2013,lstm_torch,NE-NPaM,4.0,predict,0.0099,1820.12,1828.6,1828.6
BPI2013,lstm_torch,NE-NMPa,,labeling,0.082,1823.91,1832.34,1832.34
BPI2013,lstm_torch,NE-NMPr,,labeling,0.0769,1815.44,1822.78,1822.78
BPI2013,lstm_torch,NV-PrT,,labeling,0.0843,1813.61,1834.22,1834.22
BPI2013,lstm_torch,NV-PrT,0.0,fit,155.9259,1885.43,1879.89,1889.28
BPI2013,lstm_torch,NV-PrT,0.0,predict,0.0186,1879.89,1922.44,1922.44
BPI2013,lstm_torch,NV-PrT,1.0,fit,154.6037,1934.67,1880.82,1934.67
BPI2013,lstm_torch,NV-PrT,1.0,predict,0.019,1880.82,1921.64,1921.64
BPI2013,lstm_torch,NV-PrT,2.0,fit,152.8012,1939.33,1883.77,1939.49
BPI2013,lstm_torch,NV-PrT,2.0,predict,0.0274,1883.77,1944.49,1944.49
BPI2013,lstm_torch,NV-PrT,3.0,fit,153.5337,1934.37,1881.4,1934.37
BPI2013,lstm_torch,NV-PrT,3.0,predict,0.0224,1881.4,1944.27,1944.27
BPI2013,lstm_torch,NV-PrT,4.0,fit,157.2381,1962.49,1881.64,1962.49
BPI2013,lstm_torch,NV-PrT,4.0,predict,0.0193,1881.64,1926.49,1926.49
BPI2013,lstm_torch,NV-PaT,,labeling,0.1728,1904.48,1915.88,1915.88
BPI2013,lstm_torch,NV-PaT,0.0,fit,155.9168,1927.5,1880.06,1929.34
BPI2013,lstm_torch,NV-PaT,0.0,predict,0.013,1880.06,1922.1,1922.1
BPI2013,lstm_torch,NV-PaT,1.0,fit,154.4912,1934.95,1880.88,1935.0
BPI2013,lstm_torch,NV-PaT,1.0,predict,0.0129,1880.88,1923.01,1923.01
BPI2013,lstm_torch,NV-PaT,2.0,fit,153.4129,1906.35,1885.03,1906.35
BPI2013,lstm_torch,NV-PaT,2.0,predict,0.0232,1885.03,1945.96,1945.96
BPI2013,lstm_torch,NV-PaT,3.0,fit,151.068,1956.29,1881.39,1956.32
BPI2013,lstm_torch,NV-PaT,3.0,predict,0.0273,1881.39,1944.11,1944.11
BPI2013,lstm_torch,NV-PaT,4.0,fit,154.7742,1957.73,1881.96,1957.73
BPI2013,lstm_torch,NV-PaT,4.0,predict,0.0194,1881.96,1927.7,1927.7
BPI2013,lstm_torch,NV-TNE,,labeling,0.072,1905.81,1925.06,1925.06
BPI2013,lstm_torch,NV-TNE,0.0,fit,152.3266,1951.66,1881.06,1951.66
BPI2013,lstm_torch,NV-TNE,0.0,predict,0.0193,1881.06,1922.51,1922.51
BPI2013,lstm_torch,NV-TNE,1.0,fit,152.4911,1935.85,1880.04,1935.88
BPI2013,lstm_torch,NV-TNE,1.0,predict,0.0146,1880.04,1921.46,1921.46
BPI2013,lstm_torch,NV-TNE,2.0,fit,149.4845,1905.05,1883.66,1905.18
BPI2013,lstm_torch,NV-TNE,2.0,predict,0.0255,1883.66,1943.99,1943.99
BPI2013,lstm_torch,NV-TNE,3.0,fit,151.6521,1955.02,1883.03,1955.04
BPI2013,lstm_torch,NV-TNE,3.0,predict,0.0206,1883.03,1946.06,1946.06
BPI2013,lstm_torch,NV-TNE,4.0,fit,155.6489,1961.24,1878.92,1961.3
BPI2013,lstm_torch,NV-TNE,4.0,predict,0.0187,1878.93,1924.98,1924.98
BPI2013,lstm_torch,NV-TNM,,labeling,0.0792,1903.22,1912.84,1912.84
BPI2013,lstm_torch,NV-TNM,0.0,fit,46.7899,1916.22,1819.8,1916.25
BPI2013,lstm_torch,NV-TNM,0.0,predict,0.0053,1819.8,1826.55,1826.55
BPI2013,lstm_torch,NV-TNM,1.0,fit,44.9189,1828.68,1820.61,1829.29
BPI2013,lstm_torch,NV-TNM,1.0,predict,0.0087,1820.61,1828.79,1828.79
