log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
BPI2013,transformer,,,ocel_load,60.0608,610.19,1620.72,1691.55
BPI2013,transformer,,,feature_extraction,25.1016,1620.58,1698.53,1816.54
BPI2013,transformer,NE-NEPr,,labeling,0.1214,1699.59,1711.18,1711.18
BPI2013,transformer,NE-NEPr,0.0,fit,1196.7016,1748.73,1892.03,2161.08
BPI2013,transformer,NE-NEPr,0.0,predict,1.4173,1892.03,1873.99,1916.7
BPI2013,transformer,NE-NEPr,1.0,fit,1191.6593,1874.92,332.31,2165.58
BPI2013,transformer,NE-NEPr,1.0,predict,0.9675,332.31,314.22,347.64
BPI2013,transformer,NE-NEPr,2.0,fit,1189.7953,310.49,325.78,585.36
BPI2013,transformer,NE-NEPr,2.0,predict,1.0988,325.78,312.8,371.17
BPI2013,transformer,NE-NEPr,3.0,fit,1187.3009,312.5,330.78,559.95
BPI2013,transformer,NE-NEPr,3.0,predict,1.1102,330.78,308.91,359.6
BPI2013,transformer,NE-NEPr,4.0,fit,1198.0745,307.26,330.6,582.21
BPI2013,transformer,NE-NEPr,4.0,predict,1.1156,330.6,308.89,347.53
BPI2013,transformer,NE-NEPa,,labeling,0.0901,363.52,378.74,378.74
BPI2013,transformer,NE-NEPa,0.0,fit,160.0494,372.64,391.51,658.08
BPI2013,transformer,NE-NEPa,0.0,predict,0.2103,391.51,393.08,413.69
BPI2013,transformer,NE-NEPa,1.0,fit,155.9963,370.2,613.19,658.64
BPI2013,transformer,NE-NEPa,1.0,predict,0.2704,613.19,402.65,613.19
BPI2013,transformer,NE-NEPa,2.0,fit,154.734,388.74,397.72,670.33
BPI2013,transformer,NE-NEPa,2.0,predict,0.2623,397.72,431.51,431.51
BPI2013,transformer,NE-NEPa,3.0,fit,153.1333,386.42,399.72,642.31
BPI2013,transformer,NE-NEPa,3.0,predict,0.2653,399.72,430.49,431.09
BPI2013,transformer,NE-NEPa,4.0,fit,154.3099,388.69,388.05,666.51
BPI2013,transformer,NE-NEPa,4.0,predict,0.205,388.05,411.22,411.22
BPI2013,transformer,NE-NPaM,,labeling,0.0912,394.39,399.12,399.12
BPI2013,transformer,NE-NPaM,0.0,fit,43.3244,383.28,402.77,539.1
BPI2013,transformer,NE-NPaM,0.0,predict,0.0584,402.77,403.29,403.29
BPI2013,transformer,NE-NPaM,1.0,fit,48.891,356.27,389.76,614.28
BPI2013,transformer,NE-NPaM,1.0,predict,0.0966,389.76,396.73,396.73
BPI2013,transformer,NE-NPaM,2.0,fit,49.3836,354.25,392.47,669.12
BPI2013,transformer,NE-NPaM,2.0,predict,0.1067,392.47,406.07,406.07
BPI2013,transformer,NE-NPaM,3.0,fit,46.2379,393.32,405.0,562.0
BPI2013,transformer,NE-NPaM,3.0,predict,0.1101,405.0,398.43,405.0
BPI2013,transformer,NE-NPaM,4.0,fit,44.3071,334.22,355.83,528.44
BPI2013,transformer,NE-NPaM,4.0,predict,0.0741,355.83,383.15,383.15
BPI2013,transformer,NE-NMPa,,labeling,0.0982,374.63,382.72,382.72
BPI2013,transformer,NE-NMPr,,labeling,0.0674,373.89,385.04,385.04
BPI2013,transformer,NV-PrT,,labeling,0.0708,377.43,414.57,414.57
BPI2013,transformer,NV-PrT,0.0,fit,156.2957,418.03,374.61,673.52
BPI2013,transformer,NV-PrT,0.0,predict,0.2148,374.61,385.16,415.81
BPI2013,transformer,NV-PrT,1.0,fit,158.0626,399.6,378.52,673.44
BPI2013,transformer,NV-PrT,1.0,predict,0.2286,378.52,388.32,420.09
BPI2013,transformer,NV-PrT,2.0,fit,157.1692,400.75,402.09,680.35
BPI2013,transformer,NV-PrT,2.0,predict,0.253,402.09,394.83,437.55
