log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
BPI2013,xgboost,,,ocel_load,26.2646,613.22,1619.96,1692.43
BPI2013,xgboost,,,feature_extraction,12.1569,1619.79,1700.38,1805.6
BPI2013,xgboost,NE-NEPr,,labeling,0.0668,1701.35,1712.62,1712.62
BPI2013,xgboost,NE-NEPr,0.0,fit,1.1589,1717.74,1825.72,1825.72
BPI2013,xgboost,NE-NEPr,0.0,predict,0.0217,1825.74,1826.06,1826.06
BPI2013,xgboost,NE-NEPr,1.0,fit,0.6795,1827.27,1832.28,1832.28
BPI2013,xgboost,NE-NEPr,1.0,predict,0.0204,1832.28,1832.3,1832.3
BPI2013,xgboost,NE-NEPr,2.0,fit,0.6954,1832.3,1829.72,1832.3
BPI2013,xgboost,NE-NEPr,2.0,predict,0.0206,1829.72,1829.73,1829.73
BPI2013,xgboost,NE-NEPr,3.0,fit,0.6611,1830.67,1832.61,1832.61
BPI2013,xgboost,NE-NEPr,3.0,predict,0.0206,1832.61,1832.62,1832.62
BPI2013,xgboost,NE-NEPr,4.0,fit,0.6809,1832.63,1829.35,1834.07
BPI2013,xgboost,NE-NEPr,4.0,predict,0.0191,1829.35,1829.36,1829.36
BPI2013,xgboost,NE-NPaA,,labeling,0.0633,1829.48,1834.83,1834.83
BPI2013,xgboost,NE-NPaA,0.0,fit,4.2973,1835.31,1861.89,1906.22
BPI2013,xgboost,NE-NPaA,0.0,predict,0.1128,1861.88,1862.92,1862.92
BPI2013,xgboost,NE-NPaA,1.0,fit,4.0742,1847.46,1861.9,1901.74
BPI2013,xgboost,NE-NPaA,1.0,predict,0.1079,1861.9,1862.55,1862.56
BPI2013,xgboost,NE-NPaA,2.0,fit,4.1569,1847.51,1861.51,1902.43
BPI2013,xgboost,NE-NPaA,2.0,predict,0.115,1861.51,1862.27,1862.27
BPI2013,xgboost,NE-NPaA,3.0,fit,4.4157,1847.49,1862.35,1907.11
BPI2013,xgboost,NE-NPaA,3.0,predict,0.1204,1862.35,1863.3,1863.3
BPI2013,xgboost,NE-NPaA,4.0,fit,4.4314,1847.52,1863.7,1894.29
BPI2013,xgboost,NE-NPaA,4.0,predict,0.1163,1863.7,1864.4,1864.4
BPI2013,xgboost,NE-NEPa,,labeling,0.0732,1842.91,1843.79,1843.79
BPI2013,xgboost,NE-NEPa,0.0,fit,12.179,1855.44,1888.86,2021.65
BPI2013,xgboost,NE-NEPa,0.0,predict,0.3106,1888.84,1886.79,1894.62
BPI2013,xgboost,NE-NEPa,1.0,fit,12.4095,1855.77,1888.58,2013.42
BPI2013,xgboost,NE-NEPa,1.0,predict,0.3128,1888.58,1884.39,1894.7
BPI2013,xgboost,NE-NEPa,2.0,fit,12.1219,1853.26,1888.08,2020.5
BPI2013,xgboost,NE-NEPa,2.0,predict,0.3183,1888.08,1883.52,1893.8
BPI2013,xgboost,NE-NEPa,3.0,fit,12.123,1853.52,1889.29,2021.79
BPI2013,xgboost,NE-NEPa,3.0,predict,0.3156,1889.29,1887.52,1895.29
BPI2013,xgboost,NE-NEPa,4.0,fit,12.8472,1856.06,1889.01,2023.69
BPI2013,xgboost,NE-NEPa,4.0,predict,0.3257,1889.01,1887.52,1895.34
BPI2013,xgboost,NE-NPaM,,labeling,0.0575,1849.36,1835.9,1849.36
BPI2013,xgboost,NE-NPaM,0.0,fit,1.8945,1836.99,1852.22,1875.17
BPI2013,xgboost,NE-NPaM,0.0,predict,0.0342,1852.21,1851.61,1852.21
BPI2013,xgboost,NE-NPaM,1.0,fit,1.8584,1841.03,1852.15,1872.83
BPI2013,xgboost,NE-NPaM,1.0,predict,0.0316,1852.15,1852.03,1852.15
BPI2013,xgboost,NE-NPaM,2.0,fit,1.8238,1841.27,1852.12,1864.93
BPI2013,xgboost,NE-NPaM,2.0,predict,0.0333,1852.11,1852.27,1852.27
BPI2013,xgboost,NE-NPaM,3.0,fit,1.9887,1841.63,1853.4,1871.75
BPI2013,xgboost,NE-NPaM,3.0,predict,0.0347,1853.4,1853.3,1853.4
BPI2013,xgboost,NE-NPaM,4.0,fit,1.97,1842.0,1852.53,1875.28
BPI2013,xgboost,NE-NPaM,4.0,predict,0.0303,1852.53,1852.23,1852.53
BPI2013,xgboost,NE-NMPa,,labeling,0.0987,1839.59,1837.9,1839.72
BPI2013,xgboost,NE-NMPa,0.0,fit,0.0801,1838.42,1840.21,1840.21
BPI2013,xgboost,NE-NMPa,0.0,predict,0.0023,1840.21,1839.98,1840.21
BPI2013,xgboost,NE-NMPa,1.0,fit,0.0502,1839.48,1839.76,1839.76
BPI2013,xgboost,NE-NMPa,1.0,predict,0.0029,1839.76,1839.83,1839.83
BPI2013,xgboost,NE-NMPa,2.0,fit,0.0487,1838.74,1839.99,1839.99
BPI2013,xgboost,NE-NMPa,2.0,predict,0.0024,1839.99,1840.01,1840.01
BPI2013,xgboost,NE-NMPa,3.0,fit,0.043,1839.08,1839.68,1839.68
BPI2013,xgboost,NE-NMPa,3.0,predict,0.0023,1839.66,1839.72,1839.72
BPI2013,xgboost,NE-NMPa,4.0,fit,0.0467,1838.99,1839.41,1839.41
BPI2013,xgboost,NE-NMPa,4.0,predict,0.0024,1839.39,1839.48,1839.48
BPI2013,xgboost,NE-NMPr,,labeling,0.1021,1837.19,1838.9,1838.9
BPI2013,xgboost,NE-NMPr,0.0,fit,0.0498,1839.19,1840.46,1840.46
BPI2013,xgboost,NE-NMPr,0.0,predict,0.0024,1840.46,1840.5,1840.5
BPI2013,xgboost,NE-NMPr,1.0,fit,0.0574,1839.95,1840.86,1840.86
BPI2013,xgboost,NE-NMPr,1.0,predict,0.0024,1840.86,1840.9,1840.9
BPI2013,xgboost,NE-NMPr,2.0,fit,0.0555,1807.18,1810.22,1810.22
BPI2013,xgboost,NE-NMPr,2.0,predict,0.0025,1810.22,1810.24,1810.24
BPI2013,xgboost,NE-NMPr,3.0,fit,0.056,1810.42,1810.64,1810.64
BPI2013,xgboost,NE-NMPr,3.0,predict,0.0027,1810.64,1810.65,1810.65
BPI2013,xgboost,NE-NMPr,4.0,fit,0.0575,1810.65,1811.16,1811.16
BPI2013,xgboost,NE-NMPr,4.0,predict,0.0024,1811.16,1811.18,1811.18
BPI2013,xgboost,NV-PrT,,labeling,0.0871,1811.16,1838.05,1838.05
BPI2013,xgboost,NV-PrT,0.0,fit,0.1806,1840.0,1845.13,1845.13
BPI2013,xgboost,NV-PrT,0.0,predict,0.0078,1845.13,1845.13,1845.13
BPI2013,xgboost,NV-PrT,1.0,fit,0.1764,1845.48,1846.19,1846.19
BPI2013,xgboost,NV-PrT,1.0,predict,0.0065,1846.19,1846.19,1846.19
BPI2013,xgboost,NV-PrT,2.0,fit,0.178,1846.22,1846.58,1846.58
BPI2013,xgboost,NV-PrT,2.0,predict,0.0083,1846.58,1846.58,1846.58
BPI2013,xgboost,NV-PrT,3.0,fit,0.2005,1846.56,1826.87,1846.6
BPI2013,xgboost,NV-PrT,3.0,predict,0.0064,1826.87,1826.88,1826.88
BPI2013,xgboost,NV-PrT,4.0,fit,0.1785,1830.06,1833.16,1833.16
BPI2013,xgboost,NV-PrT,4.0,predict,0.0061,1833.16,1833.16,1833.16
BPI2013,xgboost,NV-PaT,,labeling,0.1749,1833.13,1847.23,1847.23
BPI2013,xgboost,NV-PaT,0.0,fit,0.1779,1847.66,1848.23,1848.23
BPI2013,xgboost,NV-PaT,0.0,predict,0.0069,1848.23,1848.23,1848.23
BPI2013,xgboost,NV-PaT,1.0,fit,0.1727,1848.21,1848.29,1848.29
BPI2013,xgboost,NV-PaT,1.0,predict,0.0086,1848.29,1848.29,1848.29
BPI2013,xgboost,NV-PaT,2.0,fit,0.1766,1848.27,1848.44,1848.44
BPI2013,xgboost,NV-PaT,2.0,predict,0.0067,1848.44,1848.44,1848.44
BPI2013,xgboost,NV-PaT,3.0,fit,0.1733,1848.41,1826.95,1848.41
BPI2013,xgboost,NV-PaT,3.0,predict,0.0069,1826.95,1826.98,1826.98
BPI2013,xgboost,NV-PaT,4.0,fit,0.1733,1831.74,1834.68,1834.68
BPI2013,xgboost,NV-PaT,4.0,predict,0.006,1834.68,1834.68,1834.68
BPI2013,xgboost,NV-TNE,,labeling,0.102,1834.66,1848.37,1848.37
BPI2013,xgboost,NV-TNE,0.0,fit,0.1821,1848.34,1848.82,1848.82
BPI2013,xgboost,NV-TNE,0.0,predict,0.0064,1848.82,1848.83,1848.83
BPI2013,xgboost,NV-TNE,1.0,fit,0.1779,1848.8,1849.02,1849.02
BPI2013,xgboost,NV-TNE,1.0,predict,0.0063,1849.02,1849.02,1849.02
BPI2013,xgboost,NV-TNE,2.0,fit,0.1804,1849.0,1849.13,1849.13
BPI2013,xgboost,NV-TNE,2.0,predict,0.0064,1849.13,1849.13,1849.13
