log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
BPI2013,lstm_torch,,,ocel_load,26.2463,613.54,1619.4,1691.81
BPI2013,lstm_torch,,,feature_extraction,12.3095,1619.26,1700.69,1818.0
BPI2013,lstm_torch,NE-NPaA,,labeling,0.0533,1701.75,1713.08,1713.08
BPI2013,lstm_torch,NE-NPaA,0.0,fit,162.1642,1809.69,1919.21,1919.61
BPI2013,lstm_torch,NE-NPaA,0.0,predict,0.0578,1919.21,1962.01,1962.01
BPI2013,lstm_torch,NE-NPaA,1.0,fit,160.0862,1938.16,1922.83,1939.71
BPI2013,lstm_torch,NE-NPaA,1.0,predict,0.0396,1922.83,1965.05,1965.05
BPI2013,lstm_torch,NE-NPaA,2.0,fit,158.8374,1941.02,1928.28,1945.01
BPI2013,lstm_torch,NE-NPaA,2.0,predict,0.03,1928.28,1987.83,1987.83
BPI2013,lstm_torch,NE-NPaA,3.0,fit,156.4924,1973.17,1925.3,1973.9
BPI2013,lstm_torch,NE-NPaA,3.0,predict,0.0351,1925.3,2007.09,2007.09
BPI2013,lstm_torch,NE-NPaA,4.0,fit,163.1188,1995.32,1924.22,1997.28
BPI2013,lstm_torch,NE-NPaA,4.0,predict,0.0249,1924.22,1980.83,1980.83
BPI2013,lstm_torch,NE-NMPr,,labeling,0.0795,1942.47,1945.47,1945.47
BPI2013,lstm_torch,NV-PrT,,labeling,0.1127,1918.32,1938.64,1938.64
BPI2013,lstm_torch,NV-PrT,0.0,fit,158.2518,1973.36,1920.64,1976.05
BPI2013,lstm_torch,NV-PrT,0.0,predict,0.0192,1920.64,1962.33,1962.33
BPI2013,lstm_torch,NV-PrT,1.0,fit,157.5321,1978.36,1921.4,1978.37
BPI2013,lstm_torch,NV-PrT,1.0,predict,0.0166,1921.4,1962.23,1962.23
BPI2013,lstm_torch,NV-PrT,2.0,fit,153.6583,1980.99,1924.21,1980.99
BPI2013,lstm_torch,NV-PrT,2.0,predict,0.0232,1924.21,1981.1,1981.1
BPI2013,lstm_torch,NV-PrT,3.0,fit,157.0636,1992.99,1923.55,1993.01
BPI2013,lstm_torch,NV-PrT,3.0,predict,0.0211,1923.55,1985.8,1985.8
BPI2013,lstm_torch,NV-PrT,4.0,fit,158.4424,2002.87,1922.99,2002.9
BPI2013,lstm_torch,NV-PrT,4.0,predict,0.0171,1922.99,1969.99,1969.99
BPI2013,lstm_torch,NV-PaT,,labeling,0.1712,1948.09,1960.81,1960.81
BPI2013,lstm_torch,NV-PaT,0.0,fit,155.9568,1970.97,1922.2,1972.33
BPI2013,lstm_torch,NV-PaT,0.0,predict,0.0146,1922.2,1964.92,1964.92
BPI2013,lstm_torch,NV-PaT,1.0,fit,155.6451,1979.02,1922.42,1979.02
BPI2013,lstm_torch,NV-PaT,1.0,predict,0.0186,1922.42,1965.27,1965.27
BPI2013,lstm_torch,NV-PaT,2.0,fit,153.5334,1980.95,1926.5,1980.98
BPI2013,lstm_torch,NV-PaT,2.0,predict,0.0177,1926.5,1983.7,1983.7
BPI2013,lstm_torch,NV-PaT,3.0,fit,156.0912,1996.84,1854.48,1996.84
BPI2013,lstm_torch,NV-PaT,3.0,predict,0.0187,1854.48,1916.56,1916.56
BPI2013,lstm_torch,NV-PaT,4.0,fit,159.2733,1933.19,1854.16,1933.19
BPI2013,lstm_torch,NV-PaT,4.0,predict,0.0204,1854.16,1901.64,1901.64
BPI2013,lstm_torch,NV-NMPr,,labeling,0.1633,1879.76,1895.93,1895.93
BPI2013,lstm_torch,NV-NMPr,0.0,fit,156.9092,1904.98,1852.06,1906.53
BPI2013,lstm_torch,NV-NMPr,0.0,predict,0.0187,1852.06,1895.22,1895.22
BPI2013,lstm_torch,NV-NMPr,1.0,fit,156.0035,1907.78,1853.75,1907.78
BPI2013,lstm_torch,NV-NMPr,1.0,predict,0.0151,1853.75,1896.46,1896.46
BPI2013,lstm_torch,NV-NMPr,2.0,fit,153.8668,1911.28,1857.71,1911.28
BPI2013,lstm_torch,NV-NMPr,2.0,predict,0.0213,1857.71,1914.9,1914.9
BPI2013,lstm_torch,NV-NMPr,3.0,fit,157.1866,1917.6,1855.98,1917.6
BPI2013,lstm_torch,NV-NMPr,3.0,predict,0.0215,1855.98,1920.19,1920.19
BPI2013,lstm_torch,NV-NMPr,4.0,fit,157.3298,1935.68,1854.8,1935.68
BPI2013,lstm_torch,NV-NMPr,4.0,predict,0.02,1854.8,1902.36,1902.36
BPI2013,lstm_torch,OB-M,,labeling,0.1376,1880.48,1889.48,1889.48
BPI2013,lstm_torch,OB-M,0.0,fit,156.2347,1904.58,1854.82,1906.34
BPI2013,lstm_torch,OB-M,0.0,predict,0.0126,1854.82,1896.83,1896.83
BPI2013,lstm_torch,OB-M,1.0,fit,155.1871,1882.87,1854.07,1884.27
BPI2013,lstm_torch,OB-M,1.0,predict,0.0184,1854.07,1897.13,1897.13
BPI2013,lstm_torch,OB-M,2.0,fit,154.0523,1887.82,1855.25,1888.87
BPI2013,lstm_torch,OB-M,2.0,predict,0.0272,1855.25,1919.93,1919.93
BPI2013,lstm_torch,OB-M,3.0,fit,154.2926,1906.11,1855.05,1906.11
BPI2013,lstm_torch,OB-M,3.0,predict,0.0207,1855.05,1919.87,1919.87
BPI2013,lstm_torch,OB-M,4.0,fit,158.7529,1903.74,1853.91,1903.74
BPI2013,lstm_torch,OB-M,4.0,predict,0.0173,1853.91,1899.55,1899.55
