log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
BPI2013,random_forest,,,ocel_load,27.2945,613.27,1617.97,1691.58
BPI2013,random_forest,,,feature_extraction,12.1052,1617.82,1700.81,1820.64
BPI2013,random_forest,NE-NPaA,,labeling,0.0542,1700.86,1712.11,1712.11
BPI2013,random_forest,NE-NPaA,0.0,fit,1.5165,1712.65,2972.82,2990.92
BPI2013,random_forest,NE-NPaA,0.0,predict,0.1813,2972.61,2972.01,3004.42
BPI2013,random_forest,NE-NPaA,1.0,fit,1.478,1733.49,3036.42,3052.7
BPI2013,random_forest,NE-NPaA,1.0,predict,0.1678,3036.13,3034.38,3065.59
BPI2013,random_forest,NE-NPaA,2.0,fit,1.4767,1754.42,3017.17,3025.27
BPI2013,random_forest,NE-NPaA,2.0,predict,0.1854,3017.01,3014.57,3047.58
BPI2013,random_forest,NE-NPaA,3.0,fit,1.5081,1754.23,3067.76,3085.83
BPI2013,random_forest,NE-NPaA,3.0,predict,0.2008,3067.08,2989.36,3067.08
BPI2013,random_forest,NE-NPaA,4.0,fit,1.4535,1779.45,3112.1,3132.93
BPI2013,random_forest,NE-NPaA,4.0,predict,0.2102,3111.9,3110.31,3147.11
BPI2013,random_forest,NE-NMPr,,labeling,0.0713,1748.73,1740.79,1748.73
BPI2013,random_forest,NE-NMPr,0.0,fit,0.2273,1741.25,1702.99,1747.04
BPI2013,random_forest,NE-NMPr,0.0,predict,0.0331,1702.99,1703.57,1703.57
BPI2013,random_forest,NE-NMPr,1.0,fit,0.2191,1704.16,1706.95,1706.95
BPI2013,random_forest,NE-NMPr,1.0,predict,0.0432,1706.95,1706.66,1706.95
BPI2013,random_forest,NE-NMPr,2.0,fit,0.1932,1706.38,1707.45,1707.45
BPI2013,random_forest,NE-NMPr,2.0,predict,0.0292,1707.41,1707.32,1707.41
BPI2013,random_forest,NE-NMPr,3.0,fit,0.2208,1706.86,1707.61,1707.61
BPI2013,random_forest,NE-NMPr,3.0,predict,0.0407,1707.57,1707.34,1707.57
BPI2013,random_forest,NE-NMPr,4.0,fit,0.2011,1686.1,1705.01,1705.01
BPI2013,random_forest,NE-NMPr,4.0,predict,0.0298,1705.01,1705.32,1705.32
BPI2013,random_forest,NV-PrT,,labeling,0.061,1704.84,1727.29,1730.51
BPI2013,random_forest,NV-PrT,0.0,fit,1.6076,1730.53,2439.51,2450.14
BPI2013,random_forest,NV-PrT,0.0,predict,0.0876,2439.34,2438.96,2439.34
BPI2013,random_forest,NV-PrT,1.0,fit,1.5392,1736.2,2439.73,2453.75
BPI2013,random_forest,NV-PrT,1.0,predict,0.0904,2439.72,2438.31,2439.72
BPI2013,random_forest,NV-PrT,2.0,fit,1.5547,1744.29,2371.83,2442.04
BPI2013,random_forest,NV-PrT,2.0,predict,0.1035,2371.83,2372.61,2372.61
BPI2013,random_forest,NV-PrT,3.0,fit,1.612,1750.37,2436.27,2443.61
BPI2013,random_forest,NV-PrT,3.0,predict,0.1192,2436.23,2435.09,2436.23
BPI2013,random_forest,NV-PrT,4.0,fit,1.5773,1735.91,2440.04,2441.87
BPI2013,random_forest,NV-PrT,4.0,predict,0.1076,2440.04,2437.77,2440.04
BPI2013,random_forest,NV-PaT,,labeling,0.1309,1735.87,1732.41,1735.87
BPI2013,random_forest,NV-PaT,0.0,fit,1.67,1736.61,2329.65,2340.84
BPI2013,random_forest,NV-PaT,0.0,predict,0.0819,2329.65,2326.91,2329.65
BPI2013,random_forest,NV-PaT,1.0,fit,1.782,1749.39,2335.64,2344.19
BPI2013,random_forest,NV-PaT,1.0,predict,0.0846,2335.64,2334.7,2335.64
BPI2013,random_forest,NV-PaT,2.0,fit,1.6119,1735.41,2329.25,2344.51
BPI2013,random_forest,NV-PaT,2.0,predict,0.0922,2328.99,2254.17,2329.65
BPI2013,random_forest,NV-PaT,3.0,fit,1.7202,1749.21,2329.72,2342.76
BPI2013,random_forest,NV-PaT,3.0,predict,0.0842,2329.72,2329.45,2329.72
BPI2013,random_forest,NV-PaT,4.0,fit,1.769,1741.28,2337.18,2344.47
BPI2013,random_forest,NV-PaT,4.0,predict,0.0768,2337.05,2335.88,2337.05
BPI2013,random_forest,NV-NMPr,,labeling,0.134,1735.46,1731.37,1735.46
BPI2013,random_forest,NV-NMPr,0.0,fit,1.1998,1735.7,2011.38,2026.38
BPI2013,random_forest,NV-NMPr,0.0,predict,0.0592,2011.38,1954.88,2011.38
BPI2013,random_forest,NV-NMPr,1.0,fit,1.1964,1736.01,2021.03,2021.03
BPI2013,random_forest,NV-NMPr,1.0,predict,0.0602,2021.03,2019.21,2021.03
BPI2013,random_forest,NV-NMPr,2.0,fit,1.2199,1735.57,2009.94,2021.22
BPI2013,random_forest,NV-NMPr,2.0,predict,0.0446,2009.53,2009.92,2009.92
BPI2013,random_forest,NV-NMPr,3.0,fit,1.2544,1735.8,2010.0,2023.15
BPI2013,random_forest,NV-NMPr,3.0,predict,0.0629,2009.88,2010.04,2010.78
BPI2013,random_forest,NV-NMPr,4.0,fit,1.2338,1735.68,1995.62,2041.25
BPI2013,random_forest,NV-NMPr,4.0,predict,0.0535,1995.62,1998.34,1998.37
BPI2013,random_forest,OB-M,,labeling,0.1115,1730.07,1730.31,1730.31
BPI2013,random_forest,OB-M,0.0,fit,1.0724,1734.79,1986.77,1986.77
BPI2013,random_forest,OB-M,0.0,predict,0.0564,1986.77,1985.05,1986.77
BPI2013,random_forest,OB-M,1.0,fit,1.0566,1736.25,2001.33,2004.47
BPI2013,random_forest,OB-M,1.0,predict,0.0449,2001.33,1998.91,2001.33
BPI2013,random_forest,OB-M,2.0,fit,1.1019,1736.07,1989.93,2002.72
BPI2013,random_forest,OB-M,2.0,predict,0.0486,1989.93,1988.66,1989.93
BPI2013,random_forest,OB-M,3.0,fit,0.9702,1736.81,1989.38,2000.22
BPI2013,random_forest,OB-M,3.0,predict,0.0564,1989.14,1987.53,1989.14
BPI2013,random_forest,OB-M,4.0,fit,1.0284,1736.55,1993.43,2012.09
BPI2013,random_forest,OB-M,4.0,predict,0.0473,1993.22,1991.75,1993.22
