log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
BPI2013,transformer,,,ocel_load,28.063,613.18,1619.46,1692.21
BPI2013,transformer,,,feature_extraction,12.7475,1619.29,1700.21,1808.02
BPI2013,transformer,NE-NPaA,,labeling,0.0632,1701.28,1712.29,1712.29
BPI2013,transformer,NE-NPaA,0.0,fit,164.8387,1750.72,1880.67,2175.33
BPI2013,transformer,NE-NPaA,0.0,predict,0.2283,1880.67,1892.57,1922.72
BPI2013,transformer,NE-NPaA,1.0,fit,158.2594,1877.58,1909.85,2177.98
BPI2013,transformer,NE-NPaA,1.0,predict,0.2342,1909.85,1892.32,1923.22
BPI2013,transformer,NE-NPaA,2.0,fit,157.9976,1889.01,1889.58,2191.36
BPI2013,transformer,NE-NPaA,2.0,predict,0.2956,1889.58,1906.54,1949.2
BPI2013,transformer,NE-NPaA,3.0,fit,157.7941,1902.95,1819.08,2141.88
BPI2013,transformer,NE-NPaA,3.0,predict,0.254,1819.09,1831.94,1882.33
BPI2013,transformer,NE-NPaA,4.0,fit,159.9722,1817.69,1845.34,2121.78
BPI2013,transformer,NE-NPaA,4.0,predict,0.2092,1845.34,1830.67,1870.85
BPI2013,transformer,NE-NMPr,,labeling,0.0965,1818.89,1824.01,1824.01
BPI2013,transformer,NV-PrT,,labeling,0.0662,1806.6,1833.54,1833.54
BPI2013,transformer,NV-PrT,0.0,fit,157.8754,1830.62,1846.67,2111.58
BPI2013,transformer,NV-PrT,0.0,predict,0.2045,1846.67,1829.92,1867.42
BPI2013,transformer,NV-PrT,1.0,fit,157.7816,1846.14,1846.63,2123.2
BPI2013,transformer,NV-PrT,1.0,predict,0.2312,1846.63,1853.12,1853.12
BPI2013,transformer,NV-PrT,2.0,fit,159.7832,1868.05,1852.29,2126.05
BPI2013,transformer,NV-PrT,2.0,predict,0.282,1852.29,1837.5,1886.74
BPI2013,transformer,NV-PrT,3.0,fit,157.8945,1852.39,1848.8,2087.08
BPI2013,transformer,NV-PrT,3.0,predict,0.2776,1848.8,1839.13,1886.12
BPI2013,transformer,NV-PrT,4.0,fit,158.7791,1854.89,1842.85,2128.47
BPI2013,transformer,NV-PrT,4.0,predict,0.1915,1842.85,1833.28,1867.65
BPI2013,transformer,NV-PaT,,labeling,0.1517,1834.07,1852.45,1852.45
BPI2013,transformer,NV-PaT,0.0,fit,156.8271,1834.05,1845.37,2117.7
BPI2013,transformer,NV-PaT,0.0,predict,0.2091,1845.37,1839.46,1845.37
BPI2013,transformer,NV-PaT,1.0,fit,157.7673,1854.98,1846.39,2118.15
BPI2013,transformer,NV-PaT,1.0,predict,0.2252,1846.39,1848.82,1867.52
BPI2013,transformer,NV-PaT,2.0,fit,157.2517,1865.07,1848.23,2125.18
BPI2013,transformer,NV-PaT,2.0,predict,0.2747,1848.23,1837.58,1884.79
BPI2013,transformer,NV-PaT,3.0,fit,198.7521,1852.81,1851.53,2081.33
BPI2013,transformer,NV-PaT,3.0,predict,0.249,1851.53,1832.87,1888.22
BPI2013,transformer,NV-PaT,4.0,fit,158.8087,1848.55,1848.34,2128.79
BPI2013,transformer,NV-PaT,4.0,predict,0.1935,1848.34,1833.71,1871.71
BPI2013,transformer,NV-NMPr,,labeling,0.2077,1834.84,1854.11,1854.11
BPI2013,transformer,NV-NMPr,0.0,fit,157.7758,1835.87,1850.68,2120.19
BPI2013,transformer,NV-NMPr,0.0,predict,0.1808,1850.68,1840.57,1850.68
BPI2013,transformer,NV-NMPr,1.0,fit,156.233,1842.01,1840.93,2124.39
BPI2013,transformer,NV-NMPr,1.0,predict,0.2224,1840.93,1832.58,1843.55
BPI2013,transformer,NV-NMPr,2.0,fit,157.7337,1848.66,1848.21,2127.53
BPI2013,transformer,NV-NMPr,2.0,predict,0.2483,1848.21,1835.54,1884.87
BPI2013,transformer,NV-NMPr,3.0,fit,156.7626,1850.55,1848.26,2079.56
BPI2013,transformer,NV-NMPr,3.0,predict,0.2611,1848.26,1833.38,1887.16
BPI2013,transformer,NV-NMPr,4.0,fit,157.7708,1849.32,1844.0,2130.1
BPI2013,transformer,NV-NMPr,4.0,predict,0.1925,1844.0,1833.55,1847.41
BPI2013,transformer,OB-M,,labeling,0.1393,1834.57,1853.1,1853.1
BPI2013,transformer,OB-M,0.0,fit,158.4606,1835.63,1850.04,2118.33
BPI2013,transformer,OB-M,0.0,predict,0.2039,1850.04,1837.05,1862.45
BPI2013,transformer,OB-M,1.0,fit,157.3159,1829.68,1824.74,2119.34
BPI2013,transformer,OB-M,1.0,predict,0.2276,1824.74,1834.66,1866.4
BPI2013,transformer,OB-M,2.0,fit,157.6162,1825.35,1848.85,2127.49
BPI2013,transformer,OB-M,2.0,predict,0.3148,1848.85,1839.47,1885.35
BPI2013,transformer,OB-M,3.0,fit,158.1614,1830.81,1851.53,2081.47
BPI2013,transformer,OB-M,3.0,predict,0.2564,1851.53,1832.9,1888.24
BPI2013,transformer,OB-M,4.0,fit,157.5378,1813.5,1849.1,2125.34
BPI2013,transformer,OB-M,4.0,predict,0.2056,1849.1,1833.16,1872.47
