log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,transformer,,,ocel_load,1.5597,613.62,711.0,719.17
Healthcare,transformer,,,feature_extraction,0.7145,711.06,764.71,764.71
Healthcare,transformer,NE-NEPr,,labeling,0.0021,764.85,765.51,765.51
Healthcare,transformer,NE-NEPr,0.0,fit,3.4008,803.77,959.32,959.99
Healthcare,transformer,NE-NEPr,0.0,predict,0.0037,959.33,959.85,959.85
Healthcare,transformer,NE-NEPr,1.0,fit,3.0059,929.56,962.24,962.67
Healthcare,transformer,NE-NEPr,1.0,predict,0.0034,962.24,962.32,962.32
Healthcare,transformer,NE-NEPr,2.0,fit,3.1713,932.69,961.76,961.76
Healthcare,transformer,NE-NEPr,2.0,predict,0.0033,961.76,961.88,961.88
Healthcare,transformer,NE-NEPr,3.0,fit,3.1378,962.06,962.73,965.19
Healthcare,transformer,NE-NEPr,3.0,predict,0.0033,962.73,962.74,962.74
Healthcare,transformer,NE-NEPr,4.0,fit,3.0962,933.23,964.75,966.25
Healthcare,transformer,NE-NEPr,4.0,predict,0.0034,964.75,964.75,964.75
Healthcare,transformer,NE-NPaA,,labeling,0.0036,964.73,964.81,964.81
Healthcare,transformer,NE-NPaA,0.0,fit,3.0963,964.88,963.0,965.52
Healthcare,transformer,NE-NPaA,0.0,predict,0.0034,963.0,963.17,963.17
Healthcare,transformer,NE-NPaA,1.0,fit,2.9979,934.23,963.61,963.61
Healthcare,transformer,NE-NPaA,1.0,predict,0.0025,963.61,963.61,963.61
Healthcare,transformer,NE-NPaA,2.0,fit,3.1441,963.85,964.14,966.73
Healthcare,transformer,NE-NPaA,2.0,predict,0.0035,964.14,964.46,964.46
Healthcare,transformer,NE-NPaA,3.0,fit,3.0559,935.69,964.96,964.96
Healthcare,transformer,NE-NPaA,3.0,predict,0.0028,964.96,964.97,964.97
Healthcare,transformer,NE-NPaA,4.0,fit,3.1329,965.13,966.53,967.41
Healthcare,transformer,NE-NPaA,4.0,predict,0.0035,966.53,966.71,966.71
Healthcare,transformer,NE-NEPa,,labeling,0.0037,934.27,934.31,934.31
Healthcare,transformer,NE-NEPa,0.0,fit,3.104,934.51,966.8,966.8
Healthcare,transformer,NE-NEPa,0.0,predict,0.0033,966.8,966.92,966.92
Healthcare,transformer,NE-NEPa,1.0,fit,3.092,967.2,968.5,968.5
Healthcare,transformer,NE-NEPa,1.0,predict,0.0035,968.5,968.64,968.64
