log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity,n_labels,degenerate
Healthcare,NE-NEPr,CollaborationCase,Multiclass classification,gnn,1350,True,f1_macro,0.6577948322764109,0.0195790364962242,0.0069350164665497,5,,,20,False
Healthcare,NE-NPaA,Participant,Multiclass classification,gnn,1350,True,f1_macro,0.8651368716569374,0.022797890210698,0.171005461222187,5,,,4,False
Healthcare,NE-NEPa,Participant,Multiclass classification,gnn,1350,True,f1_macro,0.6577948322764109,0.0195790364962242,0.0069350164665497,5,,,20,False
Healthcare,NE-NPaM,Participant,Multiclass classification,gnn,1250,True,f1_macro,0.983198677882512,0.0116753504662347,0.2478347612527171,5,,,3,False
Healthcare,NE-NMPa,OrchestrationCase,Multiclass classification,gnn,1068,True,f1_macro,0.8534698387292454,0.043588200157243,0.0812006513110039,5,Gynecologist,,7,False
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,gnn,1350,True,f1_macro,0.6986927893730663,0.0592880575087802,0.0227085648183491,5,,,15,False
Healthcare,NV-PrT,CollaborationCase,Regression (time),gnn,1350,True,mae,15.463594245910643,2.459811643054034,17.454732546495297,5,,,1335,False
Healthcare,NV-PaT,OrchestrationCase,Regression (time),gnn,1350,True,mae,8.317870998382569,1.0719975078426107,12.850423216071276,5,Gynecologist,,1048,False
Healthcare,NV-TNE,CollaborationCase,Regression (time),gnn,1350,True,mae,1.7672458171844485,0.0546906310016705,1.8751462820785527,5,,,1234,False
Healthcare,NV-TNM,Message,Regression (time),gnn,1250,True,mae,2.946594095230102,0.073795516312828,4.273275448968223,5,,,1205,False
Healthcare,NV-NMPr,Message,Count regression,gnn,1350,True,mae,2.358060574531556,0.3681169757549343,2.820207996641269,5,,,13,False
Healthcare,NV-NMPa,Message,Count regression,gnn,1350,True,mae,0.8104434490203858,0.1148562768105775,1.49956053049556,5,Gynecologist,,7,False
Healthcare,OB-P,OrchestrationCase,Binary classification,gnn,1350,True,f1_macro,0.9393200213347616,0.0070735390496333,0.4420718892173513,5,Gynecologist,,2,False
Healthcare,OB-M,Message,Binary classification,gnn,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease,1,True
Artificial1,NE-NEPr,CollaborationCase,Multiclass classification,gnn,700,True,f1_macro,0.5771640379640901,0.033982841263238,0.03125,5,,,8,False
Artificial1,NE-NPaA,Participant,Multiclass classification,gnn,700,True,f1_macro,0.7825259502738107,0.0414326141211489,0.3395697349000968,5,,,2,False
Artificial1,NE-NEPa,Participant,Multiclass classification,gnn,700,True,f1_macro,0.5771640379640901,0.033982841263238,0.03125,5,,,8,False
Artificial1,NE-NPaM,Participant,Multiclass classification,gnn,329,True,f1_macro,1.0,0.0,1.0,5,,,1,True
Artificial1,NE-NMPa,OrchestrationCase,Multiclass classification,gnn,549,True,f1_macro,0.6020015116079224,0.063994065331037,0.3261945215195118,5,PartyA,,2,False
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,gnn,549,True,f1_macro,0.5314924248430611,0.0374614693747153,0.1067578402001851,5,,,4,False
Artificial1,NV-PrT,CollaborationCase,Regression (time),gnn,700,True,mae,4.04954776763916,0.761688754570507,8.590367159191668,5,,,694,False
Artificial1,NV-PaT,OrchestrationCase,Regression (time),gnn,700,True,mae,3.9326465129852295,0.7529230525149686,8.565514305132584,5,PartyA,,681,False
Artificial1,NV-TNE,CollaborationCase,Regression (time),gnn,700,True,mae,1.948190259933472,0.092967223649286,2.1534714337235474,5,,,677,False
Artificial1,NV-TNM,Message,Regression (time),gnn,329,True,mae,2.079319405555725,0.1039896837674041,2.5236640406365525,5,,,320,False
Artificial1,NV-NMPr,Message,Count regression,gnn,700,True,mae,0.0700718313455581,0.0090094439093846,1.2899999999999998,5,,,5,False
