log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,1350,True,f1_macro,0.6743915532047747,0.041236506381571475,0.006935016466549771,5,,
Healthcare,NE-NPaA,Participant,Multiclass classification,lstm_torch,1350,True,f1_macro,0.8765236274266819,0.020289807606687717,0.17100546122218707,5,,
Healthcare,NE-NEPa,Participant,Multiclass classification,lstm_torch,1350,True,f1_macro,0.6743915532047747,0.041236506381571475,0.006935016466549771,5,,
Healthcare,NE-NPaM,Participant,Multiclass classification,lstm_torch,1250,True,f1_macro,0.9850318186828732,0.012451172273939647,0.2478347612527171,5,,
Healthcare,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,1068,True,f1_macro,0.8370899763407312,0.02850445401641898,0.0812006513110039,5,Gynecologist,
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,1350,True,f1_macro,0.7200132841664912,0.060274541969594475,0.02270856481834916,5,,
Healthcare,NV-PrT,CollaborationCase,Regression (time),lstm_torch,1350,True,mae,14.777249647679673,2.1420421416245685,17.454732526538386,5,,
Healthcare,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,1350,True,mae,8.32754156307736,1.1286138276742887,12.850423210038182,5,Gynecologist,
Healthcare,NV-TNE,CollaborationCase,Regression (time),lstm_torch,1350,True,mae,1.8093622879811082,0.034586131030797565,1.8751462779091053,5,,
Healthcare,NV-TNM,Message,Regression (time),lstm_torch,1250,True,mae,2.8776624070363335,0.06480045000809266,4.273275441893716,5,,
Healthcare,NV-NMPr,Message,Count regression,lstm_torch,1350,True,mae,2.198102776606907,0.22417485919260585,2.820207996641269,5,,
Healthcare,NV-NMPa,Message,Count regression,lstm_torch,1350,True,mae,0.7949086223206722,0.0829307647152883,1.49956053049556,5,Gynecologist,
Healthcare,OB-P,OrchestrationCase,Binary classification,lstm_torch,1350,True,f1_macro,0.9347619643628053,0.03362223340138247,0.4420718892173513,5,Gynecologist,
Healthcare,OB-M,Message,Binary classification,lstm_torch,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,700,True,f1_macro,0.5723479137330402,0.04006295381031312,0.03125,5,,
Artificial1,NE-NPaA,Participant,Multiclass classification,lstm_torch,700,True,f1_macro,0.780731498510755,0.03661274281853501,0.3395697349000968,5,,
Artificial1,NE-NEPa,Participant,Multiclass classification,lstm_torch,700,True,f1_macro,0.5723479137330402,0.04006295381031312,0.03125,5,,
Artificial1,NE-NPaM,Participant,Multiclass classification,lstm_torch,329,True,f1_macro,1.0,0.0,1.0,5,,
Artificial1,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,549,True,f1_macro,0.5982395981394215,0.042467857837872894,0.3261945215195118,5,PartyA,
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,549,True,f1_macro,0.5241570380474015,0.02498118105959006,0.10675784020018511,5,,
Artificial1,NV-PrT,CollaborationCase,Regression (time),lstm_torch,700,True,mae,3.9801496890006747,0.6661853622497105,8.590367142857142,5,,
Artificial1,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,700,True,mae,3.9287273654311043,0.7187774551463141,8.565514285714286,5,PartyA,
Artificial1,NV-TNE,CollaborationCase,Regression (time),lstm_torch,700,True,mae,2.00134191532433,0.13779295689435334,2.1534714285714287,5,,
Artificial1,NV-TNM,Message,Regression (time),lstm_torch,329,True,mae,2.0885731272996644,0.09390664774573847,2.5236640528400343,5,,
Artificial1,NV-NMPr,Message,Count regression,lstm_torch,700,True,mae,0.06608651583964405,0.010705847884504651,1.2899999999999998,5,,
Artificial1,NV-NMPa,Message,Count regression,lstm_torch,700,True,mae,0.032065133523948526,0.005817480294425095,0.6699999999999999,5,PartyA,
Artificial1,OB-P,OrchestrationCase,Binary classification,lstm_torch,700,True,f1_macro,0.9655596555965559,0.06888068880688807,0.5952883375662641,5,PartyA,
Artificial1,OB-M,Message,Binary classification,lstm_torch,700,True,f1_macro,0.9071811840234325,0.008468450859924656,0.3938803254080784,5,,Activity CZ
Artificial5,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,2260,True,f1_macro,0.4267625072971904,0.01294972590226477,0.0030266998728702226,5,,
Artificial5,NE-NPaA,Participant,Multiclass classification,lstm_torch,2260,True,f1_macro,0.5766725807521305,0.030636516096120472,0.17751114759349873,5,,
Artificial5,NE-NEPa,Participant,Multiclass classification,lstm_torch,2260,True,f1_macro,0.4267625072971904,0.01294972590226477,0.0030266998728702226,5,,
Artificial5,NE-NPaM,Participant,Multiclass classification,lstm_torch,1661,True,f1_macro,0.6939745135448592,0.054059782804413876,0.22858494759406106,5,,
Artificial5,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,2018,True,f1_macro,0.7006161390458024,0.015192747376824271,0.08242272101897638,5,PartyB,
Artificial5,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,2068,True,f1_macro,0.6422295263445412,0.03466710577543116,0.019998111199948605,5,,
Artificial5,NV-PrT,CollaborationCase,Regression (time),lstm_torch,2260,True,mae,10.525355761408624,0.7801396567823736,33.571474612535994,5,,
Artificial5,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,2260,True,mae,9.639857060494922,0.6020119176807059,33.50198229261808,5,PartyB,
Artificial5,NV-TNE,CollaborationCase,Regression (time),lstm_torch,2260,True,mae,2.9528979976913194,0.04291334473392364,2.8569414043660233,5,,
Artificial5,NV-TNM,Message,Regression (time),lstm_torch,1661,True,mae,8.530317226614992,0.3828760012034808,9.514710429332277,5,,
Artificial5,NV-NMPr,Message,Count regression,lstm_torch,2260,True,mae,0.9358727587032464,0.030513882842638874,2.609263197062771,5,,
Artificial5,NV-NMPa,Message,Count regression,lstm_torch,2260,True,mae,0.49244953588698637,0.0228327799493263,1.2508256431105444,5,PartyB,
Artificial5,OB-P,OrchestrationCase,Binary classification,lstm_torch,2260,True,f1_macro,0.9539860434938092,0.05040631091131632,0.49688565285509034,5,PartyB,
Artificial5,OB-M,Message,Binary classification,lstm_torch,2260,True,f1_macro,0.9141555651052858,0.17168886978942846,0.4940686126828224,5,,Activity AA
Real4,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,1700,True,f1_macro,0.6928417126218391,0.004193522055102407,0.006172839506172839,5,,
Real4,NE-NPaA,Participant,Multiclass classification,lstm_torch,1700,True,f1_macro,0.905413612138742,0.018193811543868614,0.23076923076923075,5,,
