log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity,n_labels,degenerate
Healthcare,NE-NEPr,CollaborationCase,Multiclass classification,random_forest,1350,True,f1_macro,0.6520899576387217,0.0245261641752049,0.0069350164665497,5,,,20,False
Healthcare,NE-NPaA,Participant,Multiclass classification,random_forest,1350,True,f1_macro,0.8219412926106056,0.034993353903949,0.171005461222187,5,,,4,False
Healthcare,NE-NEPa,Participant,Multiclass classification,random_forest,1350,True,f1_macro,0.6520899576387217,0.0245261641752049,0.0069350164665497,5,,,20,False
Healthcare,NE-NPaM,Participant,Multiclass classification,random_forest,1250,True,f1_macro,0.9811142529004602,0.0170525400977251,0.2478347612527171,5,,,3,False
Healthcare,NE-NMPa,Message,Multiclass classification,random_forest,1068,True,f1_macro,0.8503710514271627,0.0205162725176092,0.0812006513110039,5,Gynecologist,,7,False
Healthcare,NE-NMPr,Message,Multiclass classification,random_forest,1350,True,f1_macro,0.7038958131649913,0.0218957347833243,0.0227085648183491,5,,,15,False
Healthcare,NV-PrT,CollaborationCase,Regression (time),random_forest,1350,True,mae,15.287375375846128,1.786805103633312,17.454732526538386,5,,,1335,False
Healthcare,NV-PaT,OrchestrationCase,Regression (time),random_forest,1350,True,mae,9.29390205884668,0.719361537732701,12.850423210038182,5,Gynecologist,,1048,False
Healthcare,NV-TNE,CollaborationCase,Regression (time),random_forest,1350,True,mae,1.948387971020608,0.0787753015754142,1.8751462779091053,5,,,1234,False
Healthcare,NV-TNM,Message,Regression (time),random_forest,1250,True,mae,3.1722891217282827,0.1219656834437603,4.273275441893716,5,,,1205,False
Healthcare,NV-NMPr,Message,Count regression,random_forest,1350,True,mae,2.2314546837186056,0.1759726456665135,2.820207996641269,5,,,13,False
Healthcare,NV-NMPa,Message,Count regression,random_forest,1350,True,mae,0.7988543164991674,0.0569407574864674,1.49956053049556,5,Gynecologist,,7,False
Healthcare,OB-P,Participant,Binary classification,random_forest,1350,True,f1_macro,0.9229638391382984,0.0141664724654233,0.4420718892173513,5,Gynecologist,,2,False
Healthcare,OB-M,Message,Binary classification,random_forest,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease,1,True
Artificial1,NE-NEPr,CollaborationCase,Multiclass classification,random_forest,700,True,f1_macro,0.5361528611297505,0.0448218247669611,0.03125,5,,,8,False
Artificial1,NE-NPaA,Participant,Multiclass classification,random_forest,700,True,f1_macro,0.7320859200971422,0.0365611438039539,0.3395697349000968,5,,,2,False
Artificial1,NE-NEPa,Participant,Multiclass classification,random_forest,700,True,f1_macro,0.5361528611297505,0.0448218247669611,0.03125,5,,,8,False
