log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,gnn,,,ocel_load,1.4852,613.4,718.81,718.81
Healthcare,gnn,,,feature_extraction,0.6913,718.87,762.99,763.63
Healthcare,gnn,NE-NPaA,,labeling,0.002,763.15,763.74,763.74
Healthcare,gnn,NE-NPaA,0.0,fit,19.8469,877.92,1028.05,1029.08
Healthcare,gnn,NE-NPaA,0.0,predict,0.1893,1028.05,1032.3,1032.3
Healthcare,gnn,NE-NPaA,1.0,fit,18.743,1033.11,1031.72,1034.04
Healthcare,gnn,NE-NPaA,1.0,predict,0.175,1031.72,1034.58,1034.58
Healthcare,gnn,NE-NPaA,2.0,fit,17.6633,1032.67,1032.56,1034.47
Healthcare,gnn,NE-NPaA,2.0,predict,0.224,1032.56,1035.07,1035.07
Healthcare,gnn,NE-NPaA,3.0,fit,18.3064,1035.21,1033.81,1035.29
Healthcare,gnn,NE-NPaA,3.0,predict,0.1778,1033.81,1034.89,1034.89
Healthcare,gnn,NE-NPaA,4.0,fit,18.1851,1035.01,1033.58,1035.03
Healthcare,gnn,NE-NPaA,4.0,predict,0.1861,1033.58,1034.47,1034.47
Healthcare,gnn,NE-NMPr,,labeling,0.0034,1034.45,1034.51,1034.51
Healthcare,gnn,NE-NMPr,0.0,fit,18.5349,1034.93,1034.66,1035.55
Healthcare,gnn,NE-NMPr,0.0,predict,0.211,1034.66,1036.19,1036.19
Healthcare,gnn,NE-NMPr,1.0,fit,18.8099,1036.19,1036.02,1036.27
Healthcare,gnn,NE-NMPr,1.0,predict,0.1722,1036.02,1038.35,1038.35
Healthcare,gnn,NE-NMPr,2.0,fit,17.6178,1038.38,1035.06,1038.42
Healthcare,gnn,NE-NMPr,2.0,predict,0.185,1035.06,1038.1,1038.1
Healthcare,gnn,NE-NMPr,3.0,fit,18.1703,1038.42,1034.65,1038.42
Healthcare,gnn,NE-NMPr,3.0,predict,0.1766,1034.65,1037.38,1037.38
Healthcare,gnn,NE-NMPr,4.0,fit,18.3962,1037.69,1036.92,1038.01
Healthcare,gnn,NE-NMPr,4.0,predict,0.2071,1036.92,1037.15,1037.54
Healthcare,gnn,NV-PrT,,labeling,0.0031,1037.13,1037.2,1037.2
Healthcare,gnn,NV-PrT,0.0,fit,18.4936,1037.19,1036.5,1037.21
Healthcare,gnn,NV-PrT,0.0,predict,0.1687,1036.5,1039.95,1039.95
Healthcare,gnn,NV-PrT,1.0,fit,18.7482,1039.97,1036.89,1039.99
Healthcare,gnn,NV-PrT,1.0,predict,0.2821,1036.89,1037.55,1037.55
Healthcare,gnn,NV-PrT,2.0,fit,17.5733,1037.89,1035.38,1038.03
Healthcare,gnn,NV-PrT,2.0,predict,0.2127,1035.38,1037.81,1037.81
Healthcare,gnn,NV-PrT,3.0,fit,18.0891,1038.36,1034.7,1038.75
Healthcare,gnn,NV-PrT,3.0,predict,0.1747,1034.7,1037.14,1037.14
Healthcare,gnn,NV-PrT,4.0,fit,18.2989,1037.62,1035.65,1037.77
Healthcare,gnn,NV-PrT,4.0,predict,0.1902,1035.65,1036.59,1036.59
Healthcare,gnn,NV-PaT,,labeling,0.0051,1036.57,1036.59,1036.59
Healthcare,gnn,NV-PaT,0.0,fit,18.5662,1037.02,1001.41,1037.4
Healthcare,gnn,NV-PaT,0.0,predict,0.2157,1001.41,1003.82,1003.82
Healthcare,gnn,NV-PaT,1.0,fit,18.5618,1004.58,1002.14,1004.65
Healthcare,gnn,NV-PaT,1.0,predict,0.1901,1002.14,1003.57,1003.57
Healthcare,gnn,NV-PaT,2.0,fit,17.6402,1003.6,1002.79,1004.0
Healthcare,gnn,NV-PaT,2.0,predict,0.2157,1002.79,1004.99,1004.99
Healthcare,gnn,NV-PaT,3.0,fit,18.0741,1005.01,1002.52,1005.34
Healthcare,gnn,NV-PaT,3.0,predict,0.1707,1002.52,1003.38,1003.38
Healthcare,gnn,NV-PaT,4.0,fit,18.0056,1004.01,1003.55,1004.92
Healthcare,gnn,NV-PaT,4.0,predict,0.1921,1003.55,1004.78,1004.78
Healthcare,gnn,NV-NMPr,,labeling,0.005,1004.76,1004.87,1004.87
Healthcare,gnn,NV-NMPr,0.0,fit,18.5104,1005.15,1004.34,1005.48
Healthcare,gnn,NV-NMPr,0.0,predict,0.1903,1004.34,1006.9,1006.9
Healthcare,gnn,NV-NMPr,1.0,fit,18.6156,1007.25,1003.72,1008.11
Healthcare,gnn,NV-NMPr,1.0,predict,0.1404,1003.72,1005.08,1005.08
Healthcare,gnn,NV-NMPr,2.0,fit,17.5876,1005.23,1003.66,1005.25
Healthcare,gnn,NV-NMPr,2.0,predict,0.1988,1003.66,1005.65,1005.65
Healthcare,gnn,NV-NMPr,3.0,fit,18.218,1006.2,1004.04,1006.52
Healthcare,gnn,NV-NMPr,3.0,predict,0.2096,1004.04,1004.68,1004.9
Healthcare,gnn,NV-NMPr,4.0,fit,18.0715,1004.93,1002.39,1005.58
Healthcare,gnn,NV-NMPr,4.0,predict,0.2109,1002.39,1004.52,1004.52
Healthcare,gnn,OB-M,,labeling,0.0052,1004.49,1004.52,1004.52
Healthcare,gnn,OB-M,0.0,fit,18.4323,1005.06,1002.93,1005.38
Healthcare,gnn,OB-M,0.0,predict,0.1843,1002.93,1005.88,1005.88
Healthcare,gnn,OB-M,1.0,fit,18.6594,1005.93,1003.99,1005.96
Healthcare,gnn,OB-M,1.0,predict,0.2071,1003.99,1005.69,1005.69
Healthcare,gnn,OB-M,2.0,fit,17.5405,1005.69,1004.09,1005.73
Healthcare,gnn,OB-M,2.0,predict,0.1986,1004.09,1006.92,1006.92
Healthcare,gnn,OB-M,3.0,fit,18.1064,1007.13,1002.99,1007.15
Healthcare,gnn,OB-M,3.0,predict,0.3311,1002.99,1004.38,1004.38
Healthcare,gnn,OB-M,4.0,fit,18.0964,1004.87,1002.75,1005.44
Healthcare,gnn,OB-M,4.0,predict,0.191,1002.75,1004.88,1004.88
Artificial1,gnn,,,ocel_load,0.3427,993.52,995.47,995.47
Artificial1,gnn,,,feature_extraction,0.0821,995.47,996.68,996.83
Artificial1,gnn,NE-NPaA,,labeling,0.0013,996.66,996.69,996.69
Artificial1,gnn,NE-NPaA,0.0,fit,9.486,996.7,987.34,996.75
Artificial1,gnn,NE-NPaA,0.0,predict,0.0993,987.34,988.1,988.1
Artificial1,gnn,NE-NPaA,1.0,fit,9.4444,988.08,986.73,988.08
Artificial1,gnn,NE-NPaA,1.0,predict,0.0992,986.73,987.56,987.56
Artificial1,gnn,NE-NPaA,2.0,fit,9.5487,987.54,987.22,987.95
Artificial1,gnn,NE-NPaA,2.0,predict,0.0983,987.22,988.19,988.19
Artificial1,gnn,NE-NPaA,3.0,fit,9.4844,988.17,987.45,988.19
Artificial1,gnn,NE-NPaA,3.0,predict,0.1039,987.45,988.26,988.26
Artificial1,gnn,NE-NPaA,4.0,fit,9.457,988.24,987.2,988.26
Artificial1,gnn,NE-NPaA,4.0,predict,0.0939,987.2,987.86,987.86
Artificial1,gnn,NE-NMPr,,labeling,0.0029,987.84,987.86,987.86
Artificial1,gnn,NE-NMPr,0.0,fit,7.367,987.84,986.58,987.91
Artificial1,gnn,NE-NMPr,0.0,predict,0.081,986.58,987.13,987.13
Artificial1,gnn,NE-NMPr,1.0,fit,7.3475,987.11,986.95,987.18
Artificial1,gnn,NE-NMPr,1.0,predict,0.084,986.95,987.44,987.44
Artificial1,gnn,NE-NMPr,2.0,fit,7.363,987.41,985.94,987.44
Artificial1,gnn,NE-NMPr,2.0,predict,0.2089,985.94,986.42,986.42
Artificial1,gnn,NE-NMPr,3.0,fit,7.3346,986.4,986.19,986.98
Artificial1,gnn,NE-NMPr,3.0,predict,0.0929,986.19,986.75,986.75
Artificial1,gnn,NE-NMPr,4.0,fit,7.3745,986.73,986.23,986.89
Artificial1,gnn,NE-NMPr,4.0,predict,0.0763,986.23,986.42,986.42
Artificial1,gnn,NV-PrT,,labeling,0.0022,986.4,986.47,986.47
Artificial1,gnn,NV-PrT,0.0,fit,9.3879,986.46,986.8,987.41
Artificial1,gnn,NV-PrT,0.0,predict,0.1011,986.8,987.2,987.2
Artificial1,gnn,NV-PrT,1.0,fit,9.4467,987.18,986.95,987.93
Artificial1,gnn,NV-PrT,1.0,predict,0.1005,986.95,987.39,987.39
Artificial1,gnn,NV-PrT,2.0,fit,9.3964,987.37,986.08,987.39
Artificial1,gnn,NV-PrT,2.0,predict,0.0958,986.08,986.49,986.49
Artificial1,gnn,NV-PrT,3.0,fit,9.5502,986.46,986.65,986.72
Artificial1,gnn,NV-PrT,3.0,predict,0.1141,986.65,987.2,987.2
Artificial1,gnn,NV-PrT,4.0,fit,9.3916,987.18,985.64,987.2
Artificial1,gnn,NV-PrT,4.0,predict,0.0934,985.64,986.4,986.4
Artificial1,gnn,NV-PaT,,labeling,0.003,986.38,986.41,986.41
Artificial1,gnn,NV-PaT,0.0,fit,9.4451,986.41,986.46,986.53
Artificial1,gnn,NV-PaT,0.0,predict,0.1041,986.46,986.96,986.96
Artificial1,gnn,NV-PaT,1.0,fit,9.4303,986.94,985.71,987.12
Artificial1,gnn,NV-PaT,1.0,predict,0.1003,985.71,986.54,986.54
Artificial1,gnn,NV-PaT,2.0,fit,9.4047,986.52,986.28,986.66
Artificial1,gnn,NV-PaT,2.0,predict,0.1139,986.28,986.85,986.85
Artificial1,gnn,NV-PaT,3.0,fit,9.4133,986.83,986.29,986.86
Artificial1,gnn,NV-PaT,3.0,predict,0.0869,986.29,986.74,986.74
Artificial1,gnn,NV-PaT,4.0,fit,9.5111,986.72,986.23,986.74
Artificial1,gnn,NV-PaT,4.0,predict,0.1039,986.23,986.96,986.96
Artificial1,gnn,NV-NMPr,,labeling,0.0028,986.94,986.96,986.96
Artificial1,gnn,NV-NMPr,0.0,fit,9.3937,986.94,986.24,986.98
Artificial1,gnn,NV-NMPr,0.0,predict,0.1024,986.24,986.92,986.92
Artificial1,gnn,NV-NMPr,1.0,fit,9.4282,986.9,985.82,987.15
Artificial1,gnn,NV-NMPr,1.0,predict,0.1023,985.82,986.62,986.62
Artificial1,gnn,NV-NMPr,2.0,fit,9.4064,986.6,986.23,986.84
Artificial1,gnn,NV-NMPr,2.0,predict,0.0944,986.23,986.43,986.43
Artificial1,gnn,NV-NMPr,3.0,fit,9.3715,986.41,985.79,986.78
Artificial1,gnn,NV-NMPr,3.0,predict,0.0975,985.79,986.47,986.47
Artificial1,gnn,NV-NMPr,4.0,fit,9.5431,986.45,986.15,986.68
Artificial1,gnn,NV-NMPr,4.0,predict,0.1041,986.15,986.57,986.57
Artificial1,gnn,OB-M,,labeling,0.0026,986.55,986.57,986.57
Artificial1,gnn,OB-M,0.0,fit,9.4776,986.55,986.39,986.74
Artificial1,gnn,OB-M,0.0,predict,0.101,986.39,986.98,986.98
Artificial1,gnn,OB-M,1.0,fit,9.4964,986.96,986.05,987.1
Artificial1,gnn,OB-M,1.0,predict,0.095,986.05,986.9,986.9
Artificial1,gnn,OB-M,2.0,fit,9.5056,986.88,986.23,986.9
Artificial1,gnn,OB-M,2.0,predict,0.0933,986.23,986.85,986.85
Artificial1,gnn,OB-M,3.0,fit,9.4696,986.82,986.1,987.0
Artificial1,gnn,OB-M,3.0,predict,0.0886,986.1,986.84,986.84
Artificial1,gnn,OB-M,4.0,fit,9.6199,986.82,986.71,986.84
Artificial1,gnn,OB-M,4.0,predict,0.0984,986.71,986.84,986.84
Artificial5,gnn,,,ocel_load,1.4711,986.82,1020.16,1034.36
Artificial5,gnn,,,feature_extraction,0.5914,1020.14,1048.26,1048.26
Artificial5,gnn,NE-NPaA,,labeling,0.0031,1048.51,1049.29,1049.29
Artificial5,gnn,NE-NPaA,0.0,fit,30.4697,1052.76,1052.02,1055.21
Artificial5,gnn,NE-NPaA,0.0,predict,0.2868,1052.02,1062.0,1062.0
Artificial5,gnn,NE-NPaA,1.0,fit,31.0663,1062.69,1056.11,1063.0
Artificial5,gnn,NE-NPaA,1.0,predict,0.3137,1056.11,1062.24,1062.24
Artificial5,gnn,NE-NPaA,2.0,fit,30.4483,1062.89,1056.15,1062.98
Artificial5,gnn,NE-NPaA,2.0,predict,0.2941,1056.15,1061.24,1061.24
Artificial5,gnn,NE-NPaA,3.0,fit,30.6664,1063.48,1056.17,1063.73
Artificial5,gnn,NE-NPaA,3.0,predict,0.3129,1056.17,1062.67,1062.67
Artificial5,gnn,NE-NPaA,4.0,fit,31.0347,1063.06,1056.55,1063.12
Artificial5,gnn,NE-NPaA,4.0,predict,0.451,1056.55,1062.54,1062.54
Artificial5,gnn,NE-NMPr,,labeling,0.0048,1057.08,1057.64,1057.64
Artificial5,gnn,NE-NMPr,0.0,fit,27.9146,1058.51,1056.57,1059.86
Artificial5,gnn,NE-NMPr,0.0,predict,0.2884,1056.57,1062.86,1062.86
Artificial5,gnn,NE-NMPr,1.0,fit,27.886,1059.59,1056.66,1059.81
Artificial5,gnn,NE-NMPr,1.0,predict,0.4501,1056.66,1060.47,1060.47
Artificial5,gnn,NE-NMPr,2.0,fit,27.8307,1059.13,1056.9,1059.91
Artificial5,gnn,NE-NMPr,2.0,predict,0.2828,1056.9,1062.9,1062.9
Artificial5,gnn,NE-NMPr,3.0,fit,27.8443,1063.92,1055.47,1064.4
Artificial5,gnn,NE-NMPr,3.0,predict,0.4127,1055.47,1060.14,1060.14
Artificial5,gnn,NE-NMPr,4.0,fit,27.9064,1058.71,1056.76,1059.98
