log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,lstm_torch,,,ocel_load,1.5792,613.59,710.1,718.29
Healthcare,lstm_torch,,,feature_extraction,0.6926,710.16,763.66,763.66
Healthcare,lstm_torch,NE-NPaA,,labeling,0.002,763.81,764.45,764.45
Healthcare,lstm_torch,NE-NPaA,0.0,fit,1.7702,796.57,898.4,898.4
Healthcare,lstm_torch,NE-NPaA,0.0,predict,0.001,898.4,898.58,898.58
Healthcare,lstm_torch,NE-NPaA,1.0,fit,1.3248,899.73,899.92,899.92
Healthcare,lstm_torch,NE-NPaA,1.0,predict,0.0016,899.92,899.95,899.95
Healthcare,lstm_torch,NE-NPaA,2.0,fit,1.3805,900.14,900.25,900.25
Healthcare,lstm_torch,NE-NPaA,2.0,predict,0.0017,900.25,900.25,900.25
Healthcare,lstm_torch,NE-NPaA,3.0,fit,1.3558,900.28,900.33,900.33
Healthcare,lstm_torch,NE-NPaA,3.0,predict,0.0017,900.33,900.43,900.43
Healthcare,lstm_torch,NE-NPaA,4.0,fit,1.2542,900.46,900.49,900.49
Healthcare,lstm_torch,NE-NPaA,4.0,predict,0.0016,900.49,900.49,900.49
Healthcare,lstm_torch,NE-NMPr,,labeling,0.0039,900.52,900.59,900.59
Healthcare,lstm_torch,NE-NMPr,0.0,fit,1.2535,900.62,900.8,900.8
Healthcare,lstm_torch,NE-NMPr,0.0,predict,0.0014,900.8,900.85,900.85
Healthcare,lstm_torch,NE-NMPr,1.0,fit,1.161,900.89,900.94,900.94
Healthcare,lstm_torch,NE-NMPr,1.0,predict,0.0016,900.94,900.94,900.94
Healthcare,lstm_torch,NE-NMPr,2.0,fit,1.3258,900.94,900.96,900.96
Healthcare,lstm_torch,NE-NMPr,2.0,predict,0.0017,900.96,900.96,900.96
Healthcare,lstm_torch,NE-NMPr,3.0,fit,1.2227,900.97,901.07,901.07
Healthcare,lstm_torch,NE-NMPr,3.0,predict,0.0017,901.07,901.07,901.07
Healthcare,lstm_torch,NE-NMPr,4.0,fit,1.1525,901.08,901.19,901.19
Healthcare,lstm_torch,NE-NMPr,4.0,predict,0.0016,901.19,901.19,901.19
Healthcare,lstm_torch,NV-PrT,,labeling,0.0031,901.17,901.3,901.3
Healthcare,lstm_torch,NV-PrT,0.0,fit,1.2587,901.32,901.6,901.6
Healthcare,lstm_torch,NV-PrT,0.0,predict,0.0016,901.6,901.6,901.6
Healthcare,lstm_torch,NV-PrT,1.0,fit,1.121,901.64,901.69,901.69
Healthcare,lstm_torch,NV-PrT,1.0,predict,0.0016,901.69,901.69,901.69
Healthcare,lstm_torch,NV-PrT,2.0,fit,1.3227,901.68,901.7,901.7
Healthcare,lstm_torch,NV-PrT,2.0,predict,0.0016,901.7,901.7,901.7
Healthcare,lstm_torch,NV-PrT,3.0,fit,1.2654,901.71,901.73,901.73
Healthcare,lstm_torch,NV-PrT,3.0,predict,0.0016,901.73,901.73,901.73
Healthcare,lstm_torch,NV-PrT,4.0,fit,1.3032,901.77,901.79,901.79
Healthcare,lstm_torch,NV-PrT,4.0,predict,0.0016,901.79,901.79,901.79
Healthcare,lstm_torch,NV-PaT,,labeling,0.006,901.77,901.82,901.82
Healthcare,lstm_torch,NV-PaT,0.0,fit,1.3561,901.8,901.82,901.82
Healthcare,lstm_torch,NV-PaT,0.0,predict,0.0016,901.82,901.82,901.82
Healthcare,lstm_torch,NV-PaT,1.0,fit,1.3344,901.8,901.82,901.82
Healthcare,lstm_torch,NV-PaT,1.0,predict,0.0016,901.82,901.82,901.82
Healthcare,lstm_torch,NV-PaT,2.0,fit,1.32,901.81,901.83,901.83
Healthcare,lstm_torch,NV-PaT,2.0,predict,0.0016,901.83,901.83,901.83
Healthcare,lstm_torch,NV-PaT,3.0,fit,1.3311,901.81,901.83,901.84
Healthcare,lstm_torch,NV-PaT,3.0,predict,0.0016,901.83,901.83,901.83
Healthcare,lstm_torch,NV-PaT,4.0,fit,1.32,901.82,901.84,901.84
Healthcare,lstm_torch,NV-PaT,4.0,predict,0.0016,901.84,901.84,901.84
Healthcare,lstm_torch,NV-NMPr,,labeling,0.0059,901.82,901.85,901.85
Healthcare,lstm_torch,NV-NMPr,0.0,fit,1.241,901.98,902.0,902.0
Healthcare,lstm_torch,NV-NMPr,0.0,predict,0.0016,902.0,902.05,902.05
Healthcare,lstm_torch,NV-NMPr,1.0,fit,1.2783,902.03,902.05,902.05
Healthcare,lstm_torch,NV-NMPr,1.0,predict,0.0009,902.05,902.05,902.05
Healthcare,lstm_torch,NV-NMPr,2.0,fit,1.2523,902.04,902.06,902.06
Healthcare,lstm_torch,NV-NMPr,2.0,predict,0.0016,902.06,902.06,902.06
Healthcare,lstm_torch,NV-NMPr,3.0,fit,1.3443,902.04,902.06,902.06
Healthcare,lstm_torch,NV-NMPr,3.0,predict,0.0009,902.06,902.06,902.06
Healthcare,lstm_torch,NV-NMPr,4.0,fit,1.2443,902.04,902.06,902.06
Healthcare,lstm_torch,NV-NMPr,4.0,predict,0.0016,902.06,902.06,902.06
Healthcare,lstm_torch,OB-M,,labeling,0.0063,902.04,902.07,902.07
Artificial1,lstm_torch,,,ocel_load,0.3131,895.66,896.59,896.59
Artificial1,lstm_torch,,,feature_extraction,0.0742,896.59,896.99,897.13
Artificial1,lstm_torch,NE-NPaA,,labeling,0.0013,897.12,897.14,897.14
Artificial1,lstm_torch,NE-NPaA,0.0,fit,0.5802,897.16,891.7,898.21
Artificial1,lstm_torch,NE-NPaA,0.0,predict,0.0015,891.7,892.08,892.08
Artificial1,lstm_torch,NE-NPaA,1.0,fit,0.5022,892.08,892.13,892.13
Artificial1,lstm_torch,NE-NPaA,1.0,predict,0.0007,892.13,892.13,892.13
Artificial1,lstm_torch,NE-NPaA,2.0,fit,0.5676,892.11,892.18,892.18
Artificial1,lstm_torch,NE-NPaA,2.0,predict,0.0007,892.18,892.18,892.18
Artificial1,lstm_torch,NE-NPaA,3.0,fit,0.5598,892.16,892.19,892.19
Artificial1,lstm_torch,NE-NPaA,3.0,predict,0.0007,892.19,892.2,892.2
Artificial1,lstm_torch,NE-NPaA,4.0,fit,0.5301,892.18,892.21,892.21
Artificial1,lstm_torch,NE-NPaA,4.0,predict,0.0007,892.21,892.22,892.22
Artificial1,lstm_torch,NE-NMPr,,labeling,0.0025,892.19,892.22,892.22
Artificial1,lstm_torch,NE-NMPr,0.0,fit,0.7023,892.33,891.4,892.51
Artificial1,lstm_torch,NE-NMPr,0.0,predict,0.001,891.4,891.5,891.5
Artificial1,lstm_torch,NE-NMPr,1.0,fit,0.7377,891.53,891.51,891.61
Artificial1,lstm_torch,NE-NMPr,1.0,predict,0.001,891.51,891.61,891.61
