log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,xgboost,,,ocel_load,1.5601,613.34,710.3,717.92
Healthcare,xgboost,,,feature_extraction,0.7136,710.36,761.05,761.05
Healthcare,xgboost,NE-NPaA,,labeling,0.0037,761.21,761.9,761.9
Healthcare,xgboost,NE-NPaA,0.0,fit,0.3291,766.23,868.68,868.68
Healthcare,xgboost,NE-NPaA,0.0,predict,0.0047,868.68,869.02,869.02
Healthcare,xgboost,NE-NPaA,1.0,fit,0.2073,869.26,871.43,871.43
Healthcare,xgboost,NE-NPaA,1.0,predict,0.0044,871.43,871.5,871.5
Healthcare,xgboost,NE-NPaA,2.0,fit,0.1878,871.51,872.6,872.6
Healthcare,xgboost,NE-NPaA,2.0,predict,0.0046,872.6,872.64,872.64
Healthcare,xgboost,NE-NPaA,3.0,fit,0.2078,872.64,873.24,873.24
Healthcare,xgboost,NE-NPaA,3.0,predict,0.0056,873.24,873.28,873.28
Healthcare,xgboost,NE-NPaA,4.0,fit,0.2198,873.35,873.64,873.64
Healthcare,xgboost,NE-NPaA,4.0,predict,0.0046,873.64,873.65,873.65
Healthcare,xgboost,NE-NMPr,,labeling,0.0032,873.68,873.75,873.75
Healthcare,xgboost,NE-NMPr,0.0,fit,0.5618,873.74,880.73,885.51
Healthcare,xgboost,NE-NMPr,0.0,predict,0.0067,880.73,880.98,880.98
Healthcare,xgboost,NE-NMPr,1.0,fit,0.6353,877.5,881.68,890.0
Healthcare,xgboost,NE-NMPr,1.0,predict,0.0061,881.68,881.77,881.77
Healthcare,xgboost,NE-NMPr,2.0,fit,0.5488,878.4,881.05,886.48
Healthcare,xgboost,NE-NMPr,2.0,predict,0.0066,881.05,881.11,881.11
Healthcare,xgboost,NE-NMPr,3.0,fit,0.5596,877.94,882.56,892.75
Healthcare,xgboost,NE-NMPr,3.0,predict,0.0062,882.56,882.68,882.68
Healthcare,xgboost,NE-NMPr,4.0,fit,0.5643,880.05,881.44,886.54
Healthcare,xgboost,NE-NMPr,4.0,predict,0.0065,881.44,881.57,881.57
Healthcare,xgboost,NV-PrT,,labeling,0.0031,878.55,878.65,878.65
Healthcare,xgboost,NV-PrT,0.0,fit,0.0772,878.57,876.72,879.79
Healthcare,xgboost,NV-PrT,0.0,predict,0.0032,876.72,876.77,876.77
Healthcare,xgboost,NV-PrT,1.0,fit,0.0793,876.78,878.3,878.3
Healthcare,xgboost,NV-PrT,1.0,predict,0.0033,878.3,878.33,878.33
Healthcare,xgboost,NV-PrT,2.0,fit,0.069,878.35,878.8,878.8
Healthcare,xgboost,NV-PrT,2.0,predict,0.0032,878.8,878.83,878.83
