log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,gnn,,,ocel_load,0.968,304.63,368.13,368.13
Healthcare,gnn,,,feature_extraction,0.5446,368.13,368.41,382.76
Healthcare,gnn,NE-NPaA,,labeling,0.0012,368.67,369.41,369.41
Healthcare,gnn,NE-NPaA,0.0,fit,4.1389,385.12,205.41,468.78
Healthcare,gnn,NE-NPaA,0.0,predict,0.0816,205.57,225.21,225.21
Healthcare,gnn,NE-NPaA,1.0,fit,3.5693,242.6,384.25,384.3
Healthcare,gnn,NE-NPaA,1.0,predict,0.0626,384.22,385.29,385.29
Healthcare,gnn,NE-NPaA,2.0,fit,3.402,385.29,344.69,386.27
Healthcare,gnn,NE-NPaA,2.0,predict,0.0844,344.7,349.37,349.37
Healthcare,gnn,NE-NPaA,3.0,fit,3.8552,350.44,98.14,350.44
Healthcare,gnn,NE-NPaA,3.0,predict,0.0751,98.58,118.93,118.93
Healthcare,gnn,NE-NPaA,4.0,fit,3.7449,136.66,118.93,348.83
Healthcare,gnn,NE-NPaA,4.0,predict,0.0734,119.26,137.9,137.9
Healthcare,gnn,NE-NMPr,,labeling,0.0022,147.11,149.83,149.83
Healthcare,gnn,NE-NMPr,0.0,fit,3.9117,156.35,92.55,160.37
Healthcare,gnn,NE-NMPr,0.0,predict,0.0817,92.98,115.33,115.33
Healthcare,gnn,NE-NMPr,1.0,fit,3.7967,132.91,130.47,139.49
Healthcare,gnn,NE-NMPr,1.0,predict,0.0618,130.43,133.64,133.64
Healthcare,gnn,NE-NMPr,2.0,fit,3.7313,135.04,343.54,343.54
Healthcare,gnn,NE-NMPr,2.0,predict,0.0778,343.51,347.28,347.28
Healthcare,gnn,NE-NMPr,3.0,fit,3.4159,347.6,139.0,348.59
Healthcare,gnn,NE-NMPr,3.0,predict,0.0705,138.97,140.49,140.49
Healthcare,gnn,NE-NMPr,4.0,fit,3.9255,141.13,94.14,142.57
Healthcare,gnn,NE-NMPr,4.0,predict,0.0725,94.58,115.08,115.08
Healthcare,gnn,NV-PrT,,labeling,0.0029,124.63,127.4,127.4
Healthcare,gnn,NV-PrT,0.0,fit,3.4338,133.69,347.36,347.47
Healthcare,gnn,NV-PrT,0.0,predict,0.0734,347.32,349.34,349.34
Healthcare,gnn,NV-PrT,1.0,fit,3.4151,349.47,348.59,349.91
Healthcare,gnn,NV-PrT,1.0,predict,0.0672,348.55,349.42,349.42
Healthcare,gnn,NV-PrT,2.0,fit,3.3365,349.44,180.67,349.45
Healthcare,gnn,NV-PrT,2.0,predict,0.0798,181.01,197.3,197.3
Healthcare,gnn,NV-PrT,3.0,fit,3.3858,201.36,140.17,202.38
Healthcare,gnn,NV-PrT,3.0,predict,0.0675,140.13,140.92,140.92
Healthcare,gnn,NV-PrT,4.0,fit,3.6913,140.89,97.3,141.0
Healthcare,gnn,NV-PrT,4.0,predict,0.0729,97.65,117.95,117.95
Healthcare,gnn,NV-PaT,,labeling,0.0032,127.61,130.3,130.3
Healthcare,gnn,NV-PaT,0.0,fit,3.4448,136.28,342.93,345.36
Healthcare,gnn,NV-PaT,0.0,predict,0.0731,342.92,345.13,345.13
Healthcare,gnn,NV-PaT,1.0,fit,3.365,345.62,347.29,347.29
Healthcare,gnn,NV-PaT,1.0,predict,0.0622,347.26,347.57,347.57
Healthcare,gnn,NV-PaT,2.0,fit,3.2289,348.01,348.8,348.8
Healthcare,gnn,NV-PaT,2.0,predict,0.0766,348.77,350.57,350.57
Healthcare,gnn,NV-PaT,3.0,fit,3.3525,350.54,352.34,352.34
Healthcare,gnn,NV-PaT,3.0,predict,0.0681,352.31,353.34,353.34
Healthcare,gnn,NV-PaT,4.0,fit,3.3654,353.32,353.42,353.8
Healthcare,gnn,NV-PaT,4.0,predict,0.0704,353.39,353.65,353.65
Healthcare,gnn,NV-NMPr,,labeling,0.0025,353.62,353.65,353.65
Healthcare,gnn,NV-NMPr,0.0,fit,3.2944,353.62,351.94,353.65
Healthcare,gnn,NV-NMPr,0.0,predict,0.0734,351.91,352.63,352.63
Healthcare,gnn,NV-NMPr,1.0,fit,3.4754,352.71,352.6,352.71
Healthcare,gnn,NV-NMPr,1.0,predict,0.0602,352.57,352.6,352.6
Healthcare,gnn,NV-NMPr,2.0,fit,3.1894,353.09,353.75,353.75
Healthcare,gnn,NV-NMPr,2.0,predict,0.0765,353.71,353.8,353.8
Healthcare,gnn,NV-NMPr,3.0,fit,3.384,353.76,353.83,353.83
Healthcare,gnn,NV-NMPr,3.0,predict,0.0692,353.8,353.83,353.83
