log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,random_forest,,,ocel_load,1.5282,613.59,710.32,718.62
Healthcare,random_forest,,,feature_extraction,0.7264,710.41,764.87,764.87
Healthcare,random_forest,NE-NPaA,,labeling,0.002,765.03,765.71,765.71
Healthcare,random_forest,NE-NPaA,0.0,fit,0.1742,765.96,772.26,772.37
Healthcare,random_forest,NE-NPaA,0.0,predict,0.03,772.26,772.4,772.4
Healthcare,random_forest,NE-NPaA,1.0,fit,0.1637,769.71,763.96,769.71
Healthcare,random_forest,NE-NPaA,1.0,predict,0.0325,763.96,764.0,764.0
Healthcare,random_forest,NE-NPaA,2.0,fit,0.1648,763.57,765.39,765.39
Healthcare,random_forest,NE-NPaA,2.0,predict,0.0174,765.39,765.17,765.39
Healthcare,random_forest,NE-NPaA,3.0,fit,0.1741,764.72,765.57,765.68
Healthcare,random_forest,NE-NPaA,3.0,predict,0.0298,765.57,765.56,765.57
Healthcare,random_forest,NE-NPaA,4.0,fit,0.1475,765.01,765.79,765.79
Healthcare,random_forest,NE-NPaA,4.0,predict,0.0291,765.79,765.77,765.79
Healthcare,random_forest,NE-NMPr,,labeling,0.0024,765.25,765.53,765.53
Healthcare,random_forest,NE-NMPr,0.0,fit,0.1485,765.51,775.74,775.74
Healthcare,random_forest,NE-NMPr,0.0,predict,0.0288,775.74,775.74,775.74
Healthcare,random_forest,NE-NMPr,1.0,fit,0.1637,770.64,776.16,776.16
Healthcare,random_forest,NE-NMPr,1.0,predict,0.0307,776.16,774.5,776.16
Healthcare,random_forest,NE-NMPr,2.0,fit,0.1544,772.94,774.68,774.68
Healthcare,random_forest,NE-NMPr,2.0,predict,0.0381,774.68,774.29,774.68
Healthcare,random_forest,NE-NMPr,3.0,fit,0.1623,771.4,774.86,774.95
Healthcare,random_forest,NE-NMPr,3.0,predict,0.0326,774.86,774.99,774.99
Healthcare,random_forest,NE-NMPr,4.0,fit,0.1599,771.52,775.19,775.19
Healthcare,random_forest,NE-NMPr,4.0,predict,0.0378,775.19,775.27,775.27
Healthcare,random_forest,NV-PrT,,labeling,0.0024,771.49,771.65,771.65
Healthcare,random_forest,NV-PrT,0.0,fit,0.1504,771.66,785.26,785.26
Healthcare,random_forest,NV-PrT,0.0,predict,0.02,785.26,786.25,786.25
Healthcare,random_forest,NV-PrT,1.0,fit,0.1427,770.95,786.41,786.41
Healthcare,random_forest,NV-PrT,1.0,predict,0.0305,786.41,787.05,787.05
Healthcare,random_forest,NV-PrT,2.0,fit,0.1355,771.44,781.3,781.3
Healthcare,random_forest,NV-PrT,2.0,predict,0.0296,781.3,783.2,783.2
Healthcare,random_forest,NV-PrT,3.0,fit,0.1402,773.02,782.97,782.97
Healthcare,random_forest,NV-PrT,3.0,predict,0.0244,782.97,783.44,783.44
Healthcare,random_forest,NV-PrT,4.0,fit,0.1431,772.21,783.48,783.48
Healthcare,random_forest,NV-PrT,4.0,predict,0.0296,783.48,784.23,784.23
Healthcare,random_forest,NV-PaT,,labeling,0.004,776.43,772.37,776.43
Healthcare,random_forest,NV-PaT,0.0,fit,0.1468,772.28,779.97,779.97
Healthcare,random_forest,NV-PaT,0.0,predict,0.0294,779.94,780.46,780.46
Healthcare,random_forest,NV-PaT,1.0,fit,0.1344,772.56,780.83,780.83
Healthcare,random_forest,NV-PaT,1.0,predict,0.0294,780.79,781.32,781.32
Healthcare,random_forest,NV-PaT,2.0,fit,0.1382,771.2,783.02,783.02
Healthcare,random_forest,NV-PaT,2.0,predict,0.0262,783.02,782.95,783.02
Healthcare,random_forest,NV-PaT,3.0,fit,0.1346,771.45,778.4,778.4
Healthcare,random_forest,NV-PaT,3.0,predict,0.0243,778.36,779.75,779.75
Healthcare,random_forest,NV-PaT,4.0,fit,0.1416,773.24,778.93,778.96
Healthcare,random_forest,NV-PaT,4.0,predict,0.0208,778.93,779.14,779.14
Healthcare,random_forest,NV-NMPr,,labeling,0.004,773.24,772.95,773.24
Healthcare,random_forest,NV-NMPr,0.0,fit,0.1266,772.72,780.75,780.75
Healthcare,random_forest,NV-NMPr,0.0,predict,0.0354,780.75,780.87,780.87
Healthcare,random_forest,NV-NMPr,1.0,fit,0.1277,772.71,780.11,780.15
Healthcare,random_forest,NV-NMPr,1.0,predict,0.0294,780.11,780.52,780.52
Healthcare,random_forest,NV-NMPr,2.0,fit,0.136,771.37,778.76,778.76
Healthcare,random_forest,NV-NMPr,2.0,predict,0.0318,778.76,778.9,778.9
Healthcare,random_forest,NV-NMPr,3.0,fit,0.127,771.49,780.06,780.06
Healthcare,random_forest,NV-NMPr,3.0,predict,0.0436,780.02,780.15,780.15
Healthcare,random_forest,NV-NMPr,4.0,fit,0.1375,770.9,774.91,774.91
Healthcare,random_forest,NV-NMPr,4.0,predict,0.0441,774.91,774.81,774.91
Healthcare,random_forest,OB-M,,labeling,0.0046,774.47,772.99,774.47
Healthcare,random_forest,OB-M,0.0,fit,0.1539,773.07,774.36,774.46
Healthcare,random_forest,OB-M,0.0,predict,0.0184,774.32,774.24,774.32
Healthcare,random_forest,OB-M,1.0,fit,0.1567,773.02,774.25,774.25
Healthcare,random_forest,OB-M,1.0,predict,0.0291,774.25,773.98,774.25
Healthcare,random_forest,OB-M,2.0,fit,0.1908,772.37,774.0,774.0
Healthcare,random_forest,OB-M,2.0,predict,0.0255,774.0,773.7,774.0
Healthcare,random_forest,OB-M,3.0,fit,0.1403,772.3,773.48,773.51
Healthcare,random_forest,OB-M,3.0,predict,0.0295,773.48,773.28,773.48
Healthcare,random_forest,OB-M,4.0,fit,0.1465,772.44,773.52,773.59
Healthcare,random_forest,OB-M,4.0,predict,0.02,773.52,773.35,773.52
Artificial1,random_forest,,,ocel_load,0.3891,731.12,727.59,731.12
Artificial1,random_forest,,,feature_extraction,0.0785,727.59,728.83,728.97
Artificial1,random_forest,NE-NPaA,,labeling,0.0014,728.82,728.84,728.84
Artificial1,random_forest,NE-NPaA,0.0,fit,0.1518,728.82,732.94,732.94
Artificial1,random_forest,NE-NPaA,0.0,predict,0.0163,732.94,733.16,733.16
Artificial1,random_forest,NE-NPaA,1.0,fit,0.1539,732.7,734.64,734.64
Artificial1,random_forest,NE-NPaA,1.0,predict,0.0409,734.6,734.53,734.6
Artificial1,random_forest,NE-NPaA,2.0,fit,0.1444,733.98,735.32,735.32
Artificial1,random_forest,NE-NPaA,2.0,predict,0.0277,735.28,735.08,735.28
Artificial1,random_forest,NE-NPaA,3.0,fit,0.1645,734.58,732.27,734.58
Artificial1,random_forest,NE-NPaA,3.0,predict,0.0301,732.27,731.98,732.27
Artificial1,random_forest,NE-NPaA,4.0,fit,0.1588,731.61,733.33,733.33
Artificial1,random_forest,NE-NPaA,4.0,predict,0.0294,733.3,733.12,733.3
Artificial1,random_forest,NE-NMPr,,labeling,0.0016,732.63,732.65,732.65
Artificial1,random_forest,NE-NMPr,0.0,fit,0.1514,732.63,734.74,734.74
Artificial1,random_forest,NE-NMPr,0.0,predict,0.0294,734.71,734.81,734.81
Artificial1,random_forest,NE-NMPr,1.0,fit,0.1342,734.32,735.69,735.85
Artificial1,random_forest,NE-NMPr,1.0,predict,0.0316,735.69,735.65,735.69
Artificial1,random_forest,NE-NMPr,2.0,fit,0.1347,735.17,736.09,736.09
Artificial1,random_forest,NE-NMPr,2.0,predict,0.0275,736.09,735.9,736.09
Artificial1,random_forest,NE-NMPr,3.0,fit,0.138,735.47,736.43,736.43
Artificial1,random_forest,NE-NMPr,3.0,predict,0.0294,736.43,736.48,736.48
Artificial1,random_forest,NE-NMPr,4.0,fit,0.1385,735.91,735.01,735.91
Artificial1,random_forest,NE-NMPr,4.0,predict,0.0304,735.01,734.94,735.01
Artificial1,random_forest,NV-PrT,,labeling,0.0016,734.48,734.5,734.5
Artificial1,random_forest,NV-PrT,0.0,fit,0.1158,734.48,742.81,742.84
Artificial1,random_forest,NV-PrT,0.0,predict,0.0297,742.81,742.88,742.88
Artificial1,random_forest,NV-PrT,1.0,fit,0.1388,736.46,742.5,742.56
Artificial1,random_forest,NV-PrT,1.0,predict,0.0298,742.46,742.63,742.63
Artificial1,random_forest,NV-PrT,2.0,fit,0.1259,737.66,743.06,743.08
