log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Healthcare,transformer,,,ocel_load,1.6225,613.66,710.5,718.2
Healthcare,transformer,,,feature_extraction,0.7241,710.56,763.76,763.78
Healthcare,transformer,NE-NPaA,,labeling,0.0021,763.91,764.6,764.6
Healthcare,transformer,NE-NPaA,0.0,fit,3.4606,801.34,956.95,959.32
Healthcare,transformer,NE-NPaA,0.0,predict,0.0036,956.97,957.69,957.69
Healthcare,transformer,NE-NPaA,1.0,fit,3.0466,929.71,930.86,963.15
Healthcare,transformer,NE-NPaA,1.0,predict,0.0033,930.86,930.89,930.89
Healthcare,transformer,NE-NPaA,2.0,fit,3.1806,931.05,961.99,963.78
Healthcare,transformer,NE-NPaA,2.0,predict,0.0034,961.99,962.13,962.13
Healthcare,transformer,NE-NPaA,3.0,fit,3.1327,962.38,960.73,963.81
Healthcare,transformer,NE-NPaA,3.0,predict,0.0034,960.73,960.84,960.84
Healthcare,transformer,NE-NPaA,4.0,fit,3.0933,932.74,964.52,964.52
Healthcare,transformer,NE-NPaA,4.0,predict,0.0029,964.52,964.61,964.61
Healthcare,transformer,NE-NMPr,,labeling,0.0048,964.59,964.68,964.68
Healthcare,transformer,NE-NMPr,0.0,fit,3.0361,964.78,962.54,964.78
Healthcare,transformer,NE-NMPr,0.0,predict,0.0036,962.54,962.63,962.63
Healthcare,transformer,NE-NMPr,1.0,fit,3.1783,933.75,962.67,964.51
Healthcare,transformer,NE-NMPr,1.0,predict,0.0035,962.67,962.95,962.95
Healthcare,transformer,NE-NMPr,2.0,fit,3.2068,932.57,962.38,965.33
Healthcare,transformer,NE-NMPr,2.0,predict,0.0034,962.38,962.41,962.41
Healthcare,transformer,NE-NMPr,3.0,fit,3.0176,933.59,932.48,964.66
Healthcare,transformer,NE-NMPr,3.0,predict,0.0033,932.48,932.57,932.57
Healthcare,transformer,NE-NMPr,4.0,fit,3.0924,932.75,926.73,932.84
Healthcare,transformer,NE-NMPr,4.0,predict,0.0026,926.73,926.83,926.83
Healthcare,transformer,NV-PrT,,labeling,0.004,926.81,927.38,927.38
Healthcare,transformer,NV-PrT,0.0,fit,2.9622,927.5,933.83,933.83
Healthcare,transformer,NV-PrT,0.0,predict,0.0032,933.83,933.93,933.93
Healthcare,transformer,NV-PrT,1.0,fit,3.0748,933.99,932.0,934.71
Healthcare,transformer,NV-PrT,1.0,predict,0.0033,932.0,932.01,932.01
Healthcare,transformer,NV-PrT,2.0,fit,2.8857,932.03,931.7,932.03
Healthcare,transformer,NV-PrT,2.0,predict,0.0022,931.7,931.72,931.72
Healthcare,transformer,NV-PrT,3.0,fit,3.0024,931.75,934.64,934.88
Healthcare,transformer,NV-PrT,3.0,predict,0.0032,934.64,934.81,934.81
Healthcare,transformer,NV-PrT,4.0,fit,3.0066,934.82,928.28,935.02
Healthcare,transformer,NV-PrT,4.0,predict,0.0032,928.28,928.31,928.31
Healthcare,transformer,NV-PaT,,labeling,0.0063,928.28,928.42,928.42
Healthcare,transformer,NV-PaT,0.0,fit,3.0525,928.42,935.06,935.24
Healthcare,transformer,NV-PaT,0.0,predict,0.0032,935.06,935.06,935.06
Healthcare,transformer,NV-PaT,1.0,fit,2.9532,935.29,935.01,935.45
Healthcare,transformer,NV-PaT,1.0,predict,0.0033,935.01,935.05,935.05
Healthcare,transformer,NV-PaT,2.0,fit,2.9405,935.1,935.36,935.46
Healthcare,transformer,NV-PaT,2.0,predict,0.0032,935.36,935.4,935.4
Healthcare,transformer,NV-PaT,3.0,fit,3.0197,935.38,933.06,935.38
Healthcare,transformer,NV-PaT,3.0,predict,0.0033,933.06,933.06,933.06
Healthcare,transformer,NV-PaT,4.0,fit,2.861,933.05,934.74,935.31
Healthcare,transformer,NV-PaT,4.0,predict,0.0032,934.74,934.96,934.96
Healthcare,transformer,NV-NMPr,,labeling,0.0061,934.94,935.0,935.0
Healthcare,transformer,NV-NMPr,0.0,fit,3.0005,935.22,935.53,935.53
Healthcare,transformer,NV-NMPr,0.0,predict,0.0034,935.53,935.54,935.54
Healthcare,transformer,NV-NMPr,1.0,fit,3.0157,935.53,935.55,935.66
Healthcare,transformer,NV-NMPr,1.0,predict,0.0036,935.55,935.61,935.61
Healthcare,transformer,NV-NMPr,2.0,fit,3.0674,935.68,935.31,935.71
Healthcare,transformer,NV-NMPr,2.0,predict,0.0032,935.31,935.33,935.33
Healthcare,transformer,NV-NMPr,3.0,fit,2.9873,935.39,935.57,935.66
Healthcare,transformer,NV-NMPr,3.0,predict,0.0032,935.57,935.58,935.58
Healthcare,transformer,NV-NMPr,4.0,fit,3.0456,935.6,935.36,935.6
Healthcare,transformer,NV-NMPr,4.0,predict,0.0031,935.36,935.36,935.36
Healthcare,transformer,OB-M,,labeling,0.0065,935.34,935.4,935.4
Artificial1,transformer,,,ocel_load,0.3386,935.41,937.73,937.73
Artificial1,transformer,,,feature_extraction,0.0861,937.73,938.95,939.09
Artificial1,transformer,NE-NPaA,,labeling,0.0024,938.93,938.96,938.96
