log,task,anchor,problem_type,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NPaA,Participant,Multiclass classification,1350,True,f1_macro,0.8233877529335786,0.03242440397034126,0.17073170731707318,5,,
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,1350,True,f1_macro,0.7048651123731753,0.030964167072525133,0.022628291336380665,5,,
Healthcare,NV-PrT,CollaborationCase,Regression (time),1350,True,mae,15.345715403968214,1.1551973463349152,17.312128148148147,5,,
Healthcare,NV-PaT,ParticipantProjection,Regression (time),1350,True,mae,9.128367000187245,1.061377545634411,12.909785185185186,5,Gynecologist,
Healthcare,NV-NMPr,Message,Count regression,1350,True,mae,2.2094168622802512,0.11696714784925116,2.8385185185185184,5,,
Healthcare,OB-M,Message,Binary classification,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NPaA,Participant,Multiclass classification,700,True,f1_macro,0.7465335088448952,0.02233871168033468,0.339569571644256,5,,
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,549,True,f1_macro,0.5644662080092837,0.02507707900034893,0.10670752944360515,5,,
Artificial1,NV-PrT,CollaborationCase,Regression (time),700,True,mae,4.5030507560509365,0.4292344037866449,8.586565714285715,5,,
Artificial1,NV-PaT,ParticipantProjection,Regression (time),700,True,mae,4.492939740582061,0.44855548330652983,8.565135714285715,5,PartyA,
Artificial1,NV-NMPr,Message,Count regression,700,True,mae,0.0,0.0,1.2899999999999998,5,,
Artificial1,OB-M,Message,Binary classification,700,True,f1_macro,0.9169317285042986,0.014976332430034926,0.3937451238730011,5,,Activity CZ
Artificial5,NE-NPaA,Participant,Multiclass classification,2260,True,f1_macro,0.5242294516145789,0.048763733260630014,0.17750789872409373,5,,
Artificial5,NE-NMPr,CollaborationCase,Multiclass classification,2068,True,f1_macro,0.641328473285028,0.02755943307894605,0.020988211964413327,5,,
Artificial5,NV-PrT,CollaborationCase,Regression (time),2260,True,mae,11.263468005094538,1.640856959450981,33.56038407079646,5,,
Artificial5,NV-PaT,ParticipantProjection,Regression (time),2260,True,mae,10.646655839401255,1.4710695053069949,33.493553539823004,5,PartyB,
Artificial5,NV-NMPr,Message,Count regression,2260,True,mae,0.8184569738957854,0.062271624993325836,2.60929203539823,5,,
Artificial5,OB-M,Message,Binary classification,2260,True,f1_macro,1.0,0.0,0.4940608544269865,5,,Activity AA
Real4,NE-NPaA,Participant,Multiclass classification,1700,True,f1_macro,0.8538626844746033,0.007109259982570345,0.23076923076923075,5,,
Real4,NE-NMPr,CollaborationCase,Multiclass classification,1600,True,f1_macro,0.9976605276256845,0.002869577145672708,0.06574749669947269,5,,
Real4,NV-PrT,CollaborationCase,Regression (time),1700,True,mae,7.578776270491632,0.8122665431238976,19.395287647058822,5,,
Real4,NV-PaT,ParticipantProjection,Regression (time),1700,True,mae,6.738582541374308,0.5618312902392567,18.973931764705885,5,Zoo,
Real4,NV-NMPr,Message,Count regression,1700,True,mae,0.0004794117647058823,0.0009588235294117646,1.7558823529411764,5,,
Real4,OB-M,Message,Binary classification,1700,True,f1_macro,1.0,0.0,0.46875,5,,Send information to the ZooClub department
