log,task,anchor,problem_type,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
BPI2013,NE-NEPr,CollaborationCase,Multiclass classification,62030,True,f1_macro,0.3439997347668717,0.0016105767849379116,0.19952571872621902,5,,
BPI2013,NE-NPaA,Participant,Multiclass classification,62030,True,f1_macro,0.0722881747689354,0.0029904597787085304,0.03678071837497615,5,,
BPI2013,NE-NEPa,Participant,Multiclass classification,62030,True,f1_macro,0.04141231842852698,0.0033887307022979233,0.009038137823557184,5,,
BPI2013,NE-NPaM,Participant,Multiclass classification,16499,True,f1_macro,0.07004906701373338,0.006313393640045925,0.03732430556898781,5,,
BPI2013,NE-NMPa,ParticipantProjection,Multiclass classification,14538,True,f1_macro,1.0,0.0,1.0,5,Org line C,
BPI2013,NE-NMPr,CollaborationCase,Multiclass classification,18481,True,f1_macro,1.0,0.0,1.0,5,,
BPI2013,NV-PrT,CollaborationCase,Regression (time),62030,True,mae,1621695.3893083732,74447.186688849,1157647.692261809,5,,
BPI2013,NV-PaT,ParticipantProjection,Regression (time),62030,True,mae,828237.5369274912,37459.208774126775,679910.8537965501,5,Org line C,
BPI2013,NV-TNE,CollaborationCase,Regression (time),62030,True,mae,216680.1569066885,12744.844195620926,127006.07599548604,5,,
BPI2013,NV-TNM,Message,Regression (time),16499,True,mae,376221.5072052789,27951.59217006271,249612.54201172068,5,,
BPI2013,NV-NMPr,Message,Count regression,62030,True,mae,0.9278703548544411,0.02180457316459428,0.6639045623085604,5,,
BPI2013,NV-NMPa,Message,Count regression,62030,True,mae,0.401578798304629,0.004910543785480408,0.2537320651297759,5,Org line C,
BPI2013,OB-P,ParticipantProjection,Binary classification,62030,True,f1_macro,0.5752091583545715,0.003363236463961423,0.4171517918524564,5,Org line C,
BPI2013,OB-M,Message,Binary classification,62030,True,f1_macro,0.5775811405074351,0.008714738880972076,0.4232956814007798,5,,Queued
