log,task,anchor,problem_type,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NEPr,CollaborationCase,Multiclass classification,1350,True,f1_macro,0.6482391045489889,0.035328160537687,0.006896551724137931,5,,
Healthcare,NE-NPaA,Participant,Multiclass classification,1350,True,f1_macro,0.8208646103076,0.03196755824720382,0.17073170731707318,5,,
Healthcare,NE-NEPa,Participant,Multiclass classification,1350,True,f1_macro,0.6482391045489889,0.035328160537687,0.006896551724137931,5,,
Healthcare,NE-NPaM,Participant,Multiclass classification,1250,True,f1_macro,0.9789434590512333,0.012056154674814884,0.24787140698925775,5,,
Healthcare,NE-NMPa,ParticipantProjection,Multiclass classification,1068,True,f1_macro,0.8671945656605381,0.0255976931440796,0.08105177810246829,5,Gynecologist,
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,1350,True,f1_macro,0.7020336039624503,0.030871069755943722,0.022628291336380665,5,,
Healthcare,NV-PrT,CollaborationCase,Regression (time),1350,True,mae,15.40186993304134,1.210519288303718,17.312128148148147,5,,
Healthcare,NV-PaT,ParticipantProjection,Regression (time),1350,True,mae,9.109750390663532,1.0716845766440983,12.909785185185186,5,Gynecologist,
Healthcare,NV-TNE,CollaborationCase,Regression (time),1350,True,mae,1.962372536554237,0.07379249542594235,1.8763096296296298,5,,
Healthcare,NV-TNM,Message,Regression (time),1250,True,mae,3.253906465400457,0.3315269047692717,4.2694719999999995,5,,
Healthcare,NV-NMPr,Message,Count regression,1350,True,mae,1.176955640735648,0.03885810342466216,1.5644444444444443,5,,
Healthcare,NV-NMPa,Message,Count regression,1350,True,mae,0.7889423047037003,0.02683602584474131,1.1548148148148147,5,Gynecologist,
Healthcare,OB-P,ParticipantProjection,Binary classification,1350,True,f1_macro,0.9207696999712885,0.019873894027612072,0.44166769590951843,5,Gynecologist,
Healthcare,OB-M,Message,Binary classification,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NEPr,CollaborationCase,Multiclass classification,700,True,f1_macro,0.5447993997976198,0.02517237579617936,0.03125,5,,
Artificial1,NE-NPaA,Participant,Multiclass classification,700,True,f1_macro,0.7479389254176546,0.021349639214119757,0.339569571644256,5,,
Artificial1,NE-NEPa,Participant,Multiclass classification,700,True,f1_macro,0.5447993997976198,0.02517237579617936,0.03125,5,,
Artificial1,NE-NPaM,Participant,Multiclass classification,329,True,f1_macro,1.0,0.0,1.0,5,,
Artificial1,NE-NMPa,ParticipantProjection,Multiclass classification,549,True,f1_macro,0.6149315839557717,0.050041652427863056,0.33869349629679235,5,PartyA,
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,549,True,f1_macro,0.5644662080092837,0.02507707900034893,0.10670752944360515,5,,
Artificial1,NV-PrT,CollaborationCase,Regression (time),700,True,mae,4.501685941765222,0.4293691158544887,8.586565714285715,5,,
Artificial1,NV-PaT,ParticipantProjection,Regression (time),700,True,mae,4.493020754867776,0.4483463913122688,8.565135714285715,5,PartyA,
Artificial1,NV-TNE,CollaborationCase,Regression (time),700,True,mae,2.1521417578257793,0.05023347815670407,2.1551314285714285,5,,
Artificial1,NV-TNM,Message,Regression (time),329,True,mae,2.367385746205849,0.2032887830568297,2.5319659207459204,5,,
Artificial1,NV-NMPr,Message,Count regression,700,True,mae,0.010078571428571428,0.0055218674747012225,0.7342857142857142,5,,
Artificial1,NV-NMPa,Message,Count regression,700,True,mae,0.0,0.0,0.0,5,PartyA,
Artificial1,OB-P,ParticipantProjection,Binary classification,700,True,f1_macro,0.5213037697366756,0.05622622679354684,0.49530681225623197,5,PartyA,
Artificial1,OB-M,Message,Binary classification,700,True,f1_macro,0.9169317285042986,0.014976332430034926,0.3937451238730011,5,,Activity CZ
Artificial5,NE-NEPr,CollaborationCase,Multiclass classification,2260,True,f1_macro,0.3818984939524489,0.017301852591099773,0.003026634382566586,5,,
Artificial5,NE-NPaA,Participant,Multiclass classification,2260,True,f1_macro,0.5225331518716974,0.05042282633344909,0.17750789872409373,5,,
Artificial5,NE-NEPa,Participant,Multiclass classification,2260,True,f1_macro,0.3828294147200588,0.018875144173864836,0.003026634382566586,5,,
Artificial5,NE-NPaM,Participant,Multiclass classification,1661,True,f1_macro,0.62192043949975,0.032194108365441704,0.22893934985090528,5,,
Artificial5,NE-NMPa,ParticipantProjection,Multiclass classification,2018,True,f1_macro,0.831592531859842,0.005189869678686222,0.08251883847062243,5,PartyB,
Artificial5,NE-NMPr,CollaborationCase,Multiclass classification,2068,True,f1_macro,0.6398860924766034,0.03553938660036285,0.020988211964413327,5,,
Artificial5,NV-PrT,CollaborationCase,Regression (time),2260,True,mae,11.254389370023285,1.67895510675473,33.56038407079646,5,,
Artificial5,NV-PaT,ParticipantProjection,Regression (time),2260,True,mae,10.672407963253303,1.4969938052616885,33.493553539823004,5,PartyB,
Artificial5,NV-TNE,CollaborationCase,Regression (time),2260,True,mae,2.863070978089242,0.09888520914656428,2.858148672566372,5,,
Artificial5,NV-TNM,Message,Regression (time),1661,True,mae,8.309654487823895,0.48497213387998117,9.514767308344997,5,,
Artificial5,NV-NMPr,Message,Count regression,2260,True,mae,0.4033051904524311,0.009895196551288564,1.4048672566371683,5,,
Artificial5,NV-NMPa,Message,Count regression,2260,True,mae,0.4329582436395995,0.016842433873610112,0.8048672566371682,5,PartyB,
