log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NPaA,Participant,Multiclass classification,gnn,1350,True,f1_macro,0.8646965741749038,0.0211086813131304,0.17100546122218707,5,,
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,gnn,1350,True,f1_macro,0.7000186169175007,0.05894598555982249,0.02270856481834916,5,,
Healthcare,NV-PrT,CollaborationCase,Regression (time),gnn,1350,True,mae,15.457369613647462,2.4649006261928177,17.454732546495297,5,,
Healthcare,NV-PaT,OrchestrationCase,Regression (time),gnn,1350,True,mae,8.351111698150635,1.0846887747112055,12.850423216071277,5,Gynecologist,
Healthcare,NV-NMPr,Message,Count regression,gnn,1350,True,mae,2.3567131757736206,0.3675451413910386,2.820207996641269,5,,
Healthcare,OB-M,Message,Binary classification,gnn,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NPaA,Participant,Multiclass classification,gnn,700,True,f1_macro,0.7823727621850984,0.041432443729825255,0.3395697349000968,5,,
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,gnn,549,True,f1_macro,0.5314924248430611,0.037461469374715325,0.10675784020018511,5,,
Artificial1,NV-PrT,CollaborationCase,Regression (time),gnn,700,True,mae,4.049550724029541,0.7616888890861713,8.590367159191668,5,,
Artificial1,NV-PaT,OrchestrationCase,Regression (time),gnn,700,True,mae,3.934718465805054,0.7539762041208152,8.565514305132584,5,PartyA,
Artificial1,NV-NMPr,Message,Count regression,gnn,700,True,mae,0.07007135450839996,0.009009491967421538,1.2899999999999998,5,,
Artificial1,OB-M,Message,Binary classification,gnn,700,True,f1_macro,0.916784145476419,0.008495148940840443,0.3938803254080784,5,,Activity CZ
Artificial5,NE-NPaA,Participant,Multiclass classification,gnn,2260,True,f1_macro,0.5592617332357982,0.02440600007522228,0.17751114759349873,5,,
Artificial5,NE-NMPr,CollaborationCase,Multiclass classification,gnn,2068,True,f1_macro,0.6715774027205488,0.018740481601255323,0.019998111199948605,5,,
Artificial5,NV-PrT,CollaborationCase,Regression (time),gnn,2260,True,mae,10.397925567626952,1.035931180768089,33.57147461982998,5,,
Artificial5,NV-PaT,OrchestrationCase,Regression (time),gnn,2260,True,mae,9.487551498413087,0.9647646590535194,33.501982283143704,5,PartyB,
Artificial5,NV-NMPr,Message,Count regression,gnn,2260,True,mae,0.9093318939208984,0.048920714328361654,2.609263197062771,5,,
Artificial5,OB-M,Message,Binary classification,gnn,2260,True,f1_macro,1.0,0.0,0.4940686126828224,5,,Activity AA
Real4,NE-NPaA,Participant,Multiclass classification,gnn,1700,True,f1_macro,0.895176036097839,0.017283218127025744,0.23076923076923075,5,,
Real4,NE-NMPr,CollaborationCase,Multiclass classification,gnn,1600,True,f1_macro,0.9927891770774376,0.003855296124255138,0.06574393550798396,5,,
Real4,NV-PrT,CollaborationCase,Regression (time),gnn,1700,True,mae,6.680654716491699,0.6757494858424333,19.434310007824756,5,,
Real4,NV-PaT,OrchestrationCase,Regression (time),gnn,1700,True,mae,5.806402397155762,0.3697505015511054,18.996355288725667,5,Zoo,
Real4,NV-NMPr,Message,Count regression,gnn,1700,True,mae,0.20171798765659332,0.009890550550624147,1.7558823529411764,5,,
Real4,OB-M,Message,Binary classification,gnn,1700,True,f1_macro,1.0,0.0,0.46875,5,,Send information to the ZooClub department
