log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
BPI2013,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,62030,True,f1_macro,0.4624778259056789,0.0678558346500795,0.19952571872621902,5,,
BPI2013,NE-NPaA,Participant,Multiclass classification,lstm_torch,62030,True,f1_macro,0.08467771834488087,0.007540951473639834,0.03678071837497615,5,,
BPI2013,NE-NEPa,Participant,Multiclass classification,lstm_torch,62030,True,f1_macro,0.052302822305234795,0.00791549587106304,0.009038137823557184,5,,
BPI2013,NE-NPaM,Participant,Multiclass classification,lstm_torch,16499,True,f1_macro,0.06570151249718995,0.007382643099691905,0.03732430556898781,5,,
BPI2013,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,14538,True,f1_macro,1.0,0.0,1.0,5,Org line C,
BPI2013,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,18481,True,f1_macro,1.0,0.0,1.0,5,,
BPI2013,NV-PrT,CollaborationCase,Regression (time),lstm_torch,62030,True,mae,1402304.9943876988,82550.0808361337,1157647.6922617955,5,,
BPI2013,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,62030,True,mae,714506.9333785959,52926.29005047035,679910.8537965302,5,Org line C,
BPI2013,NV-TNE,CollaborationCase,Regression (time),lstm_torch,62030,True,mae,185576.58868244322,7025.301226640818,127006.07599538649,5,,
BPI2013,NV-TNM,Message,Regression (time),lstm_torch,16499,True,mae,320790.77889779175,36499.00112617746,249612.54201166247,5,,
BPI2013,NV-NMPr,Message,Count regression,lstm_torch,62030,True,mae,1.6897976438942819,0.055839547007673296,1.3931162340802838,5,,
BPI2013,NV-NMPa,Message,Count regression,lstm_torch,62030,True,mae,0.6721803320028416,0.025748237561924486,0.5094631629856521,5,Org line C,
BPI2013,OB-P,OrchestrationCase,Binary classification,lstm_torch,62030,True,f1_macro,0.5951681363260255,0.020939888159028596,0.4171517918524564,5,Org line C,
BPI2013,OB-M,Message,Binary classification,lstm_torch,62030,True,f1_macro,0.7018213563811256,0.0051923713238540715,0.41246587479766184,5,,Queued
