log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NPaA,Participant,Multiclass classification,lstm_torch,1350,True,f1_macro,0.8765236274266819,0.020289807606687717,0.17100546122218707,5,,
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,1350,True,f1_macro,0.7200132841664912,0.060274541969594475,0.02270856481834916,5,,
Healthcare,NV-PrT,CollaborationCase,Regression (time),lstm_torch,1350,True,mae,14.777249647679673,2.1420421416245685,17.454732526538386,5,,
Healthcare,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,1350,True,mae,8.32754156307736,1.1286138276742887,12.850423210038182,5,Gynecologist,
Healthcare,NV-NMPr,Message,Count regression,lstm_torch,1350,True,mae,2.198102776606907,0.22417485919260585,2.820207996641269,5,,
Healthcare,OB-M,Message,Binary classification,lstm_torch,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NPaA,Participant,Multiclass classification,lstm_torch,700,True,f1_macro,0.780731498510755,0.03661274281853501,0.3395697349000968,5,,
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,549,True,f1_macro,0.5241570380474015,0.02498118105959006,0.10675784020018511,5,,
Artificial1,NV-PrT,CollaborationCase,Regression (time),lstm_torch,700,True,mae,3.9801496890006747,0.6661853622497105,8.590367142857142,5,,
Artificial1,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,700,True,mae,3.9287273654311043,0.7187774551463141,8.565514285714286,5,PartyA,
Artificial1,NV-NMPr,Message,Count regression,lstm_torch,700,True,mae,0.06608651583964405,0.010705847884504651,1.2899999999999998,5,,
Artificial1,OB-M,Message,Binary classification,lstm_torch,700,True,f1_macro,0.9071811840234325,0.008468450859924656,0.3938803254080784,5,,Activity CZ
Artificial5,NE-NPaA,Participant,Multiclass classification,lstm_torch,2260,True,f1_macro,0.5766725807521305,0.030636516096120472,0.17751114759349873,5,,
Artificial5,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,2068,True,f1_macro,0.6422295263445412,0.03466710577543116,0.019998111199948605,5,,
Artificial5,NV-PrT,CollaborationCase,Regression (time),lstm_torch,2260,True,mae,10.525355761408624,0.7801396567823736,33.571474612535994,5,,
Artificial5,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,2260,True,mae,9.639857060494922,0.6020119176807059,33.50198229261808,5,PartyB,
Artificial5,NV-NMPr,Message,Count regression,lstm_torch,2260,True,mae,0.9358727587032464,0.030513882842638874,2.609263197062771,5,,
Artificial5,OB-M,Message,Binary classification,lstm_torch,2260,True,f1_macro,0.9141555651052858,0.17168886978942846,0.4940686126828224,5,,Activity AA
Real4,NE-NPaA,Participant,Multiclass classification,lstm_torch,1700,True,f1_macro,0.905413612138742,0.018193811543868614,0.23076923076923075,5,,
Real4,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,1600,True,f1_macro,0.983273176604289,0.006085314755758149,0.06574393550798396,5,,
Real4,NV-PrT,CollaborationCase,Regression (time),lstm_torch,1700,True,mae,6.607216903825647,0.46492906018423463,19.43431,5,,
Real4,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,1700,True,mae,5.673686519658513,0.40687234759258606,18.996355294117645,5,Zoo,
Real4,NV-NMPr,Message,Count regression,lstm_torch,1700,True,mae,0.07771441086200545,0.004802721843068093,1.7558823529411764,5,,
Real4,OB-M,Message,Binary classification,lstm_torch,1700,True,f1_macro,1.0,0.0,0.46875,5,,Send information to the ZooClub department
