log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,1350,True,f1_macro,0.40648003642277153,0.006405896523546633,0.006896551724137931,5,,
Healthcare,NE-NPaA,Participant,Multiclass classification,lstm_torch,1350,True,f1_macro,0.7837231000059128,0.007099137868988927,0.17073170731707318,5,,
Healthcare,NE-NEPa,Participant,Multiclass classification,lstm_torch,1350,True,f1_macro,0.40648003642277153,0.006405896523546633,0.006896551724137931,5,,
Healthcare,NE-NPaM,Participant,Multiclass classification,lstm_torch,1250,True,f1_macro,0.9236077704487122,0.01790993646884776,0.24787140698925775,5,,
Healthcare,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,1068,True,f1_macro,0.6057680674101459,0.031787990734131605,0.08105177810246829,5,Gynecologist,
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,1350,True,f1_macro,0.385121954904103,0.0278233901494102,0.022628291336380665,5,,
Healthcare,NV-PrT,CollaborationCase,Regression (time),lstm_torch,1350,True,mae,14.54275159577511,1.7209250552948399,17.312128148148147,5,,
Healthcare,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,1350,True,mae,8.735034533983612,1.2531277863435852,12.909785185185186,5,Gynecologist,
Healthcare,NV-TNE,CollaborationCase,Regression (time),lstm_torch,1350,True,mae,1.7879442962702998,0.11215358224352434,1.8763096296296298,5,,
Healthcare,NV-TNM,Message,Regression (time),lstm_torch,1250,True,mae,3.0945716925354,0.3215294939683215,4.269472,5,,
Healthcare,NV-NMPr,Message,Count regression,lstm_torch,1350,True,mae,2.15151155255459,0.05056976484428661,2.8385185185185184,5,,
Healthcare,NV-NMPa,Message,Count regression,lstm_torch,1350,True,mae,0.8569027732704395,0.009511995546503947,1.5125925925925927,5,Gynecologist,
Healthcare,OB-P,OrchestrationCase,Binary classification,lstm_torch,1350,True,f1_macro,0.8816552238682757,0.010106262779976982,0.44166769590951843,5,Gynecologist,
Healthcare,OB-M,Message,Binary classification,lstm_torch,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,700,True,f1_macro,0.34331652102319576,0.026541911724077244,0.03125,5,,
Artificial1,NE-NPaA,Participant,Multiclass classification,lstm_torch,700,True,f1_macro,0.7359851017768906,0.03463856745003777,0.339569571644256,5,,
Artificial1,NE-NEPa,Participant,Multiclass classification,lstm_torch,700,True,f1_macro,0.34331652102319576,0.026541911724077244,0.03125,5,,
Artificial1,NE-NPaM,Participant,Multiclass classification,lstm_torch,329,True,f1_macro,1.0,0.0,1.0,5,,
Artificial1,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,549,True,f1_macro,0.5993358256106089,0.07614275693011095,0.33869349629679235,5,PartyA,
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,549,True,f1_macro,0.4510479803278161,0.034783863373303095,0.10670752944360515,5,,
Artificial1,NV-PrT,CollaborationCase,Regression (time),lstm_torch,700,True,mae,4.228124906701019,0.4058146171042568,8.586565714285715,5,,
Artificial1,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,700,True,mae,4.231278270679032,0.548245229286791,8.565135714285715,5,PartyA,
Artificial1,NV-TNE,CollaborationCase,Regression (time),lstm_torch,700,True,mae,1.9854651571559905,0.08530004823371674,2.1551314285714285,5,,
Artificial1,NV-TNM,Message,Regression (time),lstm_torch,329,True,mae,2.1655832673503634,0.19057688448525373,2.531965920745921,5,,
Artificial1,NV-NMPr,Message,Count regression,lstm_torch,700,True,mae,0.38290596186848624,0.020798940496209468,1.2899999999999998,5,,
Artificial1,NV-NMPa,Message,Count regression,lstm_torch,700,True,mae,0.2169682780809567,0.0032749133374704396,0.67,5,PartyA,
Artificial1,OB-P,OrchestrationCase,Binary classification,lstm_torch,700,True,f1_macro,0.49530681225623197,0.0018535832146209586,0.49530681225623197,5,PartyA,
Artificial1,OB-M,Message,Binary classification,lstm_torch,700,True,f1_macro,0.8844290251291872,0.012749780428779547,0.3937451238730011,5,,Activity CZ
