log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NPaA,Participant,Multiclass classification,random_forest,1350,True,f1_macro,0.8198080222532831,0.03136412264723199,0.17073170731707318,5,,
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,1350,True,f1_macro,0.7053380445052809,0.031238244504507802,0.022628291336380665,5,,
Healthcare,NV-PrT,CollaborationCase,Regression (time),random_forest,1350,True,mae,15.383107934199847,1.219601546409841,17.312128148148147,5,,
Healthcare,NV-PaT,OrchestrationCase,Regression (time),random_forest,1350,True,mae,9.131512997640243,1.0618624940044572,12.909785185185186,5,Gynecologist,
Healthcare,NV-NMPr,Message,Count regression,random_forest,1350,True,mae,2.2100007530463137,0.11692038299018204,2.8385185185185184,5,,
Healthcare,OB-M,Message,Binary classification,random_forest,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NPaA,Participant,Multiclass classification,random_forest,700,True,f1_macro,0.7436038452600549,0.01879549370604707,0.339569571644256,5,,
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,549,True,f1_macro,0.5679224375946952,0.01534249563946203,0.10670752944360515,5,,
Artificial1,NV-PrT,CollaborationCase,Regression (time),random_forest,700,True,mae,4.529613578543028,0.4414604052006391,8.586565714285715,5,,
Artificial1,NV-PaT,OrchestrationCase,Regression (time),random_forest,700,True,mae,4.4776415585027465,0.4467123209879082,8.565135714285715,5,PartyA,
Artificial1,NV-NMPr,Message,Count regression,random_forest,700,True,mae,1.428571428571398e-05,2.857142857142796e-05,1.2899999999999998,5,,
Artificial1,OB-M,Message,Binary classification,random_forest,700,True,f1_macro,0.9154475806424512,0.01639636703948004,0.3937451238730011,5,,Activity CZ
Artificial5,NE-NPaA,Participant,Multiclass classification,random_forest,2260,True,f1_macro,0.5263653556961334,0.05297705828823446,0.17750789872409373,5,,
Artificial5,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,2068,True,f1_macro,0.6420791134381882,0.031003251352635677,0.020988211964413327,5,,
Artificial5,NV-PrT,CollaborationCase,Regression (time),random_forest,2260,True,mae,11.29103532283457,1.631735612244834,33.56038407079646,5,,
Artificial5,NV-PaT,OrchestrationCase,Regression (time),random_forest,2260,True,mae,10.698766783531326,1.4950095324449735,33.493553539823004,5,PartyB,
Artificial5,NV-NMPr,Message,Count regression,random_forest,2260,True,mae,0.8172424155253367,0.06270361019497972,2.60929203539823,5,,
Artificial5,OB-M,Message,Binary classification,random_forest,2260,True,f1_macro,1.0,0.0,0.4940608544269865,5,,Activity AA
Real4,NE-NPaA,Participant,Multiclass classification,random_forest,1700,True,f1_macro,0.8539089017793471,0.006172059670334641,0.23076923076923075,5,,
Real4,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,1600,True,f1_macro,0.998780487804878,0.0024390243902439046,0.06574749669947269,5,,
Real4,NV-PrT,CollaborationCase,Regression (time),random_forest,1700,True,mae,7.596510112177002,0.80850002247087,19.395287647058822,5,,
Real4,NV-PaT,OrchestrationCase,Regression (time),random_forest,1700,True,mae,6.730784662084508,0.5441042703468959,18.973931764705885,5,Zoo,
Real4,NV-NMPr,Message,Count regression,random_forest,1700,True,mae,0.0003470588235294118,0.0006941176470588236,1.7558823529411764,5,,
Real4,OB-M,Message,Binary classification,random_forest,1700,True,f1_macro,1.0,0.0,0.46875,5,,Send information to the ZooClub department
