log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
BPI2013,NE-NEPr,CollaborationCase,Multiclass classification,random_forest,62030,True,f1_macro,0.3758653071036345,0.0011691155801871762,0.19952571872621902,5,,
BPI2013,NE-NPaA,Participant,Multiclass classification,random_forest,62030,True,f1_macro,0.07303249682233602,0.0026390824637668427,0.03678071837497615,5,,
BPI2013,NE-NEPa,Participant,Multiclass classification,random_forest,62030,True,f1_macro,0.04503301344660537,0.0026977035608235114,0.009038137823557184,5,,
BPI2013,NE-NPaM,Participant,Multiclass classification,random_forest,16499,True,f1_macro,0.0700234038419591,0.007211288813946251,0.03732430556898781,5,,
BPI2013,NE-NMPa,OrchestrationCase,Multiclass classification,random_forest,14538,True,f1_macro,1.0,0.0,1.0,5,Org line C,
BPI2013,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,18481,True,f1_macro,1.0,0.0,1.0,5,,
BPI2013,NV-PrT,CollaborationCase,Regression (time),random_forest,62030,True,mae,1613564.3650468416,74588.88894870915,1157647.6922617955,5,,
BPI2013,NV-PaT,OrchestrationCase,Regression (time),random_forest,62030,True,mae,826404.8494287259,36293.8704473843,679910.8537965302,5,Org line C,
BPI2013,NV-TNE,CollaborationCase,Regression (time),random_forest,62030,True,mae,214552.75653338656,12064.898491057163,127006.07599538649,5,,
BPI2013,NV-TNM,Message,Regression (time),random_forest,16499,True,mae,375711.6407197151,28942.744498996395,249612.54201166247,5,,
BPI2013,NV-NMPr,Message,Count regression,random_forest,62030,True,mae,1.8437910163975495,0.048756048292534084,1.3931162340802838,5,,
BPI2013,NV-NMPa,Message,Count regression,random_forest,62030,True,mae,0.7385080460966101,0.018498517066801966,0.5094631629856521,5,Org line C,
BPI2013,OB-P,OrchestrationCase,Binary classification,random_forest,62030,True,f1_macro,0.5775335899875007,0.0029159505154349266,0.4171517918524564,5,Org line C,
BPI2013,OB-M,Message,Binary classification,random_forest,62030,True,f1_macro,0.6489790017283206,0.005583745031882701,0.41246587479766184,5,,Queued
