log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NEPr,CollaborationCase,Multiclass classification,random_forest,1350,True,f1_macro,0.6471436996995793,0.03658078463062252,0.006896551724137931,5,,
Healthcare,NE-NPaA,Participant,Multiclass classification,random_forest,1350,True,f1_macro,0.8198080222532831,0.03136412264723199,0.17073170731707318,5,,
Healthcare,NE-NEPa,Participant,Multiclass classification,random_forest,1350,True,f1_macro,0.6471436996995793,0.03658078463062252,0.006896551724137931,5,,
Healthcare,NE-NPaM,Participant,Multiclass classification,random_forest,1250,True,f1_macro,0.9811460452306792,0.014012283938812946,0.24787140698925775,5,,
Healthcare,NE-NMPa,OrchestrationCase,Multiclass classification,random_forest,1068,True,f1_macro,0.8671945656605381,0.0255976931440796,0.08105177810246829,5,Gynecologist,
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,1350,True,f1_macro,0.7053380445052809,0.031238244504507802,0.022628291336380665,5,,
Healthcare,NV-PrT,CollaborationCase,Regression (time),random_forest,1350,True,mae,15.383107934199847,1.2196015464098418,17.312128148148147,5,,
Healthcare,NV-PaT,OrchestrationCase,Regression (time),random_forest,1350,True,mae,9.131512997640245,1.0618624940044574,12.909785185185186,5,Gynecologist,
Healthcare,NV-TNE,CollaborationCase,Regression (time),random_forest,1350,True,mae,1.9626543235636813,0.07568575433792284,1.8763096296296298,5,,
Healthcare,NV-TNM,Message,Regression (time),random_forest,1250,True,mae,3.2489428983946658,0.3280227041688833,4.269472,5,,
Healthcare,NV-NMPr,Message,Count regression,random_forest,1350,True,mae,2.2100007530463137,0.11692038299018201,2.8385185185185184,5,,
Healthcare,NV-NMPa,Message,Count regression,random_forest,1350,True,mae,0.7837996515584784,0.031484166718059425,1.5125925925925927,5,Gynecologist,
Healthcare,OB-P,OrchestrationCase,Binary classification,random_forest,1350,True,f1_macro,0.9230345984127941,0.019708284339660254,0.44166769590951843,5,Gynecologist,
Healthcare,OB-M,Message,Binary classification,random_forest,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NEPr,CollaborationCase,Multiclass classification,random_forest,700,True,f1_macro,0.5460122546385234,0.023170439083021046,0.03125,5,,
Artificial1,NE-NPaA,Participant,Multiclass classification,random_forest,700,True,f1_macro,0.7436038452600549,0.01879549370604707,0.339569571644256,5,,
Artificial1,NE-NEPa,Participant,Multiclass classification,random_forest,700,True,f1_macro,0.5460122546385234,0.023170439083021046,0.03125,5,,
Artificial1,NE-NPaM,Participant,Multiclass classification,random_forest,329,True,f1_macro,1.0,0.0,1.0,5,,
Artificial1,NE-NMPa,OrchestrationCase,Multiclass classification,random_forest,549,True,f1_macro,0.6184803700335054,0.04888893857771581,0.33869349629679235,5,PartyA,
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,549,True,f1_macro,0.5679224375946952,0.01534249563946203,0.10670752944360515,5,,
Artificial1,NV-PrT,CollaborationCase,Regression (time),random_forest,700,True,mae,4.529613578543028,0.4414604052006392,8.586565714285715,5,,
Artificial1,NV-PaT,OrchestrationCase,Regression (time),random_forest,700,True,mae,4.4776415585027465,0.4467123209879084,8.565135714285715,5,PartyA,
Artificial1,NV-TNE,CollaborationCase,Regression (time),random_forest,700,True,mae,2.1546068037125807,0.05003924032310876,2.1551314285714285,5,,
