log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NPaA,Participant,Multiclass classification,transformer,1350,True,f1_macro,0.8734022272143243,0.021305067612443575,0.17100546122218707,5,,
Healthcare,NE-NMPr,CollaborationCase,Multiclass classification,transformer,1350,True,f1_macro,0.7161684866311514,0.03400357227310047,0.02270856481834916,5,,
Healthcare,NV-PrT,CollaborationCase,Regression (time),transformer,1350,True,mae,14.755543439191745,1.5174129339792364,17.454732526538386,5,,
Healthcare,NV-PaT,OrchestrationCase,Regression (time),transformer,1350,True,mae,8.396536472745566,0.7538466254792318,12.850423210038182,5,Gynecologist,
Healthcare,NV-NMPr,Message,Count regression,transformer,1350,True,mae,2.186961557616052,0.11161379179144944,2.820207996641269,5,,
Healthcare,OB-M,Message,Binary classification,transformer,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NPaA,Participant,Multiclass classification,transformer,700,True,f1_macro,0.7853003739320806,0.041290236668857005,0.3395697349000968,5,,
Artificial1,NE-NMPr,CollaborationCase,Multiclass classification,transformer,549,True,f1_macro,0.5235069870878937,0.03527303112964673,0.10675784020018511,5,,
Artificial1,NV-PrT,CollaborationCase,Regression (time),transformer,700,True,mae,3.9935932666989737,0.7405663656466954,8.590367142857142,5,,
Artificial1,NV-PaT,OrchestrationCase,Regression (time),transformer,700,True,mae,3.9524804631488664,0.7263847012371774,8.565514285714286,5,PartyA,
Artificial1,NV-NMPr,Message,Count regression,transformer,700,True,mae,0.18000969234388325,0.013097346320404272,1.2899999999999998,5,,
Artificial1,OB-M,Message,Binary classification,transformer,700,True,f1_macro,0.9200583126127719,0.004988266551781748,0.3938803254080784,5,,Activity CZ
Artificial5,NE-NPaA,Participant,Multiclass classification,transformer,2260,True,f1_macro,0.5729700141255626,0.012739894207163463,0.17751114759349873,5,,
Artificial5,NE-NMPr,CollaborationCase,Multiclass classification,transformer,2068,True,f1_macro,0.6557715905166052,0.032272710368316575,0.019998111199948605,5,,
Artificial5,NV-PrT,CollaborationCase,Regression (time),transformer,2260,True,mae,10.071715601948581,0.9844513749254059,33.571474612535994,5,,
Artificial5,NV-PaT,OrchestrationCase,Regression (time),transformer,2260,True,mae,9.499896145321571,0.9002080974613287,33.50198229261808,5,PartyB,
Artificial5,NV-NMPr,Message,Count regression,transformer,2260,True,mae,0.9457411502949717,0.03307895072587978,2.609263197062771,5,,
Artificial5,OB-M,Message,Binary classification,transformer,2260,True,f1_macro,0.9611301369863015,0.07773972602739727,0.4940686126828224,5,,Activity AA
Real4,NE-NPaA,Participant,Multiclass classification,transformer,1700,True,f1_macro,0.9005918555076435,0.01703213978119124,0.23076923076923075,5,,
Real4,NE-NMPr,CollaborationCase,Multiclass classification,transformer,1600,True,f1_macro,0.9927881643916047,0.0038600224647505703,0.06574393550798396,5,,
Real4,NV-PrT,CollaborationCase,Regression (time),transformer,1700,True,mae,7.026201261087081,0.403003365036926,19.43431,5,,
Real4,NV-PaT,OrchestrationCase,Regression (time),transformer,1700,True,mae,6.514761415090303,0.4190374423940726,18.996355294117645,5,Zoo,
Real4,NV-NMPr,Message,Count regression,transformer,1700,True,mae,0.24503421671250286,0.005530834079533261,1.7558823529411764,5,,
Real4,OB-M,Message,Binary classification,transformer,1700,True,f1_macro,1.0,0.0,0.46875,5,,Send information to the ZooClub department
