log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
BPI2013,NE-NEPr,CollaborationCase,Multiclass classification,xgboost,62030,True,f1_macro,0.38332848948493325,0.005012482484712753,0.19952571872621902,5,,
BPI2013,NE-NPaA,Participant,Multiclass classification,xgboost,62030,True,f1_macro,0.05482114312377785,0.002674406134921413,0.03678071837497615,5,,
BPI2013,NE-NEPa,Participant,Multiclass classification,xgboost,62030,True,f1_macro,0.03415474779883635,0.0018523241421836143,0.009038137823557184,5,,
BPI2013,NE-NPaM,Participant,Multiclass classification,xgboost,16499,True,f1_macro,0.06144731382680337,0.005328718548838502,0.03732430556898781,5,,
BPI2013,NE-NMPa,OrchestrationCase,Multiclass classification,xgboost,14538,True,f1_macro,1.0,0.0,1.0,5,Org line C,
BPI2013,NE-NMPr,CollaborationCase,Multiclass classification,xgboost,18481,True,f1_macro,1.0,0.0,1.0,5,,
BPI2013,NV-PrT,CollaborationCase,Regression (time),xgboost,62030,True,mae,1441747.837446366,84502.72524264963,1157647.6922617955,5,,
BPI2013,NV-PaT,OrchestrationCase,Regression (time),xgboost,62030,True,mae,742231.1631093853,39474.44342643608,679910.8537965302,5,Org line C,
BPI2013,NV-TNE,CollaborationCase,Regression (time),xgboost,62030,True,mae,194096.45755389257,9184.656126808077,127006.07599538649,5,,
BPI2013,NV-TNM,Message,Regression (time),xgboost,16499,True,mae,350046.3059236173,31953.87897483582,249612.54201166247,5,,
BPI2013,NV-NMPr,Message,Count regression,xgboost,62030,True,mae,1.7165222829264466,0.05303634523574539,1.3931162340802838,5,,
BPI2013,NV-NMPa,Message,Count regression,xgboost,62030,True,mae,0.6919509813073849,0.020022799702226087,0.5094631629856521,5,Org line C,
BPI2013,OB-P,OrchestrationCase,Binary classification,xgboost,62030,True,f1_macro,0.6367991127338894,0.011793887016270767,0.4171517918524564,5,Org line C,
BPI2013,OB-M,Message,Binary classification,xgboost,62030,True,f1_macro,0.7066274874430956,0.013619399666803946,0.41246587479766184,5,,Queued
