log,task,anchor,problem_type,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NEPr,CollaborationInstance,Multiclass classification,1350,True,f1_macro,0.6354264200348021,0.03349444733944452,0.006896551724137931,5,,
Healthcare,NE-NPaA,Participant,Multiclass classification,1350,True,f1_macro,0.8168571146703533,0.03173097595083759,0.17073170731707318,5,,
Healthcare,NE-NEPa,Participant,Multiclass classification,1350,True,f1_macro,0.6354264200348021,0.03349444733944452,0.006896551724137931,5,,
Healthcare,NE-NPaM,Participant,Multiclass classification,1250,True,f1_macro,0.9891609762041178,0.01396818241306143,0.24787140698925775,5,,
Healthcare,NE-NMPa,LocalCase,Multiclass classification,1068,True,f1_macro,0.8671945656605381,0.0255976931440796,0.08105177810246829,5,Gynecologist,
Healthcare,NE-NMPr,Message,Multiclass classification,1350,True,f1_macro,0.6840979404902245,0.02696281733511145,0.022628291336380665,5,,
Healthcare,NV-PrT,CollaborationInstance,Regression (time),1350,True,mae,15.524876303149137,1.2254281952514634,17.312128148148147,5,,
Healthcare,NV-PaT,LocalCase,Regression (time),1350,True,mae,9.048992353350092,1.0616045596277948,12.909785185185186,5,Gynecologist,
Healthcare,NV-TNE,CollaborationInstance,Regression (time),1350,True,mae,1.9683841322991533,0.0876722330939843,1.8763096296296298,5,,
Healthcare,NV-TNM,Message,Regression (time),1250,True,mae,3.349512493138487,0.2980295749506309,4.2694719999999995,5,,
Healthcare,NV-NMPr,CollaborationInstance,Count regression,1350,True,mae,1.1554822067827657,0.0467284077969902,1.5644444444444443,5,,
Healthcare,NV-NMPa,Message,Count regression,1350,True,mae,0.775342160657912,0.03282264860362762,1.1548148148148147,5,Gynecologist,
Healthcare,OB-P,LocalCase,Binary classification,1350,True,f1_macro,0.9369384400465155,0.0202984949234143,0.44166769590951843,5,Gynecologist,
Healthcare,OB-M,Message,Binary classification,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NEPr,CollaborationInstance,Multiclass classification,700,True,f1_macro,0.5247090793490586,0.02440416674859065,0.03125,5,,
Artificial1,NE-NPaA,Participant,Multiclass classification,700,True,f1_macro,0.7657135405601134,0.022985013057513937,0.339569571644256,5,,
Artificial1,NE-NEPa,Participant,Multiclass classification,700,True,f1_macro,0.5247090793490585,0.0244041667485906,0.03125,5,,
Artificial1,NE-NPaM,Participant,Multiclass classification,329,True,f1_macro,1.0,0.0,1.0,5,,
Artificial1,NE-NMPa,LocalCase,Multiclass classification,549,True,f1_macro,0.6515453741087411,0.0561878806095945,0.33869349629679235,5,PartyA,
Artificial1,NE-NMPr,Message,Multiclass classification,549,True,f1_macro,0.5974357100587752,0.031018165118472718,0.10670752944360515,5,,
Artificial1,NV-PrT,CollaborationInstance,Regression (time),700,True,mae,4.721704315179641,0.5025049255357369,8.586565714285715,5,,
Artificial1,NV-PaT,LocalCase,Regression (time),700,True,mae,4.715093151997863,0.5746559560114647,8.565135714285715,5,PartyA,
Artificial1,NV-TNE,CollaborationInstance,Regression (time),700,True,mae,2.1511349086045075,0.06462832505088262,2.1551314285714285,5,,
Artificial1,NV-TNM,Message,Regression (time),329,True,mae,2.2745840792947,0.1886943587777704,2.531965920745921,5,,
Artificial1,NV-NMPr,CollaborationInstance,Count regression,700,True,mae,0.0,0.0,0.7342857142857142,5,,
Artificial1,NV-NMPa,Message,Count regression,700,True,mae,0.0,0.0,0.0,5,PartyA,
Artificial1,OB-P,LocalCase,Binary classification,700,True,f1_macro,0.8849895624089174,0.19546117820684053,0.49530681225623197,5,PartyA,
Artificial1,OB-M,Message,Binary classification,700,True,f1_macro,0.9218125359233875,0.013978518058062692,0.3937451238730011,5,,Activity CZ
Artificial5,NE-NEPr,CollaborationInstance,Multiclass classification,2260,True,f1_macro,0.3532993601820259,0.020176239012981722,0.003026634382566586,5,,
Artificial5,NE-NPaA,Participant,Multiclass classification,2260,True,f1_macro,0.5315534716868409,0.06562604902658102,0.17750789872409373,5,,
Artificial5,NE-NEPa,Participant,Multiclass classification,2260,True,f1_macro,0.35363326647181453,0.020183283653215048,0.003026634382566586,5,,
Artificial5,NE-NPaM,Participant,Multiclass classification,1661,True,f1_macro,0.6635760676233327,0.03581425267884982,0.22893934985090528,5,,
Artificial5,NE-NMPa,LocalCase,Multiclass classification,2018,True,f1_macro,0.8349531043509257,0.018410578797942848,0.08251883847062243,5,PartyB,
Artificial5,NE-NMPr,Message,Multiclass classification,2068,True,f1_macro,0.6227931285216776,0.0241767299911594,0.020988211964413327,5,,
Artificial5,NV-PrT,CollaborationInstance,Regression (time),2260,True,mae,11.560978401968814,1.7693578134274741,33.56038407079646,5,,
Artificial5,NV-PaT,LocalCase,Regression (time),2260,True,mae,10.961172178977936,1.6010277222488016,33.493553539823004,5,PartyB,
Artificial5,NV-TNE,CollaborationInstance,Regression (time),2260,True,mae,2.944601957034059,0.104534767279376,2.858148672566372,5,,
Artificial5,NV-TNM,Message,Regression (time),1661,True,mae,8.609752919998767,0.28451665930577363,9.514767308344997,5,,
Artificial5,NV-NMPr,CollaborationInstance,Count regression,2260,True,mae,0.38789515482202985,0.012148613575400076,1.4048672566371683,5,,
Artificial5,NV-NMPa,Message,Count regression,2260,True,mae,0.4312772616671932,0.014572410785289579,0.8048672566371682,5,PartyB,
Artificial5,OB-P,LocalCase,Binary classification,2260,True,f1_macro,0.8862664702865871,0.06011766934890036,0.4968782133746677,5,PartyB,
